time_s,switch_V,bus_V,highVgs_V,lowVgs_V,highVds_V,lowVds_V,highCurrent_A,lowCurrent_A,highGateCurrent_A,lowGateCurrent_A,loadCurrent_A,feedCurrent_A,highChannelCurrent_A,lowChannelCurrent_A,highDiodeCurrent_A,lowDiodeCurrent_A
2.95875e-07,23.847713454124,23.850951786138,11.9999967001831,5.50670560657378e-15,0.00323833201397505,23.847713454124,2.98096427723846,9.54822767518237e-08,1.31992677950069e-07,-2.20268224262951e-16,2.98096418175618,2.98096427724084,2.98096427722405,9.14171697135938e-11,-0,-2.92359965694107e-24
2.96e-07,23.847713454124,23.850951786138,11.999996700183,2.04915818863455e-15,0.0032383320139715,23.847713454124,2.98096427723846,9.54822763077345e-08,1.31992678025749e-07,-8.19663275453819e-17,2.98096418175618,2.98096427724084,2.98096427724133,9.14171697135871e-11,-0,1.31243854974889e-23
2.96125e-07,23.847713454124,23.850951786138,11.999996700183,5.54316075371663e-15,0.0032383320139715,23.847713454124,2.98096427723846,9.54822758636453e-08,1.31992678074214e-07,-2.21726430148665e-16,2.98096418175618,2.98096427724084,2.98096427722409,9.14171697135938e-11,-6.37076280280761e-41,-9.70401427109195e-24
2.9625e-07,23.847713454124,23.850951786138,11.999996700183,2.50315783743225e-15,0.0032383320139644,23.847713454124,2.98096427723846,9.54822758636453e-08,1.31992678126206e-07,-1.0012631349729e-16,2.98096418175618,2.98096427724084,2.98096427724124,9.14171697135938e-11,-0,5.18779761607713e-24
2.96375e-07,23.847713454124,23.850951786138,11.999996700183,5.3378373469075e-15,0.00323833201396795,23.847713454124,2.98096427723846,9.54822763077345e-08,1.31992678051723e-07,-2.135134938763e-16,2.98096418175618,2.98096427724084,2.98096427722416,9.14171697135871e-11,-6.39299027557086e-41,-2.42029865309268e-24
2.965e-07,23.847713454124,23.850951786138,11.999996700183,2.84635880154921e-15,0.0032383320139715,23.847713454124,2.98096427723846,9.54822767518237e-08,1.3199267800694e-07,-1.13854352061969e-16,2.98096418175618,2.98096427724084,2.98096427724121,9.14171697135871e-11,-0,-2.3957909491426e-24
2.96625e-07,23.847713454124,23.850951786138,11.999996700183,4.95341144978344e-15,0.00323833201396795,23.847713454124,2.98096427723846,9.5482277195913e-08,1.31992678071131e-07,-1.98136457991337e-16,2.98096418175618,2.98096427724084,2.98096427722419,9.1417169713607e-11,-6.403591897682e-41,-1.24577375995308e-24
2.9675e-07,23.847713454124,23.850951786138,11.999996700183,3.44508605155867e-15,0.00323833201396795,23.847713454124,2.98096427723846,9.5482277195913e-08,1.31992678043431e-07,-1.37803442062347e-16,2.98096418175618,2.98096427724084,2.98096427724117,9.14171697135871e-11,-0,2.48938280441118e-24
2.96875e-07,23.847713454124,23.850951786138,11.999996700183,4.4475223920125e-15,0.0032383320139715,23.847713454124,2.98096427723846,9.5482277195913e-08,1.31992678020431e-07,-1.779008956805e-16,2.98096418175618,2.98096427724084,2.98096427722422,9.14171697135938e-11,-6.41391843577712e-41,-6.3124488387855e-24
2.97e-07,23.847713454124,23.850951786138,11.999996700183,3.46235864754745e-15,0.00323833201396795,23.847713454124,2.98096427723846,9.54822776400022e-08,1.31992678096066e-07,-1.38494345901898e-16,2.98096418175618,2.98096427724084,2.98096427724115,9.14171697135938e-11,-0,9.01769331663881e-24
2.97125e-07,23.847713454124,23.850951786138,11.999996700183,4.2507233625848e-15,0.0032383320139715,23.847713454124,2.98096427723846,9.5482277195913e-08,1.31992677996137e-07,-1.70028934503392e-16,2.98096418175618,2.98096427724084,2.98096427722425,9.14171697136004e-11,-6.42244741494471e-41,8.41166226490571e-25
2.9725e-07,23.847713454124,23.850951786138,11.999996700183,3.7014380345545e-15,0.0032383320139715,23.847713454124,2.98096427723846,9.54822776400022e-08,1.31992677991905e-07,-1.4805752138218e-16,2.98096418175618,2.98096427724084,2.98096427724111,9.14171697136004e-11,-0,1.66216835304179e-24
2.97375e-07,23.847713454124,23.850951786138,11.999996700183,4.48973544681308e-15,0.0032383320139715,23.847713454124,2.98096427723846,9.54822780840914e-08,1.31992678012089e-07,-1.79589417872523e-16,2.98096418175618,2.98096427724084,2.98096427722428,9.14171697136202e-11,-6.43405873104077e-41,-6.43907114863678e-24
2.975e-07,23.847713454124,23.850951786138,11.999996700183,3.15850055523324e-15,0.00323833201396795,23.847713454124,2.98096427723846,9.54822780840914e-08,1.3199267819527e-07,-1.2634002220933e-16,2.98096418175618,2.98096427724084,2.98096427724108,9.14171697135871e-11,-0,-3.34961614743229e-24
2.97625e-07,23.847713454124,23.850951786138,11.999996700183,4.83721373176735e-15,0.0032383320139715,23.847713454124,2.98096427723846,9.54822780840914e-08,1.31992678006754e-07,-1.93488549270694e-16,2.98096418175618,2.98096427724084,2.98096427722431,9.14171697135871e-11,-6.44277473104503e-41,5.72811929526577e-24
2.9775e-07,23.847713454124,23.850951786138,11.999996700183,3.97119928367078e-15,0.0032383320139715,23.847713454124,2.98096427723846,9.54822785281806e-08,1.31992678097924e-07,-1.58847971346831e-16,2.98096418175618,2.98096427724084,2.98096427724106,9.14171697135805e-11,-0,7.60470456089821e-24
2.97875e-07,23.847713454124,23.850951786138,11.999996700183,4.97362134062656e-15,0.0032383320139644,23.847713454124,2.98096427723846,9.54822785281806e-08,1.3199267806359e-07,-1.98944853625062e-16,2.98096418175618,2.98096427724084,2.98096427722431,9.14171697135739e-11,-0,-1.07395429524126e-24
2.98e-07,23.847713454124,23.850951786138,11.999996700183,3.39307043497304e-15,0.00323833201396795,23.847713454124,2.98096427723846,9.54822780840914e-08,1.31992678113934e-07,-1.35722817398922e-16,2.98096418175618,2.98096427724084,2.98096427724109,9.14171697135938e-11,-0,2.79186198902524e-24
2.98125e-07,23.847713454124,23.850951786138,11.999996700183,5.34017523514583e-15,0.00323833201396795,23.847713454124,2.98096427723846,9.54822780840914e-08,1.31992678056652e-07,-2.13607009405833e-16,2.98096418175618,2.98096427724084,2.98096427722429,9.14171697136004e-11,-0,-2.13891701423388e-24
2.9825e-07,23.847713454124,23.850951786138,11.999996700183,3.27748007980916e-15,0.0032383320139644,23.847713454124,2.98096427723846,9.54822763077345e-08,1.31992678101828e-07,-1.31099203192366e-16,2.98096418175618,2.98096427724084,2.9809642772411,9.14171697136004e-11,-0,3.18745999827579e-24
2.98375e-07,23.847713454124,23.850951786138,11.999996700183,5.85881720736824e-15,0.0032383320139644,23.847713454124,2.98096427723846,9.54822763077345e-08,1.31992678062879e-07,-2.3435268829473e-16,2.98096418175618,2.98096427724084,2.98096427722425,9.1417169713607e-11,-0,-3.59302119387467e-24
2.985e-07,23.847713454124,23.850951786138,11.999996700183,3.19856035847322e-15,0.00323833201396795,23.847713454124,2.98096427723846,9.54822763077345e-08,1.31992678041375e-07,-1.27942414338929e-16,2.98096418175618,2.98096427724084,2.98096427724113,9.14171697135871e-11,-0,3.54155398060111e-24
2.98625e-07,23.847713454124,23.850951786138,11.999996700183,4.91741324087925e-15,0.00323833201396795,23.847713454124,2.98096427723846,9.54822763077345e-08,1.31992678084466e-07,-1.9669652963517e-16,2.98096418175618,2.98096427724084,2.98096427722426,9.14171697135938e-11,-0,-7.47147569997154e-24
2.9875e-07,23.847713454124,23.850951786138,11.999996700183,3.25621445293396e-15,0.00323833201396084,23.847713454124,2.98096427723846,9.54822740872885e-08,1.3199267815386e-07,-1.30248578117358e-16,2.98096418175618,2.98096427724084,2.98096427724112,9.14171697135607e-11,-0,3.2070576138348e-24
2.98875e-07,23.847713454124,23.850951786138,11.9999967001831,5.42322241207147e-15,0.00323833201396795,23.847713454124,2.98096427723846,9.54822740872885e-08,1.31992678026126e-07,-2.16928896482859e-16,2.98096418175618,2.98096427724084,2.98096427722425,9.1417169713607e-11,-0,-2.38835582990516e-24
2.99e-07,23.847713454124,23.850951786138,11.999996700183,3.21765350723562e-15,0.00323833201396084,23.847713454124,2.98096427723845,9.54822727550209e-08,1.31992678144199e-07,-1.28706140289425e-16,2.98096418175618,2.98096427724084,2.98096427724112,9.14171697135938e-11,-0,3.36725627240298e-24
2.99125e-07,23.847713454124,23.850951786138,11.9999967001831,6.0117095167505e-15,0.00323833201396795,23.847713454124,2.98096427723845,9.54822727550209e-08,1.31992677974813e-07,-2.4046838067002e-16,2.98096418175618,2.98096427724084,2.98096427722425,9.14171697136004e-11,-6.42457970426151e-41,2.58335538209562e-24
2.9925e-07,23.847713454124,23.850951786138,11.999996700183,2.58235452072951e-15,0.0032383320139644,23.847713454124,2.98096427723845,9.54822718668424e-08,1.31992678160548e-07,-1.0329418082918e-16,2.98096418175618,2.98096427724084,2.98096427724112,9.14171697136004e-11,-1.18968568784525e-40,5.32065721355299e-24
2.99375e-07,23.847713454124,23.850951786138,11.9999967001831,6.26832491495456e-15,0.00323833201397505,23.847713454124,2.98096427723845,9.54822723109316e-08,1.31992678028703e-07,-2.50732996598182e-16,2.98096418175618,2.98096427724084,2.98096427722426,9.14171697135805e-11,-0,-1.14263559923752e-23
2.995e-07,23.847713454124,23.850951786138,11.999996700183,2.53814608913298e-15,0.0032383320139644,23.847713454124,2.98096427723845,9.54822714227532e-08,1.31992678177331e-07,-1.01525843565319e-16,2.98096418175618,2.98096427724084,2.9809642772411,9.14171697135805e-11,-0,-1.14320626606875e-24
2.99625e-07,23.847713454124,23.850951786138,11.999996700183,6.49712052422775e-15,0.00323833201396795,23.847713454124,2.98096427723845,9.54822718668424e-08,1.3199267802541e-07,-2.5988482096911e-16,2.98096418175618,2.98096427724084,2.98096427722423,9.14171697136136e-11,-0,-5.44993660785782e-24
2.9975e-07,23.847713454124,23.850951786138,11.999996700183,3.17252910290706e-15,0.00323833201396795,23.847713454124,2.98096427723845,9.54822723109316e-08,1.31992678209707e-07,-1.26901164116282e-16,2.98096418175618,2.98096427724084,2.98096427724114,9.14171697135938e-11,-0,-2.8859347783418e-24
