time_s,switch_V,bus_V,highVgs_V,lowVgs_V,highVds_V,lowVds_V,highCurrent_A,lowCurrent_A,highGateCurrent_A,lowGateCurrent_A,loadCurrent_A,feedCurrent_A
1.25678500000001e-06,23.847713454221,23.8509517861031,11.9999966975249,-1.00547542446376e-11,0.00323833190589795,23.8477134542449,2.98096427767658,9.56607708602064e-08,1.32066950264687e-07,4.02190169795156e-13,2.98096418176837,2.98096427745478
1.25691000000001e-06,23.8477134540519,23.8509517861028,11.9999966974727,2.2770013373211e-12,0.00323833207468738,23.8477134540758,2.9809642777087,9.56377630423333e-08,1.32064678748378e-07,-9.10800534950298e-14,2.98096418176837,2.98096427745479
1.25703500000001e-06,23.8477134541546,23.8509517861028,11.9999966974951,-1.52308936868395e-12,0.00323833197204593,23.8477134541785,2.98096427770373,9.56388834794097e-08,1.32063460167586e-07,6.092357474882e-14,2.98096418176837,2.98096427745481
1.25716000000001e-06,23.8477134542067,23.8509517861028,11.9999966974565,2.7802151778371e-12,0.00323833191994893,23.8477134542305,2.98096427770531,9.56341446034514e-08,1.32062320634674e-07,-1.11208607116153e-13,2.98096418176837,2.98096427745482
1.25728500000001e-06,23.8477134543584,23.8509517861032,11.9999966975097,-2.65434346706396e-13,0.00323833176855359,23.8477134543823,2.98096427766911,9.56513424021921e-08,1.32062992541648e-07,1.06173738685107e-14,2.98096418176837,2.98096427745483
1.25741000000001e-06,23.8477134541051,23.8509517861029,11.9999966974778,-7.50288381332146e-12,0.00323833202165957,23.8477134541289,2.98096427769833,9.56317109945815e-08,1.32065364866207e-07,3.00115352540061e-13,2.98096418176837,2.98096427745485
1.25753500000001e-06,23.8477134541459,23.8509517861028,11.9999966975087,2.29191675150595e-13,0.00323833198079626,23.8477134541697,2.98096427770027,9.56300709731295e-08,1.3206294680046e-07,-9.16766700624382e-15,2.98096418176837,2.98096427745486
1.25766000000001e-06,23.8477134542017,23.8509517861029,11.9999966974742,2.14205506242487e-12,0.00323833192505418,23.8477134542255,2.98096427769604,9.56334194057717e-08,1.32063807445348e-07,-8.56822024990512e-14,2.98096418176837,2.98096427745488
1.25778500000001e-06,23.8477134541707,23.8509517861028,11.9999966974962,-2.74293788544584e-12,0.00323833195600187,23.8477134541945,2.98096427770344,9.56307015798075e-08,1.32062704327751e-07,1.09717515420467e-13,2.98096418176837,2.98096427745489
1.25791000000001e-06,23.8477134543421,23.8509517861031,11.9999966975037,8.92880053006381e-12,0.00323833178481436,23.847713454366,2.98096427767559,9.56554506714724e-08,1.3206390203635e-07,-3.57152021211124e-13,2.98096418176837,2.9809642774549
1.25803500000001e-06,23.8477134542111,23.8509517861031,11.9999966975278,-7.80921721008988e-12,0.00323833191583489,23.847713454235,2.9809642776743,9.56611283520203e-08,1.32067087488252e-07,3.12368688411092e-13,2.98096418176837,2.98096427745492
1.25816000000001e-06,23.8477134540385,23.8509517861028,11.9999966974779,6.29838115123494e-13,0.00323833208821611,23.8477134540623,2.9809642777017,9.56368739757352e-08,1.32064552182953e-07,-2.51935246055444e-14,2.98096418176837,2.98096427745493
1.25828500000001e-06,23.8477134541487,23.8509517861029,11.9999966975121,-2.32649377154034e-12,0.00323833197801093,23.8477134541726,2.98096427769783,9.56365990845143e-08,1.32065212543608e-07,9.3059750863847e-14,2.98096418176837,2.98096427745494
1.25841000000001e-06,23.8477134541663,23.8509517861028,11.9999966974808,2.22827900977056e-12,0.0032383319603646,23.8477134541901,2.98096427770413,9.56364445414692e-08,1.32064331470616e-07,-8.91311603929616e-14,2.98096418176837,2.98096427745496
1.25853500000001e-06,23.8477134543114,23.850951786103,11.9999966975125,5.31284500339178e-12,0.0032383318154281,23.8477134543353,2.98096427768573,9.56579255806389e-08,1.3206417737166e-07,-2.12513800140772e-13,2.98096418176837,2.98096427745497
1.25866000000001e-06,23.8477134542581,23.8509517861031,11.9999966974945,-3.51212477849584e-12,0.00323833186880407,23.847713454282,2.98096427767752,9.56614485403406e-08,1.32066033664557e-07,1.40484991143205e-13,2.98096418176837,2.98096427745499
1.25878500000001e-06,23.8477134540442,23.8509517861028,11.9999966974827,-5.21182773343445e-12,0.00323833208249269,23.847713454068,2.98096427770128,9.56379850869382e-08,1.32064084112926e-07,2.08473109342381e-13,2.98096418176837,2.980964277455
1.25891000000001e-06,23.8477134541651,23.8509517861028,11.9999966974716,2.3368104194536e-12,0.00323833196150503,23.847713454189,2.98096427770795,9.56326511314387e-08,1.32062546676082e-07,-9.34724167803875e-14,2.98096418176837,2.98096427745502
1.25903500000001e-06,23.8477134542355,23.8509517861029,11.9999966974786,-5.5209460428584e-12,0.00323833189125722,23.8477134542593,2.9809642776979,9.56303414234583e-08,1.32062658142473e-07,2.20837841719636e-13,2.98096418176837,2.98096427745503
1.25916000000001e-06,23.8477134541735,23.8509517861029,11.9999966975141,5.08342660688418e-12,0.00323833195327339,23.8477134541973,2.98096427769693,9.56375312277657e-08,1.32065077984578e-07,-2.03337064280247e-13,2.98096418176837,2.98096427745504
1.25928500000001e-06,23.8477134541843,23.8509517861028,11.9999966974987,-3.33358067621301e-12,0.00323833194237011,23.8477134542081,2.98096427770433,9.56348746861124e-08,1.32065117508517e-07,1.33343227051721e-13,2.98096418176837,2.98096427745506
1.25941000000001e-06,23.8477134541903,23.8509517861029,11.9999966974883,2.63667205294576e-12,0.00323833193641576,23.8477134542142,2.98096427769537,9.56352295133911e-08,1.32063296742757e-07,-1.05466882120362e-13,2.98096418176837,2.98096427745507
1.25953500000001e-06,23.8477134541854,23.8509517861028,11.9999966974981,-3.66108627117728e-12,0.00323833194122258,23.8477134542093,2.98096427770386,9.56341126290283e-08,1.32065042013352e-07,1.46443450850606e-13,2.98096418176837,2.98096427745509
1.25966000000001e-06,23.8477134541902,23.8509517861029,11.9999966974873,9.9728655237857e-13,0.00323833193658629,23.847713454214,2.9809642776949,9.56344994307301e-08,1.32063169289154e-07,-3.98914620961002e-14,2.98096418176837,2.9809642774551
1.25978500000001e-06,23.8477134542084,23.8509517861029,11.9999966974755,-3.06822653318316e-12,0.0032383319183289,23.8477134542322,2.98096427769867,9.56276777763776e-08,1.32063172397778e-07,1.22729061330272e-13,2.98096418176837,2.98096427745512
1.25991000000001e-06,23.847713454191,23.8509517861029,11.999996697492,2.03257021155119e-12,0.00323833193572653,23.8477134542149,2.98096427769553,9.56291525966435e-08,1.32062794477861e-07,-8.13028084639989e-14,2.98096418176837,2.98096427745513
1.26003500000001e-06,23.8477134541694,23.8509517861028,11.9999966975028,-4.16275992068031e-12,0.00323833195723466,23.8477134541933,2.98096427770292,9.56356669412628e-08,1.32064697400125e-07,1.66510396831209e-13,2.98096418176837,2.98096427745514
1.26016000000001e-06,23.8477134543466,23.8509517861031,11.9999966974891,1.27041385729993e-11,0.00323833178037702,23.8477134543705,2.98096427767036,9.56505070703884e-08,1.32062135449473e-07,-5.08165542932169e-13,2.98096418176837,2.98096427745516
1.26028500000001e-06,23.8477134542187,23.8509517861031,11.9999966974854,-1.24569660975737e-11,0.00323833190828537,23.8477134542425,2.98096427767488,9.56523633632855e-08,1.32063647129144e-07,4.98278643914907e-13,2.98096418176837,2.98096427745517
1.26041000000001e-06,23.847713454216,23.8509517861031,11.9999966974884,1.01553442010401e-11,0.00323833191092859,23.8477134542399,2.98096427767286,9.56469037305396e-08,1.32062609736749e-07,-4.06213768051351e-13,2.98096418176837,2.98096427745518
1.26053500000001e-06,23.8477134540845,23.8509517861029,11.9999966974478,-2.35016682802309e-11,0.00323833204225465,23.8477134541083,2.98096427769445,9.56230148396742e-08,1.3206093996132e-07,9.40066731231798e-13,2.98096418176837,2.98096427745519
1.26066000000001e-06,23.8477134541444,23.8509517861029,11.9999966975365,1.89260695213385e-11,0.00323833198233459,23.8477134541683,2.98096427769168,9.56306420718533e-08,1.32064907010232e-07,-7.57042780871708e-13,2.98096418176837,2.98096427745521
1.26078500000001e-06,23.8477134541489,23.8509517861029,11.9999966974968,-1.12129801785367e-11,0.00323833197789725,23.8477134541727,2.98096427769327,9.5635443120301e-08,1.32064971403167e-07,4.48519207152231e-13,2.98096418176837,2.98096427745522
1.26091000000001e-06,23.8477134542869,23.8509517861031,11.9999966975201,1.30161030832313e-11,0.00323833184007327,23.8477134543108,2.98096427767125,9.56526995388174e-08,1.32064266633591e-07,-5.20644123341749e-13,2.98096418176837,2.98096427745523
1.26103500000001e-06,23.8477134540561,23.8509517861028,11.9999966974772,-1.58630400798572e-11,0.00323833207058044,23.8477134540799,2.98096427770192,9.5637696873041e-08,1.32065274716098e-07,6.34521603209518e-13,2.98096418176837,2.98096427745525
1.26116000000001e-06,23.8477134541198,23.8509517861028,11.9999966975282,1.11701537925622e-11,0.00323833200687318,23.8477134541436,2.98096427770277,9.56404497820529e-08,1.32065256952529e-07,-4.4680615171321e-13,2.98096418176837,2.98096427745526
1.26128500000001e-06,23.8477134541726,23.8509517861028,11.999996697467,-7.06418805057408e-12,0.00323833195402656,23.8477134541964,2.98096427770798,9.5640543040787e-08,1.32063971314267e-07,2.82567522029745e-13,2.98096418176837,2.98096427745527
1.26141000000001e-06,23.8477134542138,23.8509517861029,11.9999966974873,5.01677052837202e-12,0.00323833191295719,23.8477134542376,2.98096427769429,9.5633286623098e-08,1.32062762059348e-07,-2.00670821139697e-13,2.98096418176837,2.98096427745529
1.26153500000001e-06,23.8477134543266,23.8509517861031,11.9999966974817,1.50121952793373e-12,0.00323833180037525,23.8477134543504,2.98096427767554,9.56503081184223e-08,1.32062492497198e-07,-6.00487811187905e-14,2.98096418176837,2.9809642774553
1.26166000000001e-06,23.847713454096,23.8509517861029,11.9999966974684,-1.19541725654088e-11,0.00323833203069412,23.8477134541199,2.98096427769676,9.56307419919256e-08,1.32062810465072e-07,4.78166902627829e-13,2.98096418176837,2.98096427745531
