regime,modelName,horizonSamples,runCount,meanTruthRMSE_deg,meanMeasurementRMSE_deg,peakAbsoluteError_deg,meanCatastrophicFraction,nonfiniteForecastCount
nonlinear,Linear hybrid,1,10,0.0223292151253215,0.0347854391593087,0.0899066159089893,0,0
nonlinear,Linear hybrid,20,10,0.212571897684328,0.214846398879252,1.00399095717583,0,0
nonlinear,Linear hybrid,50,10,0.800475771526844,0.801389065893114,3.67511316728254,0,0
nonlinear,Linear hybrid,100,10,2.30408799980869,2.30494144416555,8.48958663930167,0,0
nonlinear,Linear hybrid,250,10,8.24851238640802,8.24792837426004,25.3184675269978,0.24140625,0
nonlinear,EDMD hybrid,1,10,0.0223415812346066,0.0347974235369462,0.0892077818657749,0,0
nonlinear,EDMD hybrid,20,10,0.212683376971464,0.214979402593136,1.01635366952513,0,0
nonlinear,EDMD hybrid,50,10,0.801007103084275,0.801900425560359,3.70261093211987,0,0
nonlinear,EDMD hybrid,100,10,2.30614093845009,2.30701283211946,8.57493258084702,0,0
nonlinear,EDMD hybrid,250,10,8.26140376599475,8.26084096937971,26.0737281830338,0.23984375,0
stress,Nominal physics,1,10,2.2623804779584,2.26197568286961,5.47322405742863,0,0
stress,Nominal physics,20,10,3.42251470502198,3.42315268608674,8.31014467837248,0,0
stress,Nominal physics,50,10,7.07681829302642,7.07679101193285,17.4788306529748,0.16953125,0
stress,Nominal physics,100,10,12.946935284926,12.9479005538207,33.3174280833883,0.5046875,0
stress,Nominal physics,250,10,26.2780863680777,26.2778625797993,78.5565299575381,0.73359375,0
stress,Persistent innovation,1,10,0.329822347437159,0.330750133722965,1.41837611633434,0,0
stress,Persistent innovation,20,10,1.09434964239211,1.09426503591609,4.35244923879991,0,0
stress,Persistent innovation,50,10,3.43413909791939,3.43474056085163,12.6503578019241,0.0125,0
stress,Persistent innovation,100,10,9.28854204369871,9.28839945670414,29.9626797456785,0.28203125,0
stress,Persistent innovation,250,10,33.7166616469263,33.7156181332681,90.0495085872563,0.80390625,0
stress,Linear hybrid,1,10,0.0558087997102349,0.0613117304283329,0.236517708065472,0,0
stress,Linear hybrid,20,10,0.637428515494452,0.637688864241623,2.66135140144933,0,0
stress,Linear hybrid,50,10,2.37633607201586,2.37696774493369,9.28126293891433,0,0
stress,Linear hybrid,100,10,6.74236270600787,6.74219991733618,22.1037898958248,0.17578125,0
stress,Linear hybrid,250,10,22.8097750689473,22.8088929844135,64.9695377281548,0.7046875,0
stress,EDMD hybrid,1,10,0.055831446380748,0.0613794553664969,0.249682626948352,0,0
stress,EDMD hybrid,20,10,0.637948506888151,0.638222629625809,2.7391046055427,0,0
stress,EDMD hybrid,50,10,2.37866749633266,2.37931579387263,8.96839481472636,0,0
stress,EDMD hybrid,100,10,6.75081531681556,6.75066339142977,22.4073185364603,0.17890625,0
stress,EDMD hybrid,250,10,22.8726117303093,22.87170092771,65.2896847493713,0.7046875,0
