modelName,regime,horizonSamples,horizonSeconds,runCount,forecastCount,truthRMSE,measurementRMSE,posteriorTruthRMSE,medianTruthRMSE,worstTruthRMSE,peakAbsoluteError,catastrophicForecastCount,catastrophicFraction,nonfiniteForecastCount
Nominal physics,stress,250,0.25,10,1280,0.458639128246394,0.458635222404109,0.458639128246394,0.428867336050143,0.73619725418563,1.3710700967006,939,0.73359375,0
Persistent innovation,nominal,1,0.001,10,1280,0.000180839750748407,0.000495120427233163,0.000127284206982858,0.000184865505146017,0.000221424889936307,0.000988846596700343,0,0,0
Persistent innovation,nominal,20,0.02,10,1280,0.000254408378723887,0.000510177061398912,0.000127695549110231,0.000253959719924332,0.000297598250548816,0.0012815905083291,0,0,0
Persistent innovation,nominal,50,0.05,10,1280,0.000454156722045386,0.000647023330044243,0.000316053989542035,0.000454256994157199,0.000535078525203492,0.00218621591716955,0,0,0
Persistent innovation,nominal,100,0.1,10,1280,0.000802363518124578,0.000909639703114976,0.000661877310956867,0.000803069506259122,0.000947359490339921,0.0037297939052905,0,0,0
Persistent innovation,nominal,250,0.25,10,1280,0.00186200347215328,0.0019200078049382,0.00172076931241452,0.00186409263575247,0.00219996385392388,0.00846189431492206,0,0,0
Persistent innovation,varied,1,0.001,10,1280,0.000520398732522759,0.000709373288776168,0.00977789843837232,0.000503300980928545,0.000661458873083906,0.00170581547911314,0,0,0
Persistent innovation,varied,20,0.02,10,1280,0.00168216965312689,0.00175116707821315,0.00979868185784479,0.00161247865052707,0.00216288623788511,0.00443410850038278,0,0,0
Persistent innovation,varied,50,0.05,10,1280,0.00565093845935548,0.00565482660706989,0.0106409279947561,0.00542363002920943,0.00722855945621406,0.0142621064885712,0,0,0
Persistent innovation,varied,100,0.1,10,1280,0.0173419159162525,0.0173433311724662,0.0179528570296406,0.0167365403354431,0.0219907333477193,0.0433604564812343,0,0,0
Persistent innovation,varied,250,0.25,10,1280,0.0838780784186919,0.0838589761731469,0.0799474747451176,0.0826919116773693,0.103973918669035,0.203647659325326,29,0.02265625,0
Persistent innovation,nonlinear,1,0.001,10,1280,0.00191016036862791,0.00195884770022684,0.0189990050658203,0.00206111860230486,0.00282783132154174,0.0101517676983796,0,0,0
Persistent innovation,nonlinear,20,0.02,10,1280,0.00636387375848018,0.00638882112216496,0.0191732256644643,0.0069536814726855,0.00943541782294309,0.0299838747604602,0,0,0
Persistent innovation,nonlinear,50,0.05,10,1280,0.0201554558014787,0.0201634042683206,0.0242230341000422,0.0217568966404264,0.0300552038775027,0.0868395740131105,0,0,0
Persistent innovation,nonlinear,100,0.1,10,1280,0.055217034906197,0.0552312023490004,0.0513906964178641,0.0581853320018799,0.0828763085795718,0.20996257555584,17,0.01328125,0
Persistent innovation,nonlinear,250,0.25,10,1280,0.212870159066165,0.21286054532817,0.201366638663411,0.216823372152601,0.325826426241855,0.70469436259392,521,0.40703125,0
Persistent innovation,stress,1,0.001,10,1280,0.00575648590943511,0.00577267883487727,0.0472107630238707,0.00576803134261127,0.00757691445709853,0.0247553332616844,0,0,0
Persistent innovation,stress,20,0.02,10,1280,0.0191000044277649,0.0190985277661898,0.0478341104709473,0.0190500191378415,0.025217341884701,0.0759645697429793,0,0,0
Persistent innovation,stress,50,0.05,10,1280,0.0599370342301613,0.0599475317386576,0.0649463727571159,0.0589868512531069,0.0799389316475601,0.220790395198927,16,0.0125,0
Persistent innovation,stress,100,0.1,10,1280,0.162115641372466,0.16211315275994,0.147967451603621,0.156529661082132,0.222588263562932,0.522947414282707,361,0.28203125,0
Persistent innovation,stress,250,0.25,10,1280,0.588466758519758,0.588448545770632,0.556496210230469,0.571274714794295,0.914370994920259,1.57166041465053,1029,0.80390625,0
Linear hybrid,nominal,1,0.001,10,1280,0.000255082277825929,0.000521686103458051,0.000180056196901075,0.000252550911790318,0.000278083324430226,0.000871753090718186,0,0,0
Linear hybrid,nominal,20,0.02,10,1280,0.000917964392748637,0.00102775476937807,0.000171895224540947,0.00088091744951241,0.00119726834980088,0.00307477104864595,0,0,0
Linear hybrid,nominal,50,0.05,10,1280,0.00321564158066336,0.00325100281779707,0.00133512786556374,0.00306135364334467,0.00431524045360209,0.00997809129339222,0,0,0
Linear hybrid,nominal,100,0.1,10,1280,0.0101796571223205,0.0101874519015984,0.00676737013043757,0.00971979112977612,0.013615939830706,0.0300692119398171,0,0,0
Linear hybrid,nominal,250,0.25,10,1280,0.0464700427631396,0.0464698396813567,0.0409216498389176,0.0450486800258844,0.0608172674024922,0.135570147989168,0,0,0
Linear hybrid,varied,1,0.001,10,1280,0.000256921051410488,0.000542927559714264,0.00977574251791451,0.000259316271027688,0.000278868664595842,0.00083300166934857,0,0,0
Linear hybrid,varied,20,0.02,10,1280,0.00135569738260055,0.00143759515358914,0.0097573022081521,0.00135752879223226,0.00171452607975636,0.00445399090761611,0,0,0
Linear hybrid,varied,50,0.05,10,1280,0.00519162775100385,0.00520610018024169,0.0107234301800923,0.00525595995303174,0.00669896422729992,0.0164572936009402,0,0,0
Linear hybrid,varied,100,0.1,10,1280,0.0168716821044996,0.0168685423120444,0.0181998046978367,0.0171893306192018,0.0217837635585364,0.05175361059143,0,0,0
Linear hybrid,varied,250,0.25,10,1280,0.0781395495365909,0.0781344296447558,0.0757850568270787,0.0819031393208931,0.0984909750722093,0.228572650393775,38,0.0296875,0
Linear hybrid,nonlinear,1,0.001,10,1280,0.000389718323322979,0.000607120445082106,0.0190211838639781,0.000422554162736024,0.000491198206521173,0.00156916646693778,0,0,0
Linear hybrid,nonlinear,20,0.02,10,1280,0.00371007951180404,0.003749777046496,0.0190200806058028,0.00405633593668674,0.00546748191284461,0.0175229478629677,0,0,0
Linear hybrid,nonlinear,50,0.05,10,1280,0.0139709377955853,0.0139868777893166,0.0218463194636121,0.015136648867201,0.0209584832783751,0.0641428251524775,0,0,0
Linear hybrid,nonlinear,100,0.1,10,1280,0.0402139218523522,0.0402288172663618,0.0411050526423402,0.0424107905155184,0.0612929279639073,0.148171238989134,0,0,0
Linear hybrid,nonlinear,250,0.25,10,1280,0.143963699534355,0.143953506599501,0.142469988517403,0.146464565535639,0.224712899951346,0.441890619905378,309,0.24140625,0
Linear hybrid,stress,1,0.001,10,1280,0.000974047306529657,0.0010700915660696,0.0472921310236973,0.000962805258638999,0.00127022357113938,0.00412801274501323,0,0,0
Linear hybrid,stress,20,0.02,10,1280,0.0111252263414779,0.0111297702843194,0.0472563008999215,0.0110426670959762,0.0148144227693206,0.0464493445078563,0,0,0
Linear hybrid,stress,50,0.05,10,1280,0.0414748885905858,0.0414859133627977,0.0573995841555176,0.0406286923566929,0.0561030836614098,0.16198859702738,0,0,0
Linear hybrid,stress,100,0.1,10,1280,0.117676428583512,0.117673587385206,0.117829084553371,0.112616978064312,0.164910508580576,0.385783910851198,225,0.17578125,0
Linear hybrid,stress,250,0.25,10,1280,0.398105676592447,0.39809028131305,0.394019541596458,0.384294643221252,0.643130770851538,1.13393234685498,902,0.7046875,0
EDMD hybrid,nominal,1,0.001,10,1280,0.000255672201641712,0.000521644347106619,0.000180120500688371,0.000253435341812214,0.000278971323842304,0.000887093151260399,0,0,0
EDMD hybrid,nominal,20,0.02,10,1280,0.000925374300258319,0.00103555702947444,0.000172223024970749,0.00086038809075225,0.00124797694118623,0.00359512772424303,0,0,0
EDMD hybrid,nominal,50,0.05,10,1280,0.00324558346841792,0.00328358482665,0.0013467328589974,0.00306287306065545,0.00452742840839837,0.011955439932693,0,0,0
EDMD hybrid,nominal,100,0.1,10,1280,0.0102618805757322,0.010270127768453,0.00682732082123397,0.00975307077493117,0.0142444475967009,0.035754476911302,0,0,0
EDMD hybrid,nominal,250,0.25,10,1280,0.0465425541529143,0.0465417225852817,0.0410283461623855,0.0441517711553096,0.0623239409624095,0.146542457415313,0,0,0
EDMD hybrid,varied,1,0.001,10,1280,0.000257233122982814,0.00054310616563316,0.00977575548886474,0.00025928624535041,0.000281996894497567,0.000837538605449762,0,0,0
EDMD hybrid,varied,20,0.02,10,1280,0.00136270060163327,0.0014438363620429,0.00975684569383534,0.00135994340639829,0.0018030799170276,0.00494616206152776,0,0,0
EDMD hybrid,varied,50,0.05,10,1280,0.00522281087557154,0.00523469531542417,0.0107330475858201,0.00526523496775527,0.00705224809265555,0.018825065559985,0,0,0
EDMD hybrid,varied,100,0.1,10,1280,0.0169732823150846,0.0169699453226044,0.0182827004000849,0.0172232096348266,0.0228496229984634,0.0592225713843138,0,0,0
EDMD hybrid,varied,250,0.25,10,1280,0.0784199185806828,0.0784145586990159,0.0760935362666514,0.0813622715010762,0.101379655906451,0.241082131137178,39,0.03046875,0
EDMD hybrid,nonlinear,1,0.001,10,1280,0.000389934152645666,0.000607329611930681,0.0190212255704293,0.000422141340818502,0.000494197489238362,0.00155696951195866,0,0,0
EDMD hybrid,nonlinear,20,0.02,10,1280,0.00371202519241233,0.00375209839922065,0.0190200213165831,0.00405463139924377,0.00548497726812351,0.0177387178979398,0,0,0
EDMD hybrid,nonlinear,50,0.05,10,1280,0.0139802112806822,0.013995802699172,0.021846822443829,0.0151306100356923,0.021020527360639,0.064622751685828,0,0,0
EDMD hybrid,nonlinear,100,0.1,10,1280,0.0402497523909859,0.0402649698062438,0.0411246343384421,0.0423989236354307,0.0614661054862463,0.149660806672315,0,0,0
EDMD hybrid,nonlinear,250,0.25,10,1280,0.144188696553268,0.144178873899316,0.142688511990638,0.146464050295889,0.225237260844885,0.455072405063978,307,0.23984375,0
EDMD hybrid,stress,1,0.001,10,1280,0.000974442565494725,0.00107127358922627,0.0472924626634897,0.000964408382620744,0.00126925077286487,0.00435778392527747,0,0,0
EDMD hybrid,stress,20,0.02,10,1280,0.01113430190338,0.0111390862477067,0.0472567692786555,0.0110789924823123,0.0147816255542937,0.0478063939232606,0,0,0
EDMD hybrid,stress,50,0.05,10,1280,0.041515579621175,0.04152689454778,0.0573907782159908,0.0407931076300243,0.0560259024260548,0.156528018135762,0,0,0
EDMD hybrid,stress,100,0.1,10,1280,0.117823954472496,0.117821302874296,0.117862913247402,0.11323970513854,0.164890492178735,0.39108148500439,229,0.17890625,0
EDMD hybrid,stress,250,0.25,10,1280,0.399202383224175,0.399186486719981,0.394800886342452,0.385767041336388,0.646335288398311,1.13951996646566,902,0.7046875,0
