rowScope,modelName,regime,runName,runIndex,seed,horizonSamples,horizonSeconds,runCount,forecastCount,nonfiniteForecastCount,nonfiniteForecastFraction,oneStepPairCount,oneStepNonfiniteCount,oneStepLiftedRelativeError,oneStepInnovationRMSE,oneStepInnovationNormalizedRMSE,constantCoordinateRMSE,quadraticConsistencyRMSE,quadraticConsistencyRelativeError,consistencyNonfiniteCount
run,EDMD hybrid,nominal,nominal_seed_130105,5,130105,100,0.1,1,128,0,0,128,0,0.0509308909805794,0.000522243613429741,0.0451557499093407,0,0.473446269181726,0.787627921216875,0
run,EDMD hybrid,nominal,nominal_seed_130105,5,130105,250,0.25,1,128,0,0,128,0,0.0509308909805794,0.000522243613429741,0.0451557499093407,0,0.717899770906386,1.04047078371472,0
run,Linear hybrid,nominal,nominal_seed_130106,6,130106,1,0.001,1,128,0,0,128,0,0.0331415592257176,0.000535639336437673,0.0463140099673784,0,0,0,0
run,Linear hybrid,nominal,nominal_seed_130106,6,130106,20,0.02,1,128,0,0,128,0,0.0331415592257176,0.000535639336437673,0.0463140099673784,0,0,0,0
run,Linear hybrid,nominal,nominal_seed_130106,6,130106,50,0.05,1,128,0,0,128,0,0.0331415592257176,0.000535639336437673,0.0463140099673784,0,0,0,0
run,Linear hybrid,nominal,nominal_seed_130106,6,130106,100,0.1,1,128,0,0,128,0,0.0331415592257176,0.000535639336437673,0.0463140099673784,0,0,0,0
run,Linear hybrid,nominal,nominal_seed_130106,6,130106,250,0.25,1,128,0,0,128,0,0.0331415592257176,0.000535639336437673,0.0463140099673784,0,0,0,0
run,EDMD hybrid,nominal,nominal_seed_130106,6,130106,1,0.001,1,128,0,0,128,0,0.0370133184651144,0.000534290228641038,0.0461973594757324,0,0.0195472978438285,0.0282456311962935,0
run,EDMD hybrid,nominal,nominal_seed_130106,6,130106,20,0.02,1,128,0,0,128,0,0.0370133184651144,0.000534290228641038,0.0461973594757324,0,0.177729443636715,0.252866491468288,0
run,EDMD hybrid,nominal,nominal_seed_130106,6,130106,50,0.05,1,128,0,0,128,0,0.0370133184651144,0.000534290228641038,0.0461973594757324,0,0.337102694680891,0.47750620561982,0
run,EDMD hybrid,nominal,nominal_seed_130106,6,130106,100,0.1,1,128,0,0,128,0,0.0370133184651144,0.000534290228641038,0.0461973594757324,0,0.582627491820852,0.759140253694866,0
run,EDMD hybrid,nominal,nominal_seed_130106,6,130106,250,0.25,1,128,0,0,128,0,0.0370133184651144,0.000534290228641038,0.0461973594757324,0,0.928133593614166,1.08279546233806,0
run,Linear hybrid,nominal,nominal_seed_130107,7,130107,1,0.001,1,128,0,0,128,0,0.0366857088430252,0.000495159138377808,0.0428138930624204,0,0,0,0
run,Linear hybrid,nominal,nominal_seed_130107,7,130107,20,0.02,1,128,0,0,128,0,0.0366857088430252,0.000495159138377808,0.0428138930624204,0,0,0,0
