modelName,regime,eventGroup,runName,runIndex,seed,horizonSamples,horizonSeconds,forecastCount,nonfiniteForecastCount,learnedCandidateNonfiniteCount,unknownReversalForecastCount,startupTargetCount,truthBias,truthStd,truthRMSE,truthP95AbsoluteError,truthMaxAbsoluteError,measurementBias,measurementStd,measurementRMSE,measurementP95AbsoluteError,measurementMaxAbsoluteError,posteriorTruthRMSE
Linear hybrid,varied,awayFromReversal,varied_seed_130205,15,130205,250,0.25,94,0,0,0,0,0.000704917930096798,0.0843109221032171,0.0843138689373398,0.175845056479178,0.198539074311583,0.00075310318505906,0.0843023663110397,0.0843057301139612,0.175017673664255,0.198100587988245,0.0806845620313989
Linear hybrid,varied,awayFromReversal,varied_seed_130206,16,130206,250,0.25,76,0,0,0,0,0.00773163282532077,0.0899748675077732,0.0903064500973597,0.183946091142426,0.221049873919218,0.00774002525301987,0.0899959391050417,0.0903281630850299,0.183346448418588,0.221458115759972,0.0884826636299846
Linear hybrid,varied,awayFromReversal,varied_seed_130207,17,130207,250,0.25,94,0,0,0,0,-0.00939360896598904,0.0488219488607427,0.0497174273265108,0.0899191399810276,0.0959504741540579,-0.00934162034754953,0.0487927423017702,0.049678944957041,0.0896303037358329,0.096023811240054,0.0480190496115767
Linear hybrid,varied,awayFromReversal,varied_seed_130208,18,130208,250,0.25,92,0,0,0,0,-3.10155043810006e-05,0.0849504677009549,0.0849504733628512,0.14473014985507,0.160109207864917,-1.62887197617612e-05,0.0849976911773615,0.0849976927381238,0.144183519925026,0.160636784472028,0.080606805058745
Linear hybrid,varied,awayFromReversal,varied_seed_130209,19,130209,250,0.25,89,0,0,0,0,0.000270662901101607,0.0729187030685227,0.0729192053961192,0.136182865977821,0.147204090803888,0.000319395156861777,0.0729400645144204,0.0729407638062149,0.136803391351361,0.146473913160076,0.072217675762026
Linear hybrid,varied,awayFromReversal,varied_seed_130210,20,130210,250,0.25,94,0,0,0,0,-0.00995724021086309,0.0740903188195343,0.0747564176201419,0.137201325948234,0.168847210426907,-0.00990139961479139,0.0740986012240655,0.0747572098041043,0.137688101978809,0.16820455966507,0.0717174901820891
EDMD hybrid,varied,all,varied_seed_130201,11,130201,1,0.001,128,0,0,0,0,-5.61262430170945e-05,0.000258759518057031,0.000264776591375297,0.000540610678313153,0.000685871618606004,-5.3492597057577e-05,0.000539575762878791,0.000542220860744211,0.00100858547709976,0.00133209982094323,0.00781714790829106
EDMD hybrid,varied,all,varied_seed_130202,12,130202,1,0.001,128,0,0,0,0,-2.89524067294179e-06,0.000279179897856526,0.000279194910028343,0.000529837592247534,0.000837538605449762,3.81513307985975e-05,0.000509092396902348,0.000510519923828132,0.00093885569110889,0.00121126922477525,0.0110265753394121
EDMD hybrid,varied,all,varied_seed_130203,13,130203,1,0.001,128,0,0,0,0,9.56839634835411e-06,0.000231584059737037,0.000231781644944043,0.000461232123903588,0.00056747365790405,3.36469636687491e-05,0.000545084482125576,0.00054612197430449,0.000971794037656269,0.00114891058088235,0.0115679804379832
EDMD hybrid,varied,all,varied_seed_130204,14,130204,1,0.001,128,0,0,0,0,8.34765574123531e-07,0.000263138252025204,0.000263139576104476,0.000545891442650312,0.000746560456213543,-5.48743753228667e-05,0.000534183734547437,0.000536994841057269,0.000994870518948809,0.00134776951932802,0.00992893450679441
EDMD hybrid,varied,all,varied_seed_130205,15,130205,1,0.001,128,0,0,0,0,1.27813987031543e-05,0.000233971131936752,0.000234319983638985,0.000483160988981601,0.00063823763644491,1.28325319539296e-06,0.000528779395810262,0.000528780952921178,0.000952941680492748,0.00123801280757244,0.00934658105647611
EDMD hybrid,varied,all,varied_seed_130206,16,130206,1,0.001,128,0,0,0,0,7.83846537517092e-06,0.00028188793334734,0.000281996894497567,0.000508186046545914,0.000694583720745712,-1.13598465856712e-05,0.000550138354665844,0.000550255627312336,0.0010287815353091,0.00125899181952771,0.0115011876707328
EDMD hybrid,varied,all,varied_seed_130207,17,130207,1,0.001,128,0,0,0,0,-1.01204587519848e-05,0.000255232345469442,0.000255432914596344,0.000545440313531209,0.00080869335272532,-2.85081193560925e-06,0.000571766937425574,0.000571774044410651,0.00107842110695855,0.00134294271569763,0.00832371335366391
EDMD hybrid,varied,all,varied_seed_130208,18,130208,1,0.001,128,0,0,0,0,9.07095628858927e-08,0.000252842235704388,0.000252842251975848,0.000509019981881464,0.000687246582157616,-7.05520916138954e-05,0.000552181603565599,0.000556670567703531,0.000971973519762526,0.0013299635971773,0.00890831861409618
EDMD hybrid,varied,all,varied_seed_130209,19,130209,1,0.001,128,0,0,0,0,3.26245361183247e-05,0.000272094660203534,0.000274043544839525,0.000554269309627931,0.00067284900796194,4.4647096972251e-05,0.000550505721031376,0.000552313237353881,0.00100595058644271,0.0014334142816832,0.00927748673576903
EDMD hybrid,varied,all,varied_seed_130210,20,130210,1,0.001,128,0,0,0,0,-3.62267021299873e-05,0.000231991457328047,0.000234802917827709,0.000528488002881272,0.000683721922049019,-2.49687336453592e-05,0.000534827103556668,0.000535409626695923,0.00109107613169149,0.00129665777850496,0.0100596292654286
EDMD hybrid,varied,nearReversal,varied_seed_130201,11,130201,1,0.001,31,0,0,0,0,-9.09094369021112e-05,0.00027449798036548,0.000289160278984833,0.000558309145718708,0.000652426940024459,-4.56071993632602e-05,0.000548289681714041,0.000550183234666275,0.00118251820966891,0.00125764138716197,0.00745471396892061
EDMD hybrid,varied,nearReversal,varied_seed_130202,12,130202,1,0.001,50,0,0,0,0,-4.34288706788844e-05,0.000242052906794034,0.000245918028000968,0.00049151902884003,0.000637611721703783,-7.04905078743996e-05,0.000543356182026031,0.000547909529253047,0.00115035612127715,0.00121126922477525,0.0097537923346194
EDMD hybrid,varied,nearReversal,varied_seed_130203,13,130203,1,0.001,40,0,0,0,0,1.36203540845202e-05,0.00024072552535029,0.000241110540210421,0.000450813661303839,0.000547383704397927,3.17316245666952e-05,0.000540140576057421,0.000541071841719086,0.00101193567256767,0.00114891058088235,0.00983303135612995
EDMD hybrid,varied,nearReversal,varied_seed_130204,14,130204,1,0.001,41,0,0,0,0,1.76597564912395e-05,0.000318015050816194,0.000318505007095581,0.000616609623183939,0.000746560456213543,-2.06920896836781e-05,0.000474063201939387,0.000474514575127573,0.000822228573696737,0.00094216191446464,0.00902812697764538
EDMD hybrid,varied,nearReversal,varied_seed_130205,15,130205,1,0.001,36,0,0,0,0,-1.59443623169718e-05,0.000226447600367538,0.000227008234216099,0.000483160988981601,0.00063823763644491,-1.99268005034288e-05,0.000516945430237478,0.000517329348888805,0.000964117087799532,0.00123671012491877,0.0103984149046023
EDMD hybrid,varied,nearReversal,varied_seed_130206,16,130206,1,0.001,49,0,0,0,0,3.19604633273024e-05,0.0002756387761932,0.000277485506211371,0.000610383328767561,0.000649846719456171,2.98350015649861e-06,0.000589420153819875,0.000589427704644284,0.00103027087368368,0.00125899181952771,0.0121116817211344
EDMD hybrid,varied,nearReversal,varied_seed_130207,17,130207,1,0.001,35,0,0,0,0,-4.05416367819358e-05,0.000288782745346839,0.000291614640104052,0.000625534323816734,0.000727926684107955,-1.77665042505227e-05,0.000527748171914547,0.000528047139593077,0.00125792865871946,0.00134294271569763,0.00834877819071289
EDMD hybrid,varied,nearReversal,varied_seed_130208,18,130208,1,0.001,40,0,0,0,0,7.36762333928096e-06,0.000241763657546671,0.000241875893763752,0.000462180490751377,0.00053576553254768,-0.000141666837734255,0.000518553047877918,0.000537556282055286,0.000954232526617943,0.000969342704286946,0.00876498030291368
EDMD hybrid,varied,nearReversal,varied_seed_130209,19,130209,1,0.001,33,0,0,0,0,3.2556689646726e-05,0.000332980863755865,0.000334568668091253,0.00064533539090833,0.00067284900796194,0.000102959570934152,0.000529733674835503,0.000539646587593835,0.00138338715855002,0.0014334142816832,0.00991991158586624
EDMD hybrid,varied,nearReversal,varied_seed_130210,20,130210,1,0.001,34,0,0,0,0,-2.43757828406217e-05,0.000233406352917865,0.00023467574304029,0.00057141482470574,0.000577936259243017,4.76902612146436e-05,0.000517112921022674,0.000519307359954895,0.00116576428414671,0.0011722373869304,0.0101342574226604
EDMD hybrid,varied,awayFromReversal,varied_seed_130201,11,130201,1,0.001,97,0,0,0,0,-4.50099645589964e-05,0.000252515482267195,0.000256495547123603,0.000506703210797932,0.000685871618606004,-5.6012672609369e-05,0.000536736646437434,0.00053965141260053,0.00100623192415229,0.00133209982094323,0.00792948498130094
EDMD hybrid,varied,awayFromReversal,varied_seed_130202,12,130202,1,0.001,78,0,0,0,0,2.30878554847137e-05,0.000297687938143347,0.000298581911017597,0.000539812230744048,0.000837538605449762,0.00010779353507616,0.000472909115242791,0.000485038635042544,0.000848873061477184,0.00093936644257786,0.0117702925209656
EDMD hybrid,varied,awayFromReversal,varied_seed_130203,13,130203,1,0.001,88,0,0,0,0,7.72659737736954e-06,0.000227283469091975,0.000227414765636523,0.000472114812291924,0.00056747365790405,3.45175723515009e-05,0.000547314733517103,0.000548402115537439,0.000965732915213929,0.00110941941238467,0.0122758010824098
EDMD hybrid,varied,awayFromReversal,varied_seed_130204,14,130204,1,0.001,87,0,0,0,0,-7.0942531339426e-06,0.000232413382185747,0.00023252163049176,0.000510031565738034,0.000558872584442621,-7.09832685551279e-05,0.000559560943511452,0.000564045276478933,0.00101005171677365,0.00134776951932802,0.0103262463446604
EDMD hybrid,varied,awayFromReversal,varied_seed_130205,15,130205,1,0.001,92,0,0,0,0,2.40219138849428e-05,0.000235899803882475,0.000237119737302666,0.00048716135717649,0.000576274742803584,9.5828394253667e-06,0.000533108948480616,0.000533195069145955,0.000952941680492748,0.00123801280757244,0.008901224110968
EDMD hybrid,varied,awayFromReversal,varied_seed_130206,16,130206,1,0.001,79,0,0,0,0,-7.12328019007521e-06,0.000284670076825755,0.000284759185559742,0.00049895339094147,0.000694583720745712,-2.02563527928398e-05,0.000524099704160877,0.000524491010151735,0.0010287815353091,0.00122779310865478,0.0111056763975953
EDMD hybrid,varied,awayFromReversal,varied_seed_130207,17,130207,1,0.001,93,0,0,0,0,1.32837168939461e-06,0.00024040628933534,0.000240409959284827,0.000443050895887365,0.00080869335272532,2.76262065602484e-06,0.000587381461538397,0.000587387958194474,0.000961400906863946,0.00122915863263728,0.00831426078061252
EDMD hybrid,varied,awayFromReversal,varied_seed_130208,18,130208,1,0.001,88,0,0,0,0,-3.21697851729368e-06,0.000257652636450501,0.000257672718813372,0.000515413692050853,0.000687246582157616,-3.82272070137321e-05,0.000563850853938236,0.000565145206865411,0.00101850887572097,0.0013299635971773,0.00897271545971814
EDMD hybrid,varied,awayFromReversal,varied_seed_130209,19,130209,1,0.001,95,0,0,0,0,3.2648103840038e-05,0.000247463508970988,0.000249607866375609,0.000511036799123649,0.00060837227780336,2.43911849644328e-05,0.000556111139134288,0.000556645784115181,0.000974995830041125,0.00112234134777262,0.00904365551567395
EDMD hybrid,varied,awayFromReversal,varied_seed_130210,20,130210,1,0.001,94,0,0,0,0,-4.05132048516728e-05,0.000231328092080558,0.000234848900259262,0.000519956129885757,0.000683721922049019,-5.12496466798283e-05,0.000538683441558002,0.00054111586235628,0.00109107613169149,0.00129665777850496,0.0100324993933596
EDMD hybrid,varied,all,varied_seed_130201,11,130201,20,0.02,128,0,0,0,0,-0.00025300875041752,0.000913171558123997,0.000947573597328695,0.00182764572383559,0.0022688755948323,-0.000207426953676046,0.00103219658841216,0.00105283224601121,0.00216059546907688,0.00248773512397599,0.00785679543612831
EDMD hybrid,varied,all,varied_seed_130202,12,130202,20,0.02,128,0,0,0,0,-5.48136732090283e-06,0.001596941611218,0.00159695101835568,0.00318608567868919,0.00469117184325452,4.83786251855759e-05,0.00168172480145426,0.00168242051794467,0.00325921304407822,0.00483805313824132,0.0109646891894777
EDMD hybrid,varied,all,varied_seed_130203,13,130203,20,0.02,128,0,0,0,0,2.17661888305502e-05,0.0014710560680568,0.00147121708878837,0.00258223791389051,0.00287385012313593,1.47899906715443e-05,0.00150283043073122,0.00150290320624977,0.00267696432802661,0.00347637333147333,0.0115353794950631
EDMD hybrid,varied,all,varied_seed_130204,14,130204,20,0.02,128,0,0,0,0,-0.000135030429907935,0.00128743796515384,0.00129449979958306,0.00238013270422122,0.00301804085347065,-0.00016188584990889,0.00139053304572725,0.00139992470499675,0.00251263805264096,0.00356298823366819,0.00986982739802792
EDMD hybrid,varied,all,varied_seed_130205,15,130205,20,0.02,128,0,0,0,0,2.30727146715219e-05,0.00153948392020506,0.00153965680940015,0.00274784583689786,0.00373097496227903,3.18147951518021e-05,0.00158801347531893,0.00158833213749047,0.00297344980930467,0.00400797351899224,0.00932689227816891
EDMD hybrid,varied,all,varied_seed_130206,16,130206,20,0.02,128,0,0,0,0,4.18854323337216e-05,0.00180259335340683,0.0018030799170276,0.00356055027962648,0.00494616206152776,4.05559937536137e-05,0.00189387865434786,0.00189431284270149,0.00383360054613496,0.00526155587283761,0.0114818955651051
EDMD hybrid,varied,all,varied_seed_130207,17,130207,20,0.02,128,0,0,0,0,-8.98699459258614e-05,0.000931674607140215,0.000935999028188914,0.00182871852996921,0.00282873266864833,-2.1228683893362e-05,0.00106466516278291,0.00106487678435742,0.0021228884083519,0.00352529875934421,0.00838552801900834
EDMD hybrid,varied,all,varied_seed_130208,18,130208,20,0.02,128,0,0,0,0,9.16782700728938e-05,0.00137653125353782,0.00137958080487152,0.00254030998114474,0.00290946784099627,0.000111299931246953,0.00146202533736036,0.00146625569454282,0.00302257686171392,0.00338333584136896,0.00885111716326719
EDMD hybrid,varied,all,varied_seed_130209,19,130209,20,0.02,128,0,0,0,0,5.35805997126437e-05,0.00131705250698044,0.00131814194486369,0.00259812096451073,0.00326157524095272,3.92024810745486e-05,0.00133954888749164,0.00134012240355218,0.00265512948082308,0.00339185175471285,0.00927315112295532
EDMD hybrid,varied,all,varied_seed_130210,20,130210,20,0.02,128,0,0,0,0,-0.000127948081053545,0.00133418495098495,0.00134030600792505,0.00279807524217807,0.00357573519476523,-9.47099668622899e-05,0.00144327892098408,0.00144638308258222,0.00275656364931409,0.00370869055323353,0.0100231812711515
EDMD hybrid,varied,nearReversal,varied_seed_130201,11,130201,20,0.02,32,0,0,0,0,-0.000539493419418399,0.000713251749430131,0.000894304874000416,0.00182764572383559,0.00191427243303663,-0.000542476052331665,0.000950269699925218,0.00109420874148826,0.00231641214434933,0.00246624502218137,0.00744529729180875
EDMD hybrid,varied,nearReversal,varied_seed_130202,12,130202,20,0.02,49,0,0,0,0,-0.000144016758748468,0.00138617751161375,0.00139363873385613,0.00269032901931887,0.00326633302991663,-3.51393087637907e-05,0.00152266126258299,0.00152306667338998,0.00277794801827148,0.0042405059228793,0.00971943768689323
EDMD hybrid,varied,nearReversal,varied_seed_130203,13,130203,20,0.02,40,0,0,0,0,0.000188334993349325,0.00140487002187215,0.00141743777573301,0.00237420081626649,0.00278371943407651,0.000251274736446653,0.00146598780205699,0.00148736654156137,0.00258175748041659,0.0031166242543702,0.00972689595733886
EDMD hybrid,varied,nearReversal,varied_seed_130204,14,130204,20,0.02,41,0,0,0,0,-0.000259191593637436,0.00131998687475643,0.00134519352947506,0.00209430074258908,0.00269414533567619,-0.00019340328955237,0.00147531937699815,0.00148794223562472,0.00251263805264096,0.00279768224767407,0.00884575019318246
EDMD hybrid,varied,nearReversal,varied_seed_130205,15,130205,20,0.02,35,0,0,0,0,0.000116168172515286,0.00124720584172018,0.00125260426948278,0.00212559295923287,0.00222592501626512,0.000195241855001901,0.00129383986836303,0.00130848805378965,0.00228299338739302,0.00267832133295681,0.010492725901649
EDMD hybrid,varied,nearReversal,varied_seed_130206,16,130206,20,0.02,49,0,0,0,0,0.0002118321422736,0.00132934539109183,0.00134611738912968,0.00280070432352089,0.00308450673661617,0.000172208038677629,0.00151573075267095,0.00152548199700215,0.00247317404044967,0.00383360054613496,0.0120717201915271
EDMD hybrid,varied,nearReversal,varied_seed_130207,17,130207,20,0.02,35,0,0,0,0,-0.000148340697633956,0.000959099028518185,0.00097050291554382,0.00203992801688321,0.00204234566356665,-0.000115153149953688,0.00105060310604794,0.00105689504416561,0.00219627679746831,0.00230778255226616,0.00825583166821848
EDMD hybrid,varied,nearReversal,varied_seed_130208,18,130208,20,0.02,41,0,0,0,0,0.000211559018322493,0.00118388109679074,0.00120263530198145,0.00229150673156442,0.00254030998114474,9.57929043416991e-05,0.00135594022105535,0.0013593197429589,0.00304749850998931,0.00338333584136896,0.00860517264340839
EDMD hybrid,varied,nearReversal,varied_seed_130209,19,130209,20,0.02,35,0,0,0,0,0.000354373046860063,0.00150524580481518,0.00154639748747034,0.00322371536769117,0.00326157524095272,0.000363860686358434,0.0015235122156841,0.00156636013432924,0.00300671875552383,0.00312263790763501,0.00988293707660265
EDMD hybrid,varied,nearReversal,varied_seed_130210,20,130210,20,0.02,35,0,0,0,0,-9.5288657101942e-05,0.00100809636801568,0.00101258985545911,0.00183192583516135,0.00219251243779323,-2.30776759492417e-05,0.00116015647955795,0.00116038598586312,0.00220334819641404,0.00287559535995935,0.00994750042123032
EDMD hybrid,varied,awayFromReversal,varied_seed_130201,11,130201,20,0.02,96,0,0,0,0,-0.00015751386075056,0.000951729974444999,0.000964676402005163,0.00185417096230414,0.0022688755948323,-9.57439207908396e-05,0.00103425165988257,0.00103867386331719,0.00207857893626395,0.00248773512397599,0.00798925291328403
