Case,Comparison,Signal,MaxAbsoluteDifference,ReferencePeakAbsolute,Limit,Pass,PeakAbsoluteDifference,RMSDifference
holdout_bus18,spice_0.25_to_0.125ns,highVds_V,0.00226815142179504,18.874278177711,0.18874278177711,1,0.000295827097257728,5.32981775950417e-05
holdout_bus18,spice_0.25_to_0.125ns,lowVds_V,0.00226083533560129,18.2430600666705,0.182430600666705,1,6.09234456305785e-06,5.30826357743564e-05
holdout_bus18,spice_0.25_to_0.125ns,highCurrent_A,0.00365515841783015,5.98685008741911,0.0598685008741911,1,0.00104636840855221,8.42185036128963e-05
holdout_bus18,spice_0.25_to_0.125ns,lowCurrent_A,0.00365516256559584,3.76412064247261,0.0376412064247261,1,0.00104592962822325,8.42185283519913e-05
holdout_bus18,spice_0.25_to_0.125ns,highGateCurrent_A,3.30408559794937e-05,0.398132601794017,0.01,1,2.68366216493732e-06,2.22609938075729e-07
holdout_bus18,spice_0.25_to_0.125ns,lowGateCurrent_A,2.83022232269795e-05,0.42302248157567,0.01,1,2.85955061157805e-06,5.5236254252954e-07
holdout_bus18,spice_0.25_to_0.125ns,loadCurrent_A,3.99444477494626e-09,2.23572314672514,0.0223572314672514,1,6.3948846218409e-14,1.07747708104117e-09
holdout_bus18,spice_0.25_to_0.125ns,feedCurrent_A,5.73232441630767e-06,2.23572401468391,0.0223572401468391,1,9.77822711689669e-10,2.32227515574451e-06
holdout_bus18,native_to_original_spice_0.125ns,switch_V,0.00205126673787603,18.2430600666523,0.182430600666523,1,6.75509772740668e-05,1.70930279745699e-05
holdout_bus18,native_to_original_spice_0.125ns,bus_V,1.04036725332435e-05,18.0131704986318,0.180131704986318,1,2.03037586743449e-11,1.77287017447553e-07
holdout_bus18,native_to_original_spice_0.125ns,highVgs_V,0.000800760512391641,11.9999966979399,0.119999966979399,1,2.19759854758195e-09,8.08518469487281e-06
holdout_bus18,native_to_original_spice_0.125ns,lowVgs_V,0.000738798951838371,11.9999870469733,0.119999870469733,1,1.11963061044662e-09,8.03619857310077e-06
