Fixture,Mechanism,Step_s,Duration_s,NetTravel_deg,AbsoluteTravel_deg,CaptureTime_s,TailHeld,TailDrift_deg,FinalVelocity_rad_s,PeakCurrent_A,LoadWork_J,CopperLoss_J,ResistorLoss_J,ViscousLoss_J,BrakeLoss_J,NumericalLoss_J,NumericalLossFraction,MaxEnergyResidual_J,MaxCapacityExcess_Nm
moving_positive_aiding,mechanical,5e-05,0.6,12.6598912598875,12.6598912598875,0.0547,1,0,0,0.471165332204195,0.00176765428343592,0.00580480518362415,0,0.000115782994719789,0.000638034543334753,9.03156175663072e-06,0.00137515791283487,5.95877513998033e-16,0
moving_positive_aiding,mechanical,2.5e-05,0.6,12.664061605828,12.664061605828,0.054675,1,0,0,0.471682898729846,0.0017682365735768,0.00580984794982451,0,0.000115840857572739,0.000638016466272726,4.5312999073346e-06,0.000689880739917843,5.24753851482984e-16,0
moving_positive_opposing,terminal_short,0.0001,0.6,-35.806357900473,52.8182855342426,NaN,0,8.43618835232155,-1.47239263745621,0.441919451226967,0.00499951070808591,0.0094205147956664,0,0.00018388793991326,0,2.04683550456343e-05,0.00208871194239781,2.56739074444567e-16,0
moving_positive_opposing,terminal_short,5e-05,0.6,-35.8063579004508,52.8264572130404,NaN,0,8.4361883531264,-1.47239263746941,0.443234897578797,0.00499951070808283,0.00943055572905668,0,0.00018401374553489,0,1.03016160267853e-05,0.00105123779478992,4.5102810375397e-16,0
moving_positive_opposing,terminal_short,2.5e-05,0.6,-35.8063579004413,52.8305480450375,NaN,0,8.43618835352423,-1.47239263747597,0.443894976519587,0.00499951070808145,0.00943562640659966,0,0.000184076743088858,0,5.16794092716118e-06,0.000527367241192898,1.85615411929518e-16,0
moving_positive_opposing,resistor,0.0001,0.6,-65.73795932217,91.7958804483399,NaN,0,16.5650728336909,-2.89142526046147,0.244483702934461,0.00917875066971175,0.00642095847258693,0.00642095847258693,0.000485926501203902,0,1.22701598076565e-05,0.000877772277192314,8.10983225019157e-17,0
moving_positive_opposing,resistor,5e-05,0.6,-65.7379570542248,91.8069737017603,NaN,0,16.5650829345427,-2.89142600460052,0.2450621797778,0.00917875035304682,0.00642392313415209,0.00642392313415209,0.000486078581440285,0,6.18811093406885e-06,0.000442679837451999,2.47371567674293e-15,0
moving_positive_opposing,resistor,2.5e-05,0.6,-65.7379559236981,91.81252337901,NaN,0,16.565087973767,-2.89142637554449,0.245354071547454,0.00917875019519551,0.00642542510058231,0.00642542510058231,0.000486154675582076,0,3.10776215922373e-06,0.000222320458970063,1.38083988687754e-15,0
moving_positive_opposing,mechanical,0.0001,0.6,8.2545756421662,8.2545756421662,0.0411,1,0,-0,0.441919451226967,-0.0011525561864858,0.00349831039016313,0,7.24100419558093e-05,5.57754165330715e-05,2.09479648623329e-05,0.00351915449532278,1.47885176327023e-16,0
moving_positive_opposing,mechanical,5e-05,0.6,8.26080551505811,8.26080551505811,0.0411,1,0,-0,0.443234897578797,-0.00115342604083736,0.0035079088839067,0,7.25270664830029e-05,5.55969565219304e-05,1.05410522508488e-05,0.00177058590776853,1.58293517182884e-16,0
moving_positive_opposing,mechanical,2.5e-05,0.6,8.2639231903516,8.2639231903516,0.041075,1,0,-0,0.443894976519587,-0.0011538613504284,0.00351275760141319,0,7.25856606936487e-05,5.55081915239408e-05,5.28719594089249e-06,0.000888028059389065,8.02309607639273e-17,0
moving_negative_aiding,terminal_short,0.0001,0.6,-61.1149230827218,61.1149230827218,NaN,0,8.43618842458107,-1.47239263844943,0.470137392332192,0.00853325303917269,0.0128954700741353,0,0.000249052402568711,0,1.40909447708477e-05,0.00105682722209268,1.6306400674182e-16,0
moving_negative_aiding,terminal_short,5e-05,0.6,-61.1149230827308,61.1149230827308,NaN,0,8.43618842400804,-1.47239263843984,0.471165332204195,0.00853325303917395,0.0129023909759497,0,0.000249115139093229,0,7.1073064343978e-06,0.000533051192647141,1.02175212735034e-15,0
moving_negative_aiding,terminal_short,2.5e-05,0.6,-61.1149230827395,61.1149230827395,NaN,0,8.43618842372545,-1.4723926384352,0.471682898729846,0.00853325303917517,0.0129058974961388,0,0.000249146556352459,0,3.56936898948963e-06,0.000267704286343496,5.09141340199193e-16,0
moving_negative_aiding,resistor,0.0001,0.6,-115.439687787803,115.439687787803,NaN,0,16.5685889278311,-2.89163344392179,0.256290578318395,0.0161184211149716,0.00976841022121758,0.00976841022121758,0.00073699014615888,0,5.88146202914822e-06,0.000281161852360778,4.26741975090295e-16,0
moving_negative_aiding,resistor,5e-05,0.6,-115.439688868291,115.439688868291,NaN,0,16.5685841154733,-2.8916330893904,0.256614492885823,0.0161184212658363,0.0097698383822432,0.0097698383822432,0.000737024622860306,0,2.99097081811201e-06,0.000142982626657244,4.30211422042248e-15,0
moving_negative_aiding,resistor,2.5e-05,0.6,-115.439689406929,115.439689406929,NaN,0,16.5685817146374,-2.89163291266202,0.256778953310834,0.0161184213410441,0.00977057107806841,0.00977057107806841,0.000737041873773377,0,1.50848156892784e-06,7.21125913057332e-05,7.59808882477842e-16,0
moving_negative_aiding,mechanical,0.0001,0.6,-12.6515528267433,12.6515528267433,0.0547,1,0,-0,0.470137392332192,0.00176649001853333,0.00579481122149239,0,0.000115667359055035,0.000638070485905675,1.79409520802678e-05,0.00273219818040248,4.5102810375397e-17,0
moving_negative_aiding,mechanical,5e-05,0.6,-12.6598912598875,12.6598912598875,0.0547,1,0,-0,0.471165332204195,0.00176765428343592,0.00580480518362415,0,0.000115782994719789,0.000638034543334753,9.03156175663072e-06,0.00137515791283487,5.95877513998033e-16,0
moving_negative_aiding,mechanical,2.5e-05,0.6,-12.664061605828,12.664061605828,0.054675,1,0,-0,0.471682898729846,0.0017682365735768,0.00580984794982451,0,0.000115840857572739,0.000638016466272726,4.5312999073346e-06,0.000689880739917843,5.24753851482984e-16,0
moving_negative_opposing,terminal_short,0.0001,0.6,35.806357900473,52.8182855342426,NaN,0,8.43618835232155,1.47239263745621,0.441919451226967,0.00499951070808591,0.0094205147956664,0,0.00018388793991326,0,2.04683550456343e-05,0.00208871194239781,2.56739074444567e-16,0
moving_negative_opposing,terminal_short,5e-05,0.6,35.8063579004508,52.8264572130404,NaN,0,8.4361883531264,1.47239263746941,0.443234897578797,0.00499951070808283,0.00943055572905668,0,0.00018401374553489,0,1.03016160267853e-05,0.00105123779478992,4.5102810375397e-16,0
moving_negative_opposing,terminal_short,2.5e-05,0.6,35.8063579004413,52.8305480450375,NaN,0,8.43618835352423,1.47239263747597,0.443894976519587,0.00499951070808145,0.00943562640659966,0,0.000184076743088858,0,5.16794092716118e-06,0.000527367241192898,1.85615411929518e-16,0
moving_negative_opposing,resistor,0.0001,0.6,65.73795932217,91.7958804483399,NaN,0,16.5650728336909,2.89142526046147,0.244483702934461,0.00917875066971175,0.00642095847258693,0.00642095847258693,0.000485926501203902,0,1.22701598076565e-05,0.000877772277192314,8.10983225019157e-17,0
moving_negative_opposing,resistor,5e-05,0.6,65.7379570542248,91.8069737017603,NaN,0,16.5650829345427,2.89142600460052,0.2450621797778,0.00917875035304682,0.00642392313415209,0.00642392313415209,0.000486078581440285,0,6.18811093406885e-06,0.000442679837451999,2.47371567674293e-15,0
moving_negative_opposing,resistor,2.5e-05,0.6,65.7379559236981,91.81252337901,NaN,0,16.565087973767,2.89142637554449,0.245354071547454,0.00917875019519551,0.00642542510058231,0.00642542510058231,0.000486154675582076,0,3.10776215922373e-06,0.000222320458970063,1.38083988687754e-15,0
