Context,ActiveRMSE_deg,ActivePeak_deg,PostPeak_deg,PrePeak_rad,ActiveMeasurementPeak_deg,ActiveCommandDelta_V,ReceiverPeak_V,EquivalentErrorPeak_deg,MarginExceededSamples,CommonModeExceededSamples,TerminationPole_Hz,RecoveryTime_s,RecoveryCensored,ActiveSaturatedSamples,PostSaturatedSamples,MaxMeasurementAge_samples,NominalTrajectoryChange_deg,NominalCommandChange_V,NominalReceiverChange_V,Grid,FirstParameter,SecondParameter,FirstValue,SecondValue
physical_only,0.190455091326956,0.277472982387834,0.120859548025333,0,0.861558936261065,0.0386446141202973,0.0835028146598498,0.835028146598498,0,0,13262911.9243246,0.022,0,0,0,0,0.166098273468785,0.00706216600735081,0.015,1,ground_conversion,angle_sensitivity,0.25,10
physical_only,0.199147376483861,0.290136725160168,0.126375523723552,0,0.900880100643025,0.04040833701881,0.0835028146598498,0.873138457610374,0,0,13262911.9243246,0.0230000000000001,0,0,0,0,0.178754588047722,0.00869720629283354,0.015,1,ground_conversion,angle_sensitivity,0.25,10.4563955259127
physical_only,0.294490703790006,0.429041897996967,0.18687877078918,0,1.3321833285124,0.059754136950017,0.0835028146598498,1.29116016202521,0,0,13262911.9243246,0.03,0,0,0,0,0.317654228026437,0.0279207738877504,0.015,1,ground_conversion,angle_sensitivity,0.25,15.4624747355496
physical_only,0.435480377145503,0.634448983096511,0.276348409428194,0,1.96997627042661,0.0883618863349705,0.0835028146598498,1.90931294970503,0,0,13262911.9243246,0.0370000000000001,0,0,0,0,0.523061313125981,0.0563477712719741,0.015,1,ground_conversion,angle_sensitivity,0.25,22.8652525963663
physical_only,0.643969933305682,0.938196278804958,0.408652320812011,0,2.91311745386986,0.130665814204719,0.0835028146598498,2.82341110508964,0,0,13262911.9243246,0.044,0,0,0,0,0.826808608834428,0.0986171937131377,0.015,1,ground_conversion,angle_sensitivity,0.25,33.8121668903121
physical_only,0.952275456634821,1.38736491193917,0.60429774012669,0,4.30779468130534,0.193223070601487,0.0835028146598498,4.17514073299249,0,0,13262911.9243246,0.05,0,0,0,0,1.27597724196864,0.161174450109905,0.015,1,ground_conversion,angle_sensitivity,0.25,50
physical_only,0.0228306009965584,0.0332834753193645,0.0145007707851763,0,0.0916581472721159,0.00408432786632101,0.0885028146598498,0.0885028146598498,0,0,13262911.9243246,2.22044604925031e-16,0,0,0,0,0.0781172393112366,0.0279642926252604,0.02,1,ground_conversion,angle_sensitivity,0.3,1
physical_only,0.0337609255724786,0.0492181933020492,0.0214431255356012,0,0.135540185237841,0.00603973102281572,0.0885028146598498,0.130874213041353,0,0,13262911.9243246,2.22044604925031e-16,0,0,0,0,0.062187997983016,0.0260088894687657,0.02,1,ground_conversion,angle_sensitivity,0.3,1.47875763662831
physical_only,0.0499242265099306,0.0727817792064384,0.0317091856389453,0,0.200431083990459,0.00893129837316911,0.0885028146598498,0.193531241972622,0,0,13262911.9243246,2.22044604925031e-16,0,0,0,0,0.0386325107232756,0.0231173221184123,0.02,1,ground_conversion,angle_sensitivity,0.3,2.18672414788656
physical_only,0.0738258312043196,0.107626611808892,0.0468902004148569,0,0.296388996068545,0.0132072256743285,0.0885028146598498,0.286185801993177,0,0,13262911.9243246,2.22044604925031e-16,0,0,0,0,0.00884063326923064,0.018989586812956,0.02,1,ground_conversion,angle_sensitivity,0.3,3.23363503288679
