time_s,reference_rad,position_rad,velocity_rad_s,current_A,sensor_side_measurement_rad,received_measurement_rad,tracking_error_rad,command_V,unsaturated_command_V,capacitive_current_A,capacitive_voltage_V,inductive_voltage_V,shared_impedance_voltage_V,ground_common_mode_voltage_V,ground_differential_voltage_V,receiver_differential_voltage_V,equivalent_encoder_error_rad,physical_source_window_active,ground_window_active,communication_channel_enabled,transmit_delay_samples,packet_dropped,sample_received,accepted_source_index,accepted_delay_samples,held_last,measurement_age_samples,measurement_age_s,collision_discard_count,out_of_order_discard_count,delta_position_rad
1.112,0.523598775598299,0.404019481657023,4.37109227033225,0.265883673145547,0.22831260794009,0.22831260794009,0.295286167658208,0.646008094254123,0.646008094254123,-0.000112415284924174,-0.00593776743965392,-0.200773090761853,-0.0130643908337575,0,0,-0.219775249035265,-0.175706873716933,1,0,0,0,0,1,1113,0,0,0,0,0,0,-0.121699879156065
1.113,0.523598775598299,0.40845919445411,4.50750851324495,0.256777655040727,0.226697801280109,0.226697801280109,0.29690097431819,0.644856161807304,0.644856161807304,-0.000107276707798024,-0.00566634815742391,-0.205659191716507,-0.0160227397054315,0,0,-0.227348279579362,-0.181761393174002,1,0,0,0,0,1,1114,0,0,0,0,0,0,-0.117248685766385
1.114,0.523598775598299,0.413032817500616,4.63888751504514,0.247378906827408,0.225421286764837,0.225421286764837,0.298177488833462,0.642974462029402,0.642974462029402,-0.000102017503202653,-0.00538855734075748,-0.210314038857282,-0.018963071781286,0,0,-0.234665667979325,-0.187611530735779,1,0,0,0,0,1,1115,0,0,0,0,0,0,-0.112663642677312
1.115,0.523598775598299,0.417735238063736,4.76507918488399,0.23769727842646,0.224484529858208,0.224484529858208,0.299114245740091,0.640365048028688,0.640365048028688,-9.66435848592551e-05,-0.00510470735199208,-0.214732398033709,-0.0218820808001168,0,0,-0.241719186185818,-0.193250708205528,1,0,0,0,0,1,1116,0,0,0,0,0,0,-0.107949862316286
1.116,0.523598775598299,0.422561196063318,4.88593897453204,0.227743256168345,0.223888611462376,0.223888611462376,0.299710164135923,0.63703079765311,0.63703079765311,-9.11609954790831e-05,-0.00481511736671084,-0.218909301014602,-0.0247764844774684,0,0,-0.248500902858781,-0.198672584600942,1,0,0,0,0,1,1117,0,0,0,0,0,0,-0.103112604459516
1.117,0.523598775598299,0.427505289769981,5.00132817822412,0.217527837069493,0.22363422648573,0.22363422648573,0.299964549112569,0.632975410754073,0.632975410754073,-8.55758999687189e-05,-0.00452011301484565,-0.222840051074582,-0.0276430281963992,0,0,-0.255003192285827,-0.203871063284252,1,0,0,0,0,1,1118,0,0,0,0,0,0,-0.098157270533842
1.118,0.523598775598299,0.432561981773452,5.11111417678124,0.207062443356556,0.223721682955834,0.223721682955834,0.299877092642464,0.628203405223514,0.628203405223514,-7.98945784979248e-05,-0.00422002601452142,-0.22652022827533,-0.030478488667146,0,0,-0.261218742956997,-0.208840298817618,1,0,0,0,0,1,1119,0,0,0,0,0,0,-0.0930893976484055
1.119,0.523598775598299,0.437725605174671,5.21517064333501,0.196358862667839,0.224150901638641,0.224150901638641,0.299447873959658,0.62272011191938,0.62272011191938,-7.4123419437906e-05,-0.00391519379905573,-0.229945694435581,-0.0332796775515519,0,0,-0.267140565786189,-0.21357470353603,1,0,0,0,0,1,1120,0,0,0,0,0,0,-0.0879146524025315
1.12,0.523598775598299,0.442990369969225,5.31337772170065,0.185429204604064,0.224921416138849,0.224921416138849,0.29867735945945,0.616531668556346,0.616531668556346,-6.8268912177887e-05,-0.00360595913753077,-0.233112597784322,-0.036043445048204,0,0,-0.272762001970056,-0.218068953830376,1,0,0,0,0,1,1121,0,0,0,0,0,0,-0.0826388245022907
1.121,0.523598775598299,0.448350369598532,5.40562218442515,0.17428586765914,0.22603237346496,0.22603237346496,0.297566402133339,0.609645012614157,0.609645012614157,-6.23376398281168e-05,-0.00329266974936669,-0.236017377291909,-0.0387666834342275,0,0,-0.278076730475503,-0.222317996133572,1,0,0,0,0,1,1122,0,0,0,0,0,0,-0.0772678202093117
