Context,ActiveRMSE_deg,ActivePeak_deg,PostPeak_deg,PrePeak_rad,ActiveMeasurementPeak_deg,ActiveCommandDelta_V,ReceiverPeak_V,EquivalentErrorPeak_deg,MarginExceededSamples,CommonModeExceededSamples,TerminationPole_Hz,RecoveryTime_s,RecoveryCensored,ActiveSaturatedSamples,PostSaturatedSamples,MaxMeasurementAge_samples,NominalTrajectoryChange_deg,NominalCommandChange_V,NominalReceiverChange_V,Parameter,Value,NominalValue,Unit,Role
physical_only,0.0769303883452085,0.111389275325914,0.0484150685456752,0,0.696491326881247,0.0320486204915814,0.0685028146598498,0.685028146598498,0,0,13262911.9243246,2.22044604925031e-16,0,0,0,0,0,0,0,cap_imbalance,1,1,pF,response
combined_phase2b,0.0603709493209783,0.12803520945169,0.0368084791251533,0,0.809806545252975,0.0362474028859342,0.0685028146598498,0.685028146598498,0,0,13262911.9243246,2.22044604925031e-16,0,0,0,17,0,0,0,cap_imbalance,1,1,pF,response
physical_only,0.0769672231889885,0.111399391988394,0.0484278064361199,0,0.704944864905698,0.0324568496414956,0.0691965399503566,0.691965399503566,0,0,13262911.9243246,2.22044604925031e-16,0,0,0,0,0.000315615783742891,0.0006932152389618,0.00143715848852281,cap_imbalance,1.25,1,pF,response
combined_phase2b,0.061074078295739,0.128160542052851,0.0371457109829044,0,0.817848697649296,0.0368891148688182,0.0691965399503566,0.691965399503566,0,0,13262911.9243246,2.22044604925031e-16,0,0,0,17,0.00357473508890465,0.000759116429030468,0.00143715848852281,cap_imbalance,1.25,1,pF,response
physical_only,0.0771529731750222,0.111449975300762,0.0484914958883178,0,0.747212555027991,0.0344979953910691,0.0737407684377127,0.737407684377127,0,0,13262911.9243246,2.22044604925031e-16,0,0,0,0,0.0018936947024637,0.00415929143376923,0.0086229509311369,cap_imbalance,2.5,1,pF,response
combined_phase2b,0.0648027233255023,0.134065954805941,0.0388318702714758,0,0.858059459630927,0.0400976747832454,0.0737407684377127,0.737407684377127,0,0,13262911.9243246,2.22044604925031e-16,0,0,0,17,0.021448410533447,0.00455469857418445,0.0086229509311369,cap_imbalance,2.5,1,pF,response
physical_only,0.0773413355238526,0.111514277543102,0.0485551853405158,0,0.789480245150266,0.0365423500174587,0.0786695075989797,0.786695075989797,0,0,13262911.9243246,2.22044604925031e-16,0,0,0,0,0.00347177362113999,0.00762536762857565,0.015808743373751,cap_imbalance,3.75,1,pF,response
combined_phase2b,0.0688432765855024,0.14389829651376,0.0405180295601044,0,0.922786158596176,0.0433062346976712,0.0786695075989797,0.786695075989797,0,0,13262911.9243246,2.22044604925031e-16,0,0,0,17,0.0393220859779956,0.00835028071933912,0.015808743373751,cap_imbalance,3.75,1,pF,response
physical_only,0.0775322911955434,0.111588706830054,0.0486188747927011,0,0.835932285617889,0.0388544094737773,0.0835982467602473,0.835982467602473,0,0,13262911.9243246,2.22044604925031e-16,0,0,0,0,0.00504985253984808,0.0110914438233824,0.022994535816365,cap_imbalance,5,1,pF,response
combined_phase2b,0.07314406593533,0.154231059187231,0.0422041888487012,0,0.996898635737667,0.0465147946120993,0.0835982467602473,0.835982467602473,0,0,13262911.9243246,2.22044604925031e-16,0,0,0,17,0.0571957614225252,0.0121458628644926,0.022994535816365,cap_imbalance,5,1,pF,response
physical_only,0.075731918445013,0.111747004510223,0.048874358049694,0,1.02198614637359,0.0472426530453339,0.101827206160642,1.01827206160642,0,0,13262911.9243246,2.22044604925031e-16,0,0,0,0,0.0127003471948972,0.0638644017732696,0.13499999996112,ind_imbalance,-15,3,nH,response
combined_phase2b,0.236972769813081,0.496878865819339,0.0976693410497659,0,1.2878209672941,0.0586651741813186,0.101827206160642,1.01827206160642,0,0,13262911.9243246,0.02,0,0,0,17,0.590518816507807,0.0856726320387905,0.13499999996112,ind_imbalance,-15,3,nH,response
physical_only,0.0759681285906886,0.111485242293561,0.0487786727363588,0,0.76353884783913,0.0348110016097759,0.0757801594956381,0.757801594956381,0,0,13262911.9243246,2.22044604925031e-16,0,0,0,0,0.0100544415293111,0.0505593180705058,0.10687499996922,ind_imbalance,-11.25,3,nH,response
combined_phase2b,0.189735106935559,0.384824593942664,0.0849899948154538,0,0.923629786128991,0.0427200406116823,0.0757801594956381,0.757801594956381,0,0,13262911.9243246,0.016,0,0,0,17,0.467494063068635,0.0678241670307089,0.10687499996922,ind_imbalance,-11.25,3,nH,response
physical_only,0.0762114929880454,0.111223480076887,0.0486829874230428,0,0.541009247205832,0.0250596851470266,0.0538223174385761,0.538223174385761,0,0,13262911.9243246,2.22044604925031e-16,0,0,0,0,0.00740853586369319,0.0372542343677404,0.07874999997732,ind_imbalance,-7.5,3,nH,response
combined_phase2b,0.14385296259148,0.284636618237866,0.0723106485812118,0,0.624929829651625,0.0274219116394061,0.0538223174385761,0.538223174385761,0,0,13262911.9243246,0.0110000000000001,0,0,0,17,0.344469309629508,0.0499757020226269,0.07874999997732,ind_imbalance,-7.5,3,nH,response
physical_only,0.0764619433250835,0.111109381208646,0.0485873021096568,0,0.423674348736985,0.019514109241758,0.0421118156958792,0.421118156958792,0,0,13262911.9243246,2.22044604925031e-16,0,0,0,0,0.00476263019811347,0.023949150664977,0.05062499998542,ind_imbalance,-3.75,3,nH,response
combined_phase2b,0.101187379452112,0.205759328001335,0.0596313023468743,0,0.45906119769581,0.0202983517148443,0.0421118156958792,0.421118156958792,0,0,13262911.9243246,0.00500000000000012,0,0,0,17,0.221444556190413,0.0321272370145466,0.05062499998542,ind_imbalance,-3.75,3,nH,response
physical_only,0.0767194102057507,0.111217998505464,0.0484916167963471,0,0.514272106289764,0.0238995319885202,0.0514602074116544,0.514602074116544,0,0,13262911.9243246,2.22044604925031e-16,0,0,0,0,0.00211672453245742,0.0106440669622104,0.02249999999352,ind_imbalance,0,3,nH,response
combined_phase2b,0.0680811541173753,0.143383373602039,0.0469519561126195,0,0.557589601670337,0.0260810460209731,0.0514602074116544,0.514602074116544,0,0,13262911.9243246,2.22044604925031e-16,0,0,0,17,0.0984198027513044,0.0142787720064652,0.02249999999352,ind_imbalance,0,3,nH,response
physical_only,0.0769303883452085,0.111389275325914,0.0484150685456752,0,0.696491326881247,0.0320486204915814,0.0685028146598498,0.685028146598498,0,0,13262911.9243246,2.22044604925031e-16,0,0,0,0,0,0,0,ind_imbalance,3,3,nH,response
combined_phase2b,0.0603709493209783,0.12803520945169,0.0368084791251533,0,0.809806545252975,0.0362474028859342,0.0685028146598498,0.685028146598498,0,0,13262911.9243246,2.22044604925031e-16,0,0,0,17,0,0,0,ind_imbalance,3,3,nH,response
physical_only,0.0769838232310557,0.11144973875936,0.0483959314830056,0,0.742046132029128,0.0341717613742912,0.0734320397336767,0.734320397336767,0,0,13262911.9243246,2.22044604925031e-16,0,0,0,0,0.000529181133122305,0.00266101674055293,0.00562499999838003,ind_imbalance,3.75,3,nH,response
combined_phase2b,0.0623068872843046,0.146789507317082,0.0342726098783138,0,0.883703746679059,0.0391951038324082,0.0734320397336767,0.734320397336767,0,0,13262911.9243246,2.22044604925031e-16,0,0,0,17,0.0246049506878102,0.00356969300161581,0.00562499999838003,ind_imbalance,3.75,3,nH,response
physical_only,0.0772551110795466,0.111760082703435,0.0483002461696705,0,0.99284273521326,0.0457221591284597,0.0981930825508043,0.981930825508043,0,0,13262911.9243246,2.22044604925031e-16,0,0,0,0,0.00317508679875928,0.0159661004433188,0.03374999999028,ind_imbalance,7.5,3,nH,response
combined_phase2b,0.0893319636619417,0.267816469373765,0.0215932636440017,0,1.25318975380954,0.0562165240193521,0.0981930825508043,0.981930825508043,0,0,13262911.9243246,2.22044604925031e-16,0,0,0,17,0.147629704126937,0.0214181580096956,0.03374999999028,ind_imbalance,7.5,3,nH,response
