time_s,reference_rad,position_rad,velocity_rad_s,current_A,sensor_side_measurement_rad,received_measurement_rad,tracking_error_rad,command_V,unsaturated_command_V,capacitive_current_A,capacitive_voltage_V,inductive_voltage_V,shared_impedance_voltage_V,ground_common_mode_voltage_V,ground_differential_voltage_V,receiver_differential_voltage_V,equivalent_encoder_error_rad,physical_source_window_active,ground_window_active,communication_channel_enabled,transmit_delay_samples,packet_dropped,sample_received,accepted_source_index,accepted_delay_samples,held_last,measurement_age_samples,measurement_age_s,collision_discard_count,out_of_order_discard_count,delta_position_rad
1.353,0.523598775598299,0.524196840869374,-0.00291701376837759,1.7244737155789e-05,0.524196840869374,0.524196840869374,-0.000598065271075421,-0.000212591002477303,-0.000212591002477303,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1354,0,0,0,0,0,0,3.48679613274561e-05
1.354,0.523598775598299,0.524193929420507,-0.00290589682877957,1.71163236131522e-05,0.524193929420507,0.524193929420507,-0.000595153822207761,-0.000211823361723504,-0.000211823361723504,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1355,0,0,0,0,0,0,3.50785373032236e-05
1.355,0.523598775598299,0.524191029051711,-0.00289485261325559,1.69992076797688e-05,0.524191029051711,0.524191029051711,-0.000592253453412406,-0.000211049432662892,-0.000211049432662892,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1356,0,0,0,0,0,0,3.52830915943958e-05
1.356,0.523598775598299,0.524188139693251,-0.00288387519782042,1.68928465389141e-05,0.524188139693251,0.524188139693251,-0.000589364094951916,-0.000210269369142734,-0.000210269369142734,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1357,0,0,0,0,0,0,3.54816463991048e-05
1.357,0.523598775598299,0.524185261281165,-0.00287295894894366,1.67967088740017e-05,0.524185261281165,0.524185261281165,-0.000586485682866567,-0.000209483333299983,-0.000209483333299983,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1358,0,0,0,0,0,0,3.56742292140222e-05
1.358,0.523598775598299,0.524182393756987,-0.00286209851713605,1.67102751451151e-05,0.524182393756987,0.524182393756987,-0.000583618158688126,-0.000208691494823737,-0.000208691494823737,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1359,0,0,0,0,0,0,3.5860872550586e-05
1.359,0.523598775598299,0.524179537067457,-0.00285128883040289,1.66330378295621e-05,0.524179537067457,0.524179537067457,-0.000580761469158197,-0.0002078940302398,-0.0002078940302398,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1360,0,0,0,0,0,0,3.60416136555575e-05
1.36,0.523598775598299,0.524176691164253,-0.00284052508758269,1.65645016300141e-05,0.524176691164253,0.524176691164253,-0.000577915565954656,-0.000207091122226379,-0.000207091122226379,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1361,0,0,0,0,0,0,3.62164942397936e-05
1.361,0.523598775598299,0.524173856003723,-0.00282980275158855,1.65041836500271e-05,0.524173856003723,0.524173856003723,-0.000575080405423867,-0.000206282958953979,-0.000206282958953979,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1362,0,0,0,0,0,0,3.63855602127927e-05
1.362,0.523598775598299,0.524171031546619,-0.00281911754256906,1.6451613539446e-05,0.524171031546619,0.524171031546619,-0.00057225594832,-0.000205469733452552,-0.000205469733452552,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1363,0,0,0,0,0,0,3.65488614244569e-05
