time_s,reference_rad,position_rad,velocity_rad_s,current_A,sensor_side_measurement_rad,received_measurement_rad,tracking_error_rad,command_V,unsaturated_command_V,capacitive_current_A,capacitive_voltage_V,inductive_voltage_V,shared_impedance_voltage_V,ground_common_mode_voltage_V,ground_differential_voltage_V,receiver_differential_voltage_V,equivalent_encoder_error_rad,physical_source_window_active,ground_window_active,communication_channel_enabled,transmit_delay_samples,packet_dropped,sample_received,accepted_source_index,accepted_delay_samples,held_last,measurement_age_samples,measurement_age_s,collision_discard_count,out_of_order_discard_count,delta_position_rad
0.923,0.523598775598299,0.527483281559206,0.0858348050331515,-0.115937161548702,0.566873797850843,0.574293745103272,-0.050694969504973,-0.125177017590336,-0.125177017590336,-0.000251638221359192,-0.0104671058413194,-0.00077271099893825,1.11609456194437,0.269812078671727,0.106666377213775,1.21152112231788,0.0393905162916369,1,1,1,13,0,0,0,0,1,12,0.012,0,0,-0.0019313847528315
0.924,0.523598775598299,0.527538442132619,0.0247682806052615,-0.112846331292994,0.562411194694593,0.579444483522598,-0.0558457079242995,-0.137460513100697,-0.137460513100697,-0.000249086365527615,-0.010360959227595,-0.00286118746437599,0.979125522293693,0.269812078671727,0.106666377213775,1.0725697528155,0.0348727525619734,1,1,1,11,1,1,914,11,0,11,0.011,1,0,-0.00184590099421955
0.925,0.523598775598299,0.527533028085183,-0.0356282265747815,-0.113297182124801,0.557521158743612,0.579444483522598,-0.0558457079242995,-0.135782063352976,-0.135782063352976,-0.000243624772344371,-0.0101337796139319,-0.00491624056672604,0.830718690381069,0.269812078671727,0.106666377213775,0.922335047414187,0.0299881306584298,1,1,1,11,0,0,0,0,1,12,0.012,0,0,-0.00182114164403457
0.926,0.523598775598299,0.527467340662772,-0.0955804398662344,-0.111511605533096,0.552261051640366,0.581090008079985,-0.0574912324816862,-0.138592567570122,-0.138592567570122,-0.00023531724217706,-0.00978822083088411,-0.00691386391463537,0.672607701450423,0.269812078671727,0.106666377213775,0.762571993918679,0.0247937109775939,1,1,1,14,0,1,915,12,0,12,0.012,0,0,-0.00185680479173433
0.927,0.523598775598299,0.527342191444706,-0.154557558002731,-0.109789361729361,0.546692364306991,0.582089961882649,-0.0584911862843503,-0.139674590704107,-0.139674590704107,-0.000224260820605744,-0.00932831957189363,-0.00883072199049079,0.506639551218375,0.269812078671727,0.106666377213775,0.595146886869766,0.019350172862285,1,1,1,9,0,1,918,10,0,10,0.01,0,0,-0.00195207819556331
0.928,0.523598775598299,0.527158592958052,-0.212436249609723,-0.107583064899798,0.540879698725345,0.582089961882649,-0.0584911862843503,-0.138098198636434,-0.138098198636434,-0.000210584664771374,-0.00875944823808943,-0.0106444227475444,0.334753019934486,0.269812078671727,0.106666377213775,0.422015526162627,0.0137211057672926,1,1,1,8,0,0,0,0,1,11,0.011,1,1,-0.00210594866824965
0.929,0.523598775598299,0.526917835095189,-0.2687781265681,-0.104265948762485,0.53489010152542,0.582089961882649,-0.0584911862843503,-0.136585028581385,-0.136585028581385,-0.00019444853460852,-0.0080882521798292,-0.0123337791857516,0.158956024247517,0.269812078671727,0.106666377213775,0.245200370095712,0.00797226643023091,1,1,1,15,0,0,0,0,1,12,0.012,0,1,-0.00231712565944009
0.93,0.523598775598299,0.526621701867765,-0.323132197898815,-0.100327352783376,0.528792512592742,0.570854970650088,-0.0472561950517888,-0.104936308060469,-0.104936308060469,-0.000176040926587257,-0.00732257206810624,-0.0138790568506867,-0.0186978385547764,0.269812078671727,0.106666377213775,0.0667669097402061,0.002170810724977,1,1,1,16,0,1,923,8,0,8,0.008,0,0,-0.00258382450174177
0.931,0.523598775598299,0.52627327065525,-0.372499945909033,-0.0865120452703728,0.52265777982615,0.570854970650088,-0.0472561950517888,-0.103934781093987,-0.103934781093987,-0.000155576871765191,-0.00647135230265028,-0.0152622043643436,-0.196133279930744,0.269812078671727,0.106666377213775,-0.111200459383963,-0.0036154908291002,1,1,1,13,0,0,0,0,1,9,0.009,0,0,-0.00290296716217231
0.932,0.523598775598299,0.525878798767759,-0.415549621252506,-0.0764814663666335,0.516559754029783,0.570854970650088,-0.0472561950517888,-0.102975129117285,-0.102975129117285,-0.000133295423871964,-0.00554453652666627,-0.0164670642948418,-0.371277562859272,0.269812078671727,0.106666377213775,-0.286622786467004,-0.00931904473797571,1,1,1,9,1,0,0,0,1,10,0.01,0,1,-0.00326829567933373
