modelName,regime,runName,runIndex,seed,horizonSamples,horizonSeconds,forecastCount,truthRMSE,measurementRMSE,posteriorTruthRMSE,peakAbsoluteError,catastrophicForecastCount,catastrophicFraction,nonfiniteForecastCount
Weighted EDMD hybrid,nominal,nominal_seed_230102,2,230102,250,0.25,128,8.94580055163734e-05,0.000474338283601825,8.94580055163734e-05,0.000273162673446126,0,0,0
Nominal physics,nominal,nominal_seed_230103,3,230103,1,0.001,128,0.000157221611644399,0.000462204609222686,0.000157221611644399,0.000831109409043129,0,0,0
Nominal physics,nominal,nominal_seed_230103,3,230103,20,0.02,128,0.00012821750974833,0.000495253765821746,0.00012821750974833,0.000673161953048895,0,0,0
Nominal physics,nominal,nominal_seed_230103,3,230103,50,0.05,128,0.00013451233060361,0.000448731239251915,0.00013451233060361,0.000699431639641146,0,0,0
Nominal physics,nominal,nominal_seed_230103,3,230103,100,0.1,128,0.000136950896427062,0.000461563040215849,0.000136950896427062,0.000709430853389814,0,0,0
Nominal physics,nominal,nominal_seed_230103,3,230103,250,0.25,128,0.000137347136937611,0.000440293042472129,0.000137347136937611,0.000711046721745379,0,0,0
Persistent innovation,nominal,nominal_seed_230103,3,230103,1,0.001,128,0.000223417261745262,0.000492401269679451,0.00015733692081758,0.000966849794585611,0,0,0
Persistent innovation,nominal,nominal_seed_230103,3,230103,20,0.02,128,0.000315686413198578,0.00057563601015556,0.000160990447861909,0.00118754377762106,0,0,0
Persistent innovation,nominal,nominal_seed_230103,3,230103,50,0.05,128,0.000561459020934163,0.000731888843946667,0.000391510047898941,0.00198046210210186,0,0,0
Persistent innovation,nominal,nominal_seed_230103,3,230103,100,0.1,128,0.000990577042900566,0.00104870687226575,0.00081741498452925,0.0033359494794017,0,0,0
Persistent innovation,nominal,nominal_seed_230103,3,230103,250,0.25,128,0.00229718883685552,0.00234768662454018,0.00212301813220842,0.00802630147748623,0,0,0
Linear hybrid,nominal,nominal_seed_230103,3,230103,1,0.001,128,0.000258237461795885,0.000512178957206651,0.000212876778710588,0.000686041547710611,0,0,0
Linear hybrid,nominal,nominal_seed_230103,3,230103,20,0.02,128,0.000770509431763498,0.00092524775842833,0.000193574056384893,0.00285298011478777,0,0,0
Linear hybrid,nominal,nominal_seed_230103,3,230103,50,0.05,128,0.00251459336000378,0.00264608697192328,0.00110352776521043,0.00870613929104762,0,0,0
Linear hybrid,nominal,nominal_seed_230103,3,230103,100,0.1,128,0.00779323051609046,0.00782160279295306,0.00520130499871719,0.0230233978831655,0,0,0
Linear hybrid,nominal,nominal_seed_230103,3,230103,250,0.25,128,0.036595030576649,0.0366142488709767,0.0319969795357438,0.0869442463073561,0,0,0
EDMD hybrid,nominal,nominal_seed_230103,3,230103,1,0.001,128,0.000257105592017512,0.000511386920376001,0.00021256978264417,0.000680316615879209,0,0,0
EDMD hybrid,nominal,nominal_seed_230103,3,230103,20,0.02,128,0.000752620019479602,0.000912250897109026,0.000193683775505558,0.00261142776309323,0,0,0
EDMD hybrid,nominal,nominal_seed_230103,3,230103,50,0.05,128,0.00245283179698462,0.00258872940871125,0.00107679731065506,0.00779854768942598,0,0,0
EDMD hybrid,nominal,nominal_seed_230103,3,230103,100,0.1,128,0.00763787801770258,0.0076688232474075,0.00508500745569694,0.0203192633635938,0,0,0
