modelName,regime,eventGroup,horizonSamples,horizonSeconds,forecastCount,nonfiniteForecastCount,learnedCandidateNonfiniteCount,unknownReversalForecastCount,startupTargetCount,truthBias,truthStd,truthRMSE,truthP95AbsoluteError,truthMaxAbsoluteError,measurementBias,measurementStd,measurementRMSE,measurementP95AbsoluteError,measurementMaxAbsoluteError,posteriorTruthRMSE,runCount
Linear hybrid,nonlinear,all,20,0.02,1280,0,0,0,0,-8.5772217138804e-05,0.00370790529129447,0.00371200564229083,0.00935857445191552,0.0180675275700412,-5.2256130916037e-05,0.00372294046173714,0.00372637149571855,0.00937526703392636,0.0183221044326156,0.018577613904763,10
Linear hybrid,nonlinear,nearReversal,20,0.02,363,0,0,0,0,-0.00014393182120301,0.00612080085798336,0.00613961890941329,0.0119261649565045,0.0180675275700412,-0.00011101374640571,0.00609694524794647,0.00611353874742334,0.011906680618028,0.0183221044326156,0.0167775533019827,10
Linear hybrid,nonlinear,awayFromReversal,20,0.02,917,0,0,0,0,-6.10303535356778e-05,0.00212424918812544,0.00213140092623366,0.00520863225929535,0.0142012005571492,-3.07257076193211e-05,0.00218749999671153,0.00219273003368071,0.00518255153221805,0.0147653605276206,0.0192019569811588,10
Linear hybrid,nonlinear,all,50,0.05,1280,0,0,0,0,-0.000311399078818212,0.0136377013373589,0.0136514831589175,0.0339805804392944,0.0658742938552886,-0.000307033680737868,0.0136536340684302,0.0136681635428146,0.0340330291265069,0.0666255590556293,0.0213361796614521,10
Linear hybrid,nonlinear,nearReversal,50,0.05,364,0,0,0,0,-0.000337290180717791,0.0152326078608213,0.0153540898572144,0.0322069033501746,0.0640804815039174,-0.000316124535069626,0.0152580154348097,0.0153843854619172,0.0321697103615563,0.0640688880872323,0.0197364760784842,10
Linear hybrid,nonlinear,awayFromReversal,50,0.05,916,0,0,0,0,-0.000358556592849567,0.0129443880382129,0.0129630060019815,0.0339444166768011,0.0658742938552886,-0.000362633613867003,0.012954150792069,0.0129740410861516,0.0339359368811425,0.0666255590556293,0.0219611371390096,10
Linear hybrid,nonlinear,all,100,0.1,1280,0,0,0,0,-0.000987616539984744,0.0383244685721297,0.0383672563311213,0.0878759906753357,0.163534115566524,-0.000956796954263137,0.0383147446010327,0.0383568499237247,0.0878755134588821,0.163045318125115,0.0395689568241589,10
Linear hybrid,nonlinear,nearReversal,100,0.1,361,0,0,0,0,-0.00232832397039435,0.024555235944206,0.0250303199067744,0.0565667186922077,0.125216844917996,-0.0023023731471472,0.0245310321885781,0.0250037625299507,0.0567059404552844,0.124547490281357,0.0287370383685393,10
Linear hybrid,nonlinear,awayFromReversal,100,0.1,919,0,0,0,0,-0.000511660108950596,0.0422378007004597,0.0422609861909347,0.0906171126025149,0.163534115566524,-0.00048219181576525,0.0422363117380326,0.042258677546782,0.0906679655383183,0.163045318125115,0.042919545896743,10
Linear hybrid,nonlinear,all,250,0.25,1280,0,0,0,0,-0.00389012726312542,0.13207665843476,0.132287575869212,0.244750792212008,0.460790173733469,-0.00388691874506842,0.132068052411252,0.132278128517921,0.244739446950504,0.460397856910782,0.132325478321705,10
Linear hybrid,nonlinear,nearReversal,250,0.25,359,0,0,0,0,-0.00231813307472967,0.111836814453934,0.114551941462467,0.235047532029456,0.460790173733469,-0.0022860890124607,0.111814687698955,0.114524629347203,0.234991510166799,0.460397856910782,0.11487733683165,10
Linear hybrid,nonlinear,awayFromReversal,250,0.25,921,0,0,0,0,-0.00496066320122705,0.135652129827935,0.136269228702686,0.239847280723454,0.448805646529942,-0.00497191198130234,0.135649853280465,0.136268765333336,0.239595106203333,0.448825705405473,0.136261834067307,10
EDMD hybrid,nonlinear,all,1,0.001,1280,0,0,0,0,-1.43330999101057e-05,0.000422749493251548,0.000423986233225392,0.000964107668579278,0.00175722969718606,-3.33733068955524e-05,0.000614410931159646,0.000617789181281268,0.00119718869851856,0.00242393513599437,0.0185633818460226,10
EDMD hybrid,nonlinear,nearReversal,1,0.001,365,0,0,0,0,-2.34505509991587e-05,0.000650199403099798,0.000654172838412115,0.00122426946407791,0.00175722969718606,-2.21486737957203e-05,0.000766176402146925,0.000772534525507839,0.00146310107628925,0.00242393513599437,0.016734751946578,10
EDMD hybrid,nonlinear,awayFromReversal,1,0.001,915,0,0,0,0,-1.1212038821138e-05,0.000281562280151494,0.000284427876529833,0.000563745933613934,0.00111397685557932,-3.42595040097283e-05,0.000528894684890866,0.000535540921903082,0.00097611697120909,0.00161358039834442,0.0192121084739459,10
EDMD hybrid,nonlinear,all,20,0.02,1280,0,0,0,0,-8.58429206716973e-05,0.00370896365554515,0.00371336783078508,0.00937200851976526,0.0178916167408293,-5.23268344489303e-05,0.00372381386691349,0.00372763383271271,0.00937101911703474,0.0186690833979029,0.0185773829511067,10
EDMD hybrid,nonlinear,nearReversal,20,0.02,363,0,0,0,0,-0.000134150169355267,0.00612445519313589,0.00614354881711743,0.0119107181534065,0.0178916167408293,-0.000101232094557967,0.00610046228712435,0.00611744645804752,0.0118810402126042,0.0186690833979029,0.0167772545043832,10
EDMD hybrid,nonlinear,awayFromReversal,20,0.02,917,0,0,0,0,-6.54514517809303e-05,0.00212319056528585,0.00213045331811962,0.00515732908909502,0.0141995288444066,-3.51468058645736e-05,0.00218609096883161,0.0021916389324014,0.00514515686036978,0.0147636888148779,0.0192017532955179,10
EDMD hybrid,nonlinear,all,50,0.05,1280,0,0,0,0,-0.000308272543816172,0.013639524409123,0.0136543683160621,0.0339120253654829,0.0667660688986058,-0.000303907145735828,0.0136556367489933,0.013671196529521,0.0339655624689765,0.0675173340989464,0.0213360401686036,10
EDMD hybrid,nonlinear,nearReversal,50,0.05,364,0,0,0,0,-0.000179556573559958,0.0152272131905431,0.0153448293256437,0.0321565169093666,0.0639409875185743,-0.000158390927911792,0.0152525342410465,0.0153753296935646,0.0321132885687587,0.0639293941018892,0.0197366654316853,10
EDMD hybrid,nonlinear,awayFromReversal,50,0.05,916,0,0,0,0,-0.000419467195154511,0.0129494926611467,0.012971330784927,0.0339738812991914,0.0667660688986058,-0.000423544216171947,0.0129594583381019,0.0129824588669067,0.0340205824671106,0.0675173340989464,0.0219605476067379,10
EDMD hybrid,nonlinear,all,100,0.1,1280,0,0,0,0,-0.000972423503955461,0.0383195173458508,0.0383658493804772,0.0874562016584824,0.163280361444112,-0.000941603918233854,0.0383098569087447,0.0383556178100276,0.0873460648066142,0.162588170280257,0.0395638626171316,10
EDMD hybrid,nonlinear,nearReversal,100,0.1,361,0,0,0,0,-0.00196418652872335,0.024559022487732,0.025017897028924,0.0562774825473292,0.125216257236901,-0.0019382357054762,0.0245356371284337,0.0249921342355352,0.0564167043104059,0.124546902600262,0.0287420121813085,10
EDMD hybrid,nonlinear,awayFromReversal,100,0.1,919,0,0,0,0,-0.000638779955710183,0.0422361118258752,0.0422615837833145,0.0907219145680282,0.163280361444112,-0.000609311662524837,0.0422345406052854,0.0422592498587901,0.0909148266716805,0.162588170280257,0.0429086532593613,10
EDMD hybrid,nonlinear,all,250,0.25,1280,0,0,0,0,-0.00399025743058583,0.132002010837453,0.132233191759712,0.244809749265638,0.46273025853438,-0.00398704891252883,0.131993376487616,0.132223680333027,0.244700290581717,0.462337941711693,0.132276085448337,10
EDMD hybrid,nonlinear,nearReversal,250,0.25,359,0,0,0,0,-0.00299839337373189,0.111717983082278,0.114468662595863,0.233166695169272,0.46273025853438,-0.00296634931146292,0.111695996478048,0.114441306910926,0.233136650100315,0.462337941711693,0.114767378702526,10
EDMD hybrid,nonlinear,awayFromReversal,250,0.25,921,0,0,0,0,-0.00481970454057388,0.13561754268757,0.136205026306649,0.239636722924393,0.447463059892696,-0.00483095332064917,0.13561543623552,0.136204623823049,0.239509699470293,0.447483118768227,0.136214446996016,10
Weighted linear hybrid,nonlinear,all,1,0.001,1280,0,0,0,0,5.08962714263584e-05,0.00323447882011033,0.00331681735516764,0.0100810391276684,0.0215537803189958,3.18560644409116e-05,0.0032629163892117,0.00334245284385319,0.0100538630678753,0.0215863821587841,0.0184227415190676,10
Weighted linear hybrid,nonlinear,nearReversal,1,0.001,365,0,0,0,0,0.000203702678500931,0.0020042203015362,0.00203018896425851,0.00516496997612007,0.0202797471646266,0.00020500455570437,0.00206272568913172,0.00209185318718332,0.00518951910820873,0.0209732861603601,0.016645082389515,10
Weighted linear hybrid,nonlinear,awayFromReversal,1,0.001,915,0,0,0,0,-1.52670074329927e-05,0.00325995908242533,0.00338900039277612,0.00932641001959373,0.0215537803189958,-3.83144726215831e-05,0.00328858967658645,0.00341432910280801,0.00940386046118328,0.0215863821587841,0.0190523273826348,10
Weighted linear hybrid,nonlinear,all,20,0.02,1280,0,0,0,0,1.49738125046166e-05,0.00609146092596939,0.00619531350081076,0.0158990377410756,0.0323442766262468,4.84898987273836e-05,0.00609734243494692,0.00619967481039416,0.0158653027542633,0.0327643309303713,0.0188462513937483,10
Weighted linear hybrid,nonlinear,nearReversal,20,0.02,363,0,0,0,0,0.000362957351721504,0.00721597834911221,0.00727380926357594,0.0146241363086661,0.0303656056479937,0.000395875426518804,0.00718819615895823,0.00724730882586788,0.014568754032831,0.0300257980335442,0.0169886868424786,10
Weighted linear hybrid,nonlinear,awayFromReversal,20,0.02,917,0,0,0,0,-0.000121598977567438,0.00522392037626127,0.00541284618129733,0.0153004832671526,0.0323442766262468,-9.12943316510814e-05,0.00525319539830128,0.00543821731831961,0.0151358175059033,0.0327643309303713,0.0194911787701951,10
Weighted linear hybrid,nonlinear,all,50,0.05,1280,0,0,0,0,-9.94270122796709e-05,0.0166551948334728,0.0168330508033661,0.0408278950952257,0.0670349144209904,-9.50616141993266e-05,0.0166647615714335,0.0168471837481508,0.0407560036314643,0.0670706252530878,0.0233237235471355,10
Weighted linear hybrid,nonlinear,nearReversal,50,0.05,364,0,0,0,0,0.00114222071599358,0.0174067274302629,0.0175816534845604,0.0380324750855314,0.0640804815039174,0.00116338636164175,0.0174151058684473,0.0175934742280711,0.0379174863549758,0.0640688880872323,0.0214710630451381,10
Weighted linear hybrid,nonlinear,awayFromReversal,50,0.05,916,0,0,0,0,-0.000681456008157393,0.016112172922497,0.0164253770416072,0.0418241940452147,0.0670349144209904,-0.000685533029174829,0.0161231118241959,0.0164416803421612,0.0417636147686914,0.0670706252530878,0.0240175805565354,10
Weighted linear hybrid,nonlinear,all,100,0.1,1280,0,0,0,0,-0.000606982285654149,0.040928588502356,0.0412057164995476,0.0918972878173557,0.163534115566524,-0.000576162699932542,0.0409174420725766,0.0411933736120073,0.0917583397387549,0.163045318125115,0.0425523568242884,10
Weighted linear hybrid,nonlinear,nearReversal,100,0.1,361,0,0,0,0,0.000608448804701834,0.0287288659743087,0.029803550737651,0.0689940333016357,0.119471364066172,0.000634399627948983,0.0287064639534795,0.0297852783078974,0.0689838132098548,0.120090129400208,0.0334060792205236,10
