modelName,regime,runName,runIndex,seed,horizonSamples,horizonSeconds,forecastCount,truthRMSE,measurementRMSE,posteriorTruthRMSE,peakAbsoluteError,catastrophicForecastCount,catastrophicFraction,nonfiniteForecastCount
Linear hybrid,nominal,nominal_seed_130104,4,130104,100,0.1,128,0.013615939830706,0.0136465529489437,0.00908015231447609,0.0300692119398171,0,0,0
Linear hybrid,nominal,nominal_seed_130104,4,130104,250,0.25,128,0.0608172674024922,0.0607687441783364,0.0537020993128256,0.135570147989168,0,0,0
EDMD hybrid,nominal,nominal_seed_130104,4,130104,1,0.001,128,0.000266449607982628,0.000559036267232539,0.000178427325453633,0.000690163182191728,0,0,0
EDMD hybrid,nominal,nominal_seed_130104,4,130104,20,0.02,128,0.00124797694118623,0.00133997325105757,0.000162365550299,0.00359512772424303,0,0,0
EDMD hybrid,nominal,nominal_seed_130104,4,130104,50,0.05,128,0.00452742840839837,0.00459517394943733,0.00183895132018316,0.011955439932693,0,0,0
EDMD hybrid,nominal,nominal_seed_130104,4,130104,100,0.1,128,0.0142444475967009,0.0142702037240392,0.00952066142306079,0.035754476911302,0,0,0
EDMD hybrid,nominal,nominal_seed_130104,4,130104,250,0.25,128,0.0623239409624095,0.0622709919013284,0.0552102348390791,0.146542457415313,0,0,0
Nominal physics,nominal,nominal_seed_130105,5,130105,1,0.001,128,0.000137043598285932,0.000466555928976136,0.000137043598285932,0.000474011609175817,0,0,0
Nominal physics,nominal,nominal_seed_130105,5,130105,20,0.02,128,0.000110475358289454,0.000500730672654478,0.000110475358289454,0.000493764028143384,0,0,0
Nominal physics,nominal,nominal_seed_130105,5,130105,50,0.05,128,0.000116671182200253,0.000475195684993185,0.000116671182200253,0.000523494547521458,0,0,0
Nominal physics,nominal,nominal_seed_130105,5,130105,100,0.1,128,0.000119070272563393,0.000490375249405934,0.000119070272563393,0.000534795752224065,0,0,0
Nominal physics,nominal,nominal_seed_130105,5,130105,250,0.25,128,0.000119460085885607,0.000503639165335333,0.000119460085885607,0.000536622053294258,0,0,0
Persistent innovation,nominal,nominal_seed_130105,5,130105,1,0.001,128,0.000196508260023124,0.000491965267280385,0.000139518477145829,0.000801840618745775,0,0,0
Persistent innovation,nominal,nominal_seed_130105,5,130105,20,0.02,128,0.000297598250548816,0.000600048875851334,0.000144571503753236,0.0012815905083291,0,0,0
Persistent innovation,nominal,nominal_seed_130105,5,130105,50,0.05,128,0.000535078525203492,0.00070632346997207,0.000371050368333109,0.00218621591716955,0,0,0
Persistent innovation,nominal,nominal_seed_130105,5,130105,100,0.1,128,0.000947359490339921,0.00102326511950311,0.000781135594791765,0.0037297939052905,0,0,0
Persistent innovation,nominal,nominal_seed_130105,5,130105,250,0.25,128,0.00219996385392388,0.00234363608894581,0.00203305707924904,0.00839063635694344,0,0,0
Linear hybrid,nominal,nominal_seed_130105,5,130105,1,0.001,128,0.000274665074152549,0.000522947833313269,0.000195030680118092,0.000642000916756175,0,0,0
Linear hybrid,nominal,nominal_seed_130105,5,130105,20,0.02,128,0.00105797000642936,0.00113650204679929,0.000185383996322209,0.00224030244444559,0,0,0
Linear hybrid,nominal,nominal_seed_130105,5,130105,50,0.05,128,0.00373872727962858,0.00374764257401738,0.00154663173106767,0.00738494509959942,0,0,0
Linear hybrid,nominal,nominal_seed_130105,5,130105,100,0.1,128,0.0117587303902921,0.0117379787357685,0.00784671782262339,0.0221205738223555,0,0,0
Linear hybrid,nominal,nominal_seed_130105,5,130105,250,0.25,128,0.0525308839101683,0.0524874734146736,0.0464037493543483,0.100177932609711,0,0,0
EDMD hybrid,nominal,nominal_seed_130105,5,130105,1,0.001,128,0.000273884647253595,0.00052224361342974,0.000194861145133229,0.000642842833155327,0,0,0
EDMD hybrid,nominal,nominal_seed_130105,5,130105,20,0.02,128,0.00105314736812279,0.00113452921654385,0.000186225751744877,0.00212702301425405,0,0,0
EDMD hybrid,nominal,nominal_seed_130105,5,130105,50,0.05,128,0.00372772578813389,0.00374233605096675,0.00154026001466359,0.00787631619624907,0,0,0
