Context,Parameter,Label,Role,MinRMSE_deg,MaxRMSE_deg,RMSESpan_deg,MaxTrajectoryChange_deg,MaxCommandChange_V,MinReceiverPeak_V,MaxReceiverPeak_V,AnyCensored
physical_only,cap_transfer,Capacitive transfer factor,response,0.0767841045246478,0.0775322911955434,0.000748186670895615,0.00504985253984808,0.0110914438233824,0.0657279134978227,0.0835982467602473,0
physical_only,return_resistance,Shared-return resistance,response,0.0767827174103645,0.0775000486441704,0.000717331233805837,0.00487136308672037,0.0107968706086098,0.0627410525474474,0.0903151790459446,0
physical_only,voltage_rise,Voltage rise time,response,0.0768205168446764,0.0773793198029842,0.000558802958307791,0.00378738940490833,0.00831858286753832,0.0664216387883294,0.0796552554312332,0
physical_only,ind_transfer,Inductive transfer factor,response,0.0767194102057507,0.0771457755619543,0.000426365356203565,0.00211672453248286,0.0106440669622115,0.0514602074116544,0.0882197149551582,0
physical_only,voltage_step,Aggressor voltage step,response,0.0768205168446764,0.0770783586334813,0.00025784178880485,0.00126246313495884,0.0027728609558463,0.0664216387883294,0.071769272773206,0
physical_only,termination,Differential termination,response,0.0768570350220141,0.0770783586334813,0.000221323611467164,0.00126246313495884,0.0027728609558463,0.0671153640788362,0.071769272773206,0
physical_only,noise_margin,Differential diagnostic margin,diagnostic,0.0769303883452085,0.0769303883452085,0,0,0,0.0685028146598498,0.0685028146598498,0
physical_only,common_mode_limit,Common-mode diagnostic limit,diagnostic,0.0769303883452085,0.0769303883452085,0,0,0,0.0685028146598498,0.0685028146598498,0
physical_only,receiver_capacitance,Receiver differential capacitance,derived_only,0.0769303883452085,0.0769303883452085,0,0,0,0.0685028146598498,0.0685028146598498,0
physical_only,pwm_frequency,PWM frequency (context only),inactive,0.0769303883452085,0.0769303883452085,0,0,0,0.0685028146598498,0.0685028146598498,0
physical_only,voltage_fall,Voltage fall time (reserved),inactive,0.0769303883452085,0.0769303883452085,0,0,0,0.0685028146598498,0.0685028146598498,0
physical_only,minimum_pulse,Minimum pulse width (reserved),inactive,0.0769303883452085,0.0769303883452085,0,0,0,0.0685028146598498,0.0685028146598498,0
physical_only,count_cap,Spurious count cap (reserved),inactive,0.0769303883452085,0.0769303883452085,0,0,0,0.0685028146598498,0.0685028146598498,0
physical_only,cap_mean,Mean paired capacitance,inactive,0.0769303883452085,0.0769303883452085,0,0,3.01841884819964e-16,0.0685028146598498,0.0685028146598498,0
physical_only,ind_mean,Mean paired mutual inductance,inactive,0.0769303883452085,0.0769303883452085,0,0,3.15719672627779e-16,0.0685028146598497,0.0685028146598498,0
