Context,ActiveRMSE_deg,ActivePeak_deg,PostPeak_deg,PrePeak_rad,ActiveMeasurementPeak_deg,ActiveCommandDelta_V,ReceiverPeak_V,EquivalentErrorPeak_deg,MarginExceededSamples,CommonModeExceededSamples,TerminationPole_Hz,RecoveryTime_s,RecoveryCensored,ActiveSaturatedSamples,PostSaturatedSamples,MaxMeasurementAge_samples,NominalTrajectoryChange_deg,NominalCommandChange_V,NominalReceiverChange_V,Sample
physical_only,0.550206018281772,0.813263053405268,0.305878259809829,0,11.0587368376784,0.513570408889032,0.462428724679938,10.9592081469412,209,0,9770497.17039318,0.106,0,0,0,0,0.707470097577983,0.530892777602633,0.484986619268355,9
combined_phase2b,1.43923601986342,3.17443523058241,1.76798202437493,0,13.3688688228036,0.620561859674952,0.462428724679938,10.9592081469412,209,0,9770497.17039318,0.056,0,0,0,17,3.08717560536,0.638939771513795,0.484986619268355,9
physical_only,0.116085515900989,0.182802707385302,0.0650659111357436,0,0.352857372301008,0.0149652298423667,0.0954697075736887,0.366611712161056,0,0,13984398.4791539,0.00500000000000012,0,0,0,0,0.293159860118349,0.0434799905975996,0.160973108445815,10
combined_phase2b,0.11052861267017,0.178225309074128,0.0799871443231401,0,0.378022867487866,0.0162043409394902,0.0954697075736887,0.366611712161056,0,0,13984398.4791539,0.00900000000000012,0,0,0,17,0.283541703835291,0.0466409129857091,0.160973108445815,10
physical_only,0.269410760758972,0.450075335864655,0.123552187999379,0,0.475002067409952,0.0191226193434624,0.167707916876808,0.468479975305361,0,0,18293347.645533,0.0370000000000001,0,0,0,0,0.340424575034174,0.0425435454725303,0.214801091501779,11
combined_phase2b,0.292300422999334,0.478879607415587,0.13906970049194,0,0.534345375624339,0.0214267752942036,0.167707916876808,0.468479975305361,0,0,18293347.645533,0.0390000000000001,0,0,0,17,0.499515647343451,0.0450404976347897,0.214801091501779,11
physical_only,0.0590982280143378,0.0895562024841561,0.0393763154139713,0,2.98177154734785,0.141138181516945,0.358836326525039,2.97539337352324,168,0,15902139.8874851,2.22044604925031e-16,0,0,0,0,0.200824445607347,0.161508522168161,0.412344945305371,12
combined_phase2b,0.324420279867102,0.929075532455857,0.202794252319152,0,3.6402329919469,0.173988734586599,0.358836326525039,2.97539337352324,168,0,15902139.8874851,0.0370000000000001,0,0,0,17,0.901154812844173,0.174699697977384,0.412344945305371,12
physical_only,0.0839314271234814,0.134685283728816,0.0596956901965983,0,0.498047306494528,0.0227403770231041,0.21606189561058,0.482595113106936,34,0,19818769.986979,0.00300000000000011,0,0,0,0,0.245455135931007,0.0519978054295903,0.280605027992379,13
combined_phase2b,0.0765909809666611,0.132672296069493,0.0435588335939888,0,0.497183514082156,0.0234417680030319,0.21606189561058,0.482595113106936,34,0,19818769.986979,2.22044604925031e-16,0,0,0,17,0.215998241257707,0.0512796283433255,0.280605027992379,13
