time_s,theta_ref_rad,theta_rad,theta_measured_rad,omega_rad_s,current_A,true_tracking_error_rad,measurement_error_rad,voltage_cmd_unsaturated_V,voltage_cmd_V,gaussian_fault_rad,sinusoidal_fault_rad,count_jump_fault_rad,dropout_active,measurement_stale
0.483,0.523598775598299,0.56392100194226,0.56392100194226,-0.143162713856825,0.00802192578823746,-0.040322226343961,0,-0.00291958392790831,-0.00291958392790831,0,0,0,0,0
0.484,0.523598775598299,0.56377998823708,0.56377998823708,-0.138901237956626,0.0076158106957495,-0.0401812126387815,0,-0.00304724645393187,-0.00304724645393187,0,0,0,0,0
0.485,0.523598775598299,0.563643127049819,0.563643127049819,-0.134856856424292,0.00721864343980401,-0.04004435145152,0,-0.003180668273234,-0.003180668273234,0,0,0,0,0
0.486,0.523598775598299,0.563510203768383,0.563510203768383,-0.131024586905902,0.00683063253876412,-0.0399114281700842,0,-0.00331928670609175,-0.00331928670609175,0,0,0,0,0
0.487,0.523598775598299,0.563381008814172,0.563381008814172,-0.127399347333665,0.00645195774858281,-0.0397822332158736,0,-0.0034625603051051,-0.0034625603051051,0,0,0,0,0
0.488,0.523598775598299,0.563255337734267,0.563255337734267,-0.123975970803737,0.00608277195450886,-0.0396565621359686,0,-0.00360996863065259,-0.00360996863065259,0,0,0,0,0
0.489,0.523598775598299,0.563132991279224,0.563132991279224,-0.120749219516234,0.00572320277790103,-0.0395342156809254,0,-0.00376101200127446,-0.00376101200127446,0,0,0,0,0
0.49,0.523598775598299,0.563013775467343,0.563013775467343,-0.1177137979029,0.00537335399271468,-0.0394149998690444,0,-0.00391521122137263,-0.00391521122137263,0,0,0,0,0
0.491,0.523598775598299,0.562897501636179,0.562897501636179,-0.114864365027221,0.00503330681200819,-0.0392987260378802,0,-0.00407210728831586,-0.00407210728831586,0,0,0,0,0
0.492,0.523598775598299,0.56278398648199,0.56278398648199,-0.112195546315747,0.00470312108292144,-0.039185210883691,0,-0.00423126108081483,-0.00423126108081483,0,0,0,0,0
0.493,0.523598775598299,0.562673052087771,0.562673052087771,-0.109701944662925,0.00438283641457928,-0.0390742764894724,0,-0.00439225303026961,-0.00439225303026961,0,0,0,0,0
0.494,0.523598775598299,0.562564525940485,0.562564525940485,-0.107378150941173,0.00407247325443022,-0.0389657503421861,0,-0.00455468277667095,-0.00455468277667095,0,0,0,0,0
0.495,0.523598775598299,0.562458240938063,0.562458240938063,-0.105218753941312,0.00377203392282487,-0.0388594653397646,0,-0.00471816881053977,-0.00471816881053977,0,0,0,0,0
0.496,0.523598775598299,0.562354035386752,0.562354035386752,-0.103218349764252,0.00348150361200564,-0.0387552597884532,0,-0.00488234810231526,-0.00488234810231526,0,0,0,0,0
0.497,0.523598775598299,0.562251752989324,0.562251752989324,-0.101371550682175,0.00320085135337064,-0.0386529773910249,0,-0.00504687572051508,-0.00504687572051508,0,0,0,0,0
0.498,0.523598775598299,0.562151242824693,0.562151242824693,-0.0996729934858283,0.0029300309554214,-0.038552467226394,0,-0.00521142443994789,-0.00521142443994789,0,0,0,0,0
0.499,0.523598775598299,0.562052359319431,0.562052359319431,-0.0981173473334877,0.00266898191388514,-0.0384535837211318,0,-0.00537568434118452,-0.00537568434118452,0,0,0,0,0
0.5,0.523598775598299,0.561954962211676,0.561954962211676,-0.0966993211165052,0.00241763029493718,-0.0383561866133769,0,-0.00553936240244952,-0.00553936240244952,0,0,0,0,0
0.501,0.523598775598299,0.561858916507914,0.561858916507914,-0.0954136703559715,0.00217588959210022,-0.0382601409096155,0,-0.00570218208503474,-0.00570218208503474,0,0,0,0,0
0.502,0.523598775598299,0.561764092433092,0.561764092433092,-0.0942552036447456,0.00194366155719288,-0.0381653168347931,0,-0.00586388291329,-0.00586388291329,0,0,0,0,0
0.503,0.523598775598299,0.561670365374505,0.561670365374505,-0.0932187886489399,0.00172083700558236,-0.0380715897762062,0,-0.00602422005019773,-0.00602422005019773,0,0,0,0,0
0.504,0.523598775598299,0.561577615819906,0.561577615819906,-0.0922993576828168,0.00150729659593536,-0.0379788402216067,0,-0.00618296386948723,-0.00618296386948723,0,0,0,0,0
0.505,0.523598775598299,0.561485729290238,0.561485729290238,-0.0914919128709495,0.00130291158463711,-0.0378869536919387,0,-0.00633989952519948,-0.00633989952519948,0,0,0,0,0
0.506,0.523598775598299,0.561394596267413,0.561394596267413,-0.090791530911398,0.00110754455504457,-0.037795820669114,0,-0.00649482651956915,-0.00649482651956915,0,0,0,0,0
0.507,0.523598775598299,0.561304112117517,0.561304112117517,-0.0901933674535538,0.000921050121749872,-0.0377053365192186,0,-0.00664755827004666,-0.00664755827004666,0,0,0,0,0
0.508,0.523598775598299,0.561214177009826,0.561214177009826,-0.0896926611041959,0.000743275610046473,-0.0376154014115272,0,-0.00679792167623261,-0.00679792167623261,0,0,0,0,0
0.509,0.523598775598299,0.561124695831993,0.561124695831993,-0.0892847370751846,0.000574061710814958,-0.0375259202336937,0,-0.00694575668746948,-0.00694575668746948,0,0,0,0,0
0.51,0.523598775598299,0.561035578101765,0.561035578101765,-0.0889650104860869,0.000413243111065008,-0.0374368025034659,0,-0.00709091587177625,-0.00709091587177625,0,0,0,0,0
0.511,0.523598775598299,0.560946737875565,0.560946737875565,-0.0887289893348845,0.00026064910039836,-0.0373479622772658,0,-0.00723326398678899,-0.00723326398678899,0,0,0,0,0
0.512,0.523598775598299,0.560858093654258,0.560858093654258,-0.0885722771497615,0.000116104153677927,-0.0372593180559588,0,-0.00737267755331759,-0.00737267755331759,0,0,0,0,0
0.513,0.523598775598299,0.560769568286425,0.560769568286425,-0.0884905753347972,-2.05715097862558e-05,-0.0371707926881266,0,-0.0075090444321015,-0.0075090444321015,0,0,0,0,0
