time_s,theta_ref_rad,theta_rad,position_error_rad,voltage_cmd_V
0.341,0.523598775598299,0.579492284362601,-0.0558935087643025,-0.00328397793718857
0.342,0.523598775598299,0.579538004079335,-0.0559392284810364,-0.00350579797530001
0.343,0.523598775598299,0.579580595324444,-0.0559818197261455,-0.00372372744030467
0.344,0.523598775598299,0.579620070597697,-0.0560212949993983,-0.00393776386572462
0.345,0.523598775598299,0.579656443747506,-0.0560576681492077,-0.00414790866475254
0.346,0.523598775598299,0.579689729923693,-0.0560909543253938,-0.00435416694978361
0.347,0.523598775598299,0.579719945530075,-0.0561211699317761,-0.00455654735517372
0.348,0.523598775598299,0.579747108176986,-0.0561483325786875,-0.00475506186334349
0.349,0.523598775598299,0.5797712366338,-0.0561724610355009,-0.00494972563435123
0.35,0.523598775598299,0.579792350781552,-0.0561935751832529,-0.00514055683903178
0.351,0.523598775598299,0.579810471565742,-0.0562116959674429,-0.0053275764957926
0.352,0.523598775598299,0.579825620949384,-0.0562268453510855,-0.005510808311152
0.353,0.523598775598299,0.579837821866382,-0.0562390462680827,-0.00569027852407986
0.354,0.523598775598299,0.579847098175286,-0.0562483225769868,-0.00586601575421039
0.355,0.523598775598299,0.579853474613509,-0.0562546990152106,-0.00603805085396644
0.356,0.523598775598299,0.579856976752047,-0.0562582011537481,-0.00620641676464215
0.357,0.523598775598299,0.579857630950753,-0.0562588553524547,-0.0063711483764731
0.358,0.523598775598299,0.579855464314237,-0.056256688715938,-0.00653228239271173
0.359,0.523598775598299,0.579850504648407,-0.0562517290501081,-0.00668985719773349
0.36,0.523598775598299,0.579842780417724,-0.056244004819425,-0.00684391272917026
0.361,0.523598775598299,0.579832320703184,-0.0562335451048852,-0.00699449035407426
0.362,0.523598775598299,0.579819155161081,-0.0562203795627817,-0.0071416327491097
0.363,0.523598775598299,0.579803313982569,-0.0562045383842702,-0.00728538378475138
0.364,0.523598775598299,0.579784827854069,-0.05618605225577,-0.00742578841347749
0.365,0.523598775598299,0.579763727918524,-0.0561649523202251,-0.00756289256192763
0.366,0.523598775598299,0.579740045737549,-0.0561412701392503,-0.00769674302699417
0.367,0.523598775598299,0.579713813254479,-0.0561150376561805,-0.00782738737581865
0.368,0.523598775598299,0.579685062758342,-0.0560862871600428,-0.00795487384964097
0.369,0.523598775598299,0.579653826848764,-0.0560550512504648,-0.008079251271471
0.37,0.523598775598299,0.579620138401832,-0.0560213628035329,-0.00820056895752339
0.371,0.523598775598299,0.579584030536909,-0.0559852549386106,-0.00831887663236461
0.372,0.523598775598299,0.579545536584423,-0.0559467609861245,-0.0084342243477232
0.373,0.523598775598299,0.579504690054624,-0.0559059144563251,-0.00854666240489519
0.374,0.523598775598299,0.579461524607324,-0.0558627490090248,-0.00865624128069106
0.375,0.523598775598299,0.579416074022615,-0.055817298424316,-0.00876301155685186
0.376,0.523598775598299,0.57936837217257,-0.0557695965742713,-0.00886702385287461
0.377,0.523598775598299,0.579318452993918,-0.0557196773956194,-0.00896832876217366
0.378,0.523598775598299,0.5792663504617,-0.0556675748634015,-0.00906697679150867
0.379,0.523598775598299,0.579212098563893,-0.0556133229655943,-0.00916301830360564
0.38,0.523598775598299,0.579155731277001,-0.0555569556787019,-0.00925650346289783
0.381,0.523598775598299,0.579097282542603,-0.0554985069443044,-0.00934748218431256
0.382,0.523598775598299,0.579036786244855,-0.0554380106465562,-0.00943600408502107
0.383,0.523598775598299,0.578974276188923,-0.0553755005906241,-0.00952211843908488
0.384,0.523598775598299,0.578909786080353,-0.0553110104820547,-0.0096058741349104
0.385,0.523598775598299,0.578843349505357,-0.0552445739070581,-0.00968731963543754
0.386,0.523598775598299,0.578774999911996,-0.0551762243136971,-0.00976650294098688
0.387,0.523598775598299,0.578704770592264,-0.0551059949939655,-0.00984347155467699
0.388,0.523598775598299,0.578632694665043,-0.0550339190667442,-0.00991827245034313
0.389,0.523598775598299,0.578558805059916,-0.0549600294616168,-0.00999095204287057
0.39,0.523598775598299,0.578483134501831,-0.0548843589035319,-0.0100615561608682
0.391,0.523598775598299,0.578405715496592,-0.0548069398982928,-0.0101301300216
0.392,0.523598775598299,0.578326580317158,-0.0547278047188594,-0.0101967182080994
0.393,0.523598775598299,0.578245760990744,-0.0546469853924452,-0.0102613646483868
0.394,0.523598775598299,0.578163289286687,-0.0545645136883884,-0.010324112596714
0.395,0.523598775598299,0.578079196705084,-0.0544804211067847,-0.0103850046167607
0.396,0.523598775598299,0.577993514466154,-0.0543947388678555,-0.0104440825667023
0.397,0.523598775598299,0.577906273500339,-0.0543074979020405,-0.0105013875860823
0.398,0.523598775598299,0.577817504439088,-0.054218728840789,-0.0105569600844105
0.399,0.523598775598299,0.577727237606335,-0.0541284620080361,-0.0106108397314129
0.4,0.523598775598299,0.577635503010638,-0.0540367274123394,-0.0106630654488689
0.401,0.523598775598299,0.57754233033796,-0.0539435547396612,-0.0107136754039575
0.402,0.523598775598299,0.577447748945072,-0.0538489733467731,-0.01076270700405
0.403,0.523598775598299,0.577351787853565,-0.053753012255266,-0.0108101968928774
0.404,0.523598775598299,0.577254475744444,-0.0536557001461448,-0.0108561809480084
0.405,0.523598775598299,0.577155840953286,-0.0535570653549874,-0.0109006942795725
0.406,0.523598775598299,0.577055911465949,-0.0534571358676503,-0.0109437712301617
0.407,0.523598775598299,0.5769547149148,-0.0533559393165012,-0.0109854453758561
0.408,0.523598775598299,0.576852278575456,-0.0532535029771574,-0.0110257495283018
0.409,0.523598775598299,0.576748629364012,-0.0531498537657137,-0.0110647157377944
0.41,0.523598775598299,0.576643793834739,-0.0530450182364398,-0.0111023752972995
0.411,0.523598775598299,0.576537798178226,-0.0529390225799269,-0.01113875874736
0.412,0.523598775598299,0.576430668219967,-0.052831892621668,-0.0111738958818347
0.413,0.523598775598299,0.576322429419351,-0.0527236538210525,-0.0112078157544145
0.414,0.523598775598299,0.576213106869054,-0.0526143312707551,-0.0112405466858628
0.415,0.523598775598299,0.576102725294804,-0.0525039496965055,-0.0112721162719357
0.416,0.523598775598299,0.575991309055516,-0.0523925334572174,-0.0113025513919252
0.417,0.523598775598299,0.575878882143762,-0.0522801065454628,-0.0113318782177901
0.418,0.523598775598299,0.575765468186572,-0.0521666925882728,-0.0113601222238136
0.419,0.523598775598299,0.575651090446549,-0.0520523148482498,-0.0113873081967607
0.42,0.523598775598299,0.575535771823274,-0.0519369962249747,-0.0114134602464805
0.421,0.523598775598299,0.575419534854991,-0.0518207592566924,-0.0114386018169193
0.422,0.523598775598299,0.575302401720561,-0.0517036261222621,-0.0114627556975016
0.423,0.523598775598299,0.575184394241655,-0.0515856186433562,-0.0114859440348448
0.424,0.523598775598299,0.575065533885191,-0.051466758286892,-0.0115081883447675
