modelName,regime,eventGroup,runName,runIndex,seed,horizonSamples,horizonSeconds,forecastCount,nonfiniteForecastCount,learnedCandidateNonfiniteCount,unknownReversalForecastCount,startupTargetCount,truthBias,truthStd,truthRMSE,truthP95AbsoluteError,truthMaxAbsoluteError,measurementBias,measurementStd,measurementRMSE,measurementP95AbsoluteError,measurementMaxAbsoluteError,posteriorTruthRMSE
Weighted EDMD hybrid,stress,awayFromReversal,stress_seed_230408,38,230408,1,0.001,67,0,0,0,0,0.00425983560248182,0.019842434116316,0.0202945409167222,0.0494558438659078,0.0516778018881388,0.00418980702816267,0.0198804005588319,0.0203171063223296,0.049934589856291,0.0514170648087266,0.034274841588746
Weighted EDMD hybrid,stress,awayFromReversal,stress_seed_230409,39,230409,1,0.001,80,0,0,0,0,-0.0146369070376954,0.0586958496060877,0.060493320363579,0.0955365183488119,0.0986575040233071,-0.0146321604207538,0.058661672201773,0.0604590101150105,0.0954646055447692,0.0982098286593424,0.0623966941909152
Weighted EDMD hybrid,stress,awayFromReversal,stress_seed_230410,40,230410,1,0.001,76,0,0,0,0,0.00120480898262057,0.00756322323789181,0.00765858410091512,0.000926187045588528,0.0484589864440277,0.00127082712145977,0.00761665325682294,0.00772194330510845,0.0011324213371201,0.048525777020375,0.0245946563950712
Weighted EDMD hybrid,stress,all,stress_seed_230401,31,230401,20,0.02,128,0,0,0,0,-0.00114927102576449,0.0133242281939321,0.0133737010903728,0.0212014094978672,0.0670993458074165,-0.00120180135952748,0.0133412496902031,0.0133952704266882,0.0211413571206915,0.0677898222671098,0.0265523792288715
Weighted EDMD hybrid,stress,all,stress_seed_230402,32,230402,20,0.02,128,0,0,0,0,0.000470432689969328,0.0585961402963804,0.058598028674597,0.109289775694709,0.118868238743924,0.000500041702252844,0.0585500427537195,0.0585521779967779,0.110078549958609,0.119112914844084,0.062148366857623
Weighted EDMD hybrid,stress,all,stress_seed_230403,33,230403,20,0.02,128,0,0,0,0,-0.00422328160609881,0.0350668864493054,0.035320286419746,0.0837032762332271,0.0914512225941672,-0.00424493765141172,0.0350117141312405,0.0352681105543248,0.083793458446868,0.0913579184424444,0.0425787163695874
Weighted EDMD hybrid,stress,all,stress_seed_230404,34,230404,20,0.02,128,0,0,0,0,0.00475112969860637,0.0222577510791107,0.022759189715643,0.0711972944224426,0.0759635868139536,0.00479127634895489,0.0222257544817245,0.0227363253700758,0.0712194506283787,0.0759910811197396,0.0356561740456503
Weighted EDMD hybrid,stress,all,stress_seed_230405,35,230405,20,0.02,128,0,0,0,0,0.0111646401134819,0.0312086847964348,0.0331456059770641,0.079658967388924,0.0860766947905737,0.0111589475996032,0.0312162499121768,0.033150812510558,0.0799483674344661,0.0859364189990713,0.0413541947872671
Weighted EDMD hybrid,stress,all,stress_seed_230406,36,230406,20,0.02,128,0,0,0,0,0.00815311426945921,0.0522444769332903,0.0528768251914197,0.112820036621837,0.122989654929007,0.00817464535633451,0.0522161075435096,0.0528521211844634,0.112874968623326,0.122863796678261,0.0579097586670481
Weighted EDMD hybrid,stress,all,stress_seed_230407,37,230407,20,0.02,128,0,0,0,0,0.000194093416082379,0.0613891731179731,0.0613894799486251,0.116825954187729,0.143706962049187,0.000201879530344454,0.0614367405623832,0.0614370722469288,0.116996064533469,0.14364550494795,0.0645980362132468
Weighted EDMD hybrid,stress,all,stress_seed_230408,38,230408,20,0.02,128,0,0,0,0,0.007633464336604,0.031055713955729,0.0319801054888546,0.0758153309109481,0.0819929159748827,0.00763084678378625,0.0310423304789554,0.0319664840763307,0.0762243396618874,0.0817600767549796,0.0407448068842897
Weighted EDMD hybrid,stress,all,stress_seed_230409,39,230409,20,0.02,128,0,0,0,0,-0.0192068529890506,0.0792084113581565,0.0815038381404578,0.142369012792106,0.150617631747282,-0.0191603393978041,0.0791713923659515,0.08145690870026,0.14278316117139,0.149906755248873,0.0834537281745552
Weighted EDMD hybrid,stress,all,stress_seed_230410,40,230410,20,0.02,128,0,0,0,0,0.00274375042216498,0.0183544867439395,0.0185584306990807,0.0425087486886785,0.0788011282770959,0.00272081137996343,0.0182987456615506,0.0184999164147154,0.0426325071799051,0.0787146737343708,0.0293214872631135
Weighted EDMD hybrid,stress,nearReversal,stress_seed_230401,31,230401,20,0.02,65,0,0,0,0,0.000659469705498464,0.0135859365426409,0.0136019326580136,0.0203096954767774,0.0670993458074165,0.00064974070295649,0.0136203578332152,0.0136358465261936,0.0209331327470413,0.0677898222671098,0.0274756444817665
Weighted EDMD hybrid,stress,nearReversal,stress_seed_230402,32,230402,20,0.02,63,0,0,0,0,-0.003114911760396,0.0580744449883556,0.0581579215239041,0.103823359176472,0.118868238743924,-0.00311727625365426,0.058065488370201,0.0581491044721374,0.104091734546892,0.119112914844084,0.060044586927592
Weighted EDMD hybrid,stress,nearReversal,stress_seed_230403,33,230403,20,0.02,62,0,0,0,0,0.00187105798686695,0.0370919982798824,0.0371391598502849,0.0799025053420138,0.0894347492278803,0.00185782904605389,0.0369816467424423,0.0370282827653019,0.0795348329313461,0.0889075404464178,0.0427476492681845
Weighted EDMD hybrid,stress,nearReversal,stress_seed_230404,34,230404,20,0.02,55,0,0,0,0,0.00490589119919992,0.0272667849300113,0.027704608441158,0.0713927098676303,0.0759635868139536,0.00496852559681654,0.0272298246877193,0.0276794074923968,0.0712194506283787,0.0759910811197396,0.0359273563794758
Weighted EDMD hybrid,stress,nearReversal,stress_seed_230405,35,230405,20,0.02,59,0,0,0,0,0.0127316355281687,0.034855543753428,0.0371079974341012,0.079658967388924,0.0809504189247098,0.0127187904041621,0.0348936574700166,0.0371393990390239,0.0800463227571284,0.0818029226116183,0.043074948684883
Weighted EDMD hybrid,stress,nearReversal,stress_seed_230406,36,230406,20,0.02,45,0,0,0,0,0.000102859148013105,0.0578028009064567,0.0578028924244782,0.109909642083505,0.111108859532028,8.99264900936916e-05,0.0577880589113139,0.0577881288805159,0.10964944157836,0.110613735456253,0.0602235278637632
Weighted EDMD hybrid,stress,nearReversal,stress_seed_230407,37,230407,20,0.02,61,0,0,0,0,-0.00489809054355141,0.0565128751947749,0.0567247419893034,0.0997334640695784,0.105165156775669,-0.00489059778809042,0.0564647619520881,0.0566761615587264,0.0999673202491176,0.1046884852309,0.0587612057952827
Weighted EDMD hybrid,stress,nearReversal,stress_seed_230408,38,230408,20,0.02,61,0,0,0,0,0.0122009104893067,0.0338659272474493,0.035996711587277,0.0781402176698457,0.0819929159748827,0.0121870150745605,0.0337877258976207,0.0359184320058701,0.077590384614289,0.0817600767549796,0.0414592362278639
Weighted EDMD hybrid,stress,nearReversal,stress_seed_230409,39,230409,20,0.02,47,0,0,0,0,-0.0182575101368839,0.0611808345758132,0.063846935680512,0.124527110054987,0.136925265329634,-0.0181572561452992,0.0610821747053202,0.063723763365461,0.124085520504701,0.136509986676711,0.065978301424345
Weighted EDMD hybrid,stress,nearReversal,stress_seed_230410,40,230410,20,0.02,52,0,0,0,0,0.00571975861618187,0.0263346979973306,0.0269486911971249,0.0758170143702327,0.0788011282770959,0.00568688706625608,0.0262614520625061,0.0268701423318831,0.0760892150626902,0.0787146737343708,0.0340339455513249
Weighted EDMD hybrid,stress,awayFromReversal,stress_seed_230401,31,230401,20,0.02,63,0,0,0,0,-0.00301543209770245,0.0127832276216409,0.0131340678832773,0.044539417516682,0.0527208623789026,-0.00311212253510618,0.0127686521102606,0.0131424420632688,0.0451320486142714,0.052587294223699,0.0255648798927447
Weighted EDMD hybrid,stress,awayFromReversal,stress_seed_230402,32,230402,20,0.02,65,0,0,0,0,0.00394545884955418,0.0588894418950005,0.0590214623017608,0.109289775694709,0.117704538479252,0.00400605756720896,0.0588039189873758,0.0589402187432796,0.110078549958609,0.117450138283936,0.0641215785084141
