regime,eventGroup,modelName,baseline,runName,runIndex,seed,horizonSamples,horizonSeconds,forecastCount,modelTruthRMSE,baselineTruthRMSE,truthRMSEDelta,modelNonfiniteForecastCount,baselineNonfiniteForecastCount,pairFailed,bothFailed,modelWins
nominal,nearReversal,Nominal physics,Persistent innovation,nominal_seed_230101,1,230101,20,0.02,41,0.000116791820774586,0.000301055560324956,-0.00018426373955037,0,0,0,0,1
nominal,nearReversal,Nominal physics,Linear hybrid,nominal_seed_230101,1,230101,20,0.02,41,0.000116791820774586,0.00059569047802296,-0.000478898657248374,0,0,0,0,1
nominal,nearReversal,Nominal physics,Weighted linear hybrid,nominal_seed_230101,1,230101,20,0.02,41,0.000116791820774586,0.000116791820774586,0,0,0,0,0,0
nominal,nearReversal,Nominal physics,Persistent innovation,nominal_seed_230102,2,230102,20,0.02,36,9.39154838649265e-05,0.000261509521297707,-0.00016759403743278,0,0,0,0,1
nominal,nearReversal,Nominal physics,Linear hybrid,nominal_seed_230102,2,230102,20,0.02,36,9.39154838649265e-05,0.000475257811003239,-0.000381342327138313,0,0,0,0,1
nominal,nearReversal,Nominal physics,Weighted linear hybrid,nominal_seed_230102,2,230102,20,0.02,36,9.39154838649265e-05,9.39154838649265e-05,0,0,0,0,0,0
nominal,nearReversal,Nominal physics,Persistent innovation,nominal_seed_230103,3,230103,20,0.02,54,0.000155968675205034,0.000401313164180214,-0.00024534448897518,0,0,0,0,1
nominal,nearReversal,Nominal physics,Linear hybrid,nominal_seed_230103,3,230103,20,0.02,54,0.000155968675205034,0.000566419547361065,-0.000410450872156031,0,0,0,0,1
nominal,nearReversal,Nominal physics,Weighted linear hybrid,nominal_seed_230103,3,230103,20,0.02,54,0.000155968675205034,0.000155968675205034,0,0,0,0,0,0
nominal,nearReversal,Nominal physics,Persistent innovation,nominal_seed_230104,4,230104,20,0.02,34,9.8275628337083e-05,0.000257957644178941,-0.000159682015841858,0,0,0,0,1
nominal,nearReversal,Nominal physics,Linear hybrid,nominal_seed_230104,4,230104,20,0.02,34,9.8275628337083e-05,0.000697935805771395,-0.000599660177434312,0,0,0,0,1
nominal,nearReversal,Nominal physics,Weighted linear hybrid,nominal_seed_230104,4,230104,20,0.02,34,9.8275628337083e-05,9.8275628337083e-05,0,0,0,0,0,0
nominal,nearReversal,Nominal physics,Persistent innovation,nominal_seed_230105,5,230105,20,0.02,42,0.000149860457507998,0.000395157111795117,-0.00024529665428712,0,0,0,0,1
nominal,nearReversal,Nominal physics,Linear hybrid,nominal_seed_230105,5,230105,20,0.02,42,0.000149860457507998,0.000635687016099748,-0.00048582655859175,0,0,0,0,1
nominal,nearReversal,Nominal physics,Weighted linear hybrid,nominal_seed_230105,5,230105,20,0.02,42,0.000149860457507998,0.000152525869689185,-2.66541218118743e-06,0,0,0,0,1
nominal,nearReversal,Nominal physics,Persistent innovation,nominal_seed_230106,6,230106,20,0.02,34,8.23515572746688e-05,0.000189602882048903,-0.000107251324774234,0,0,0,0,1
nominal,nearReversal,Nominal physics,Linear hybrid,nominal_seed_230106,6,230106,20,0.02,34,8.23515572746688e-05,0.000615430237395407,-0.000533078680120738,0,0,0,0,1
nominal,nearReversal,Nominal physics,Weighted linear hybrid,nominal_seed_230106,6,230106,20,0.02,34,8.23515572746688e-05,8.23515572746688e-05,0,0,0,0,0,0
nominal,nearReversal,Nominal physics,Persistent innovation,nominal_seed_230107,7,230107,20,0.02,32,8.94407913433004e-05,0.000223896630878615,-0.000134455839535314,0,0,0,0,1
nominal,nearReversal,Nominal physics,Linear hybrid,nominal_seed_230107,7,230107,20,0.02,32,8.94407913433004e-05,0.000527433009545098,-0.000437992218201798,0,0,0,0,1
nominal,nearReversal,Nominal physics,Weighted linear hybrid,nominal_seed_230107,7,230107,20,0.02,32,8.94407913433004e-05,8.94407913433004e-05,0,0,0,0,0,0
nominal,nearReversal,Nominal physics,Persistent innovation,nominal_seed_230108,8,230108,20,0.02,30,0.000109205809950347,0.00030086571454341,-0.000191659904593063,0,0,0,0,1
nominal,nearReversal,Nominal physics,Linear hybrid,nominal_seed_230108,8,230108,20,0.02,30,0.000109205809950347,0.000574996181615897,-0.00046579037166555,0,0,0,0,1
nominal,nearReversal,Nominal physics,Weighted linear hybrid,nominal_seed_230108,8,230108,20,0.02,30,0.000109205809950347,0.000109205809950347,0,0,0,0,0,0
nominal,nearReversal,Nominal physics,Persistent innovation,nominal_seed_230109,9,230109,20,0.02,31,0.000102144491287904,0.00026258507989561,-0.000160440588607706,0,0,0,0,1
nominal,nearReversal,Nominal physics,Linear hybrid,nominal_seed_230109,9,230109,20,0.02,31,0.000102144491287904,0.000618150747441944,-0.00051600625615404,0,0,0,0,1
nominal,nearReversal,Nominal physics,Weighted linear hybrid,nominal_seed_230109,9,230109,20,0.02,31,0.000102144491287904,0.000102144491287904,0,0,0,0,0,0
nominal,nearReversal,Nominal physics,Persistent innovation,nominal_seed_230110,10,230110,20,0.02,45,0.000127088860024163,0.000271136842849399,-0.000144047982825237,0,0,0,0,1
nominal,nearReversal,Nominal physics,Linear hybrid,nominal_seed_230110,10,230110,20,0.02,45,0.000127088860024163,0.000666057041773458,-0.000538968181749296,0,0,0,0,1
nominal,nearReversal,Nominal physics,Weighted linear hybrid,nominal_seed_230110,10,230110,20,0.02,45,0.000127088860024163,0.000127088860024163,0,0,0,0,0,0
nominal,awayFromReversal,Nominal physics,Persistent innovation,nominal_seed_230101,1,230101,20,0.02,87,9.10308229219415e-05,0.000219383961192081,-0.000128353138270139,0,0,0,0,1
nominal,awayFromReversal,Nominal physics,Linear hybrid,nominal_seed_230101,1,230101,20,0.02,87,9.10308229219415e-05,0.000938067616774389,-0.000847036793852448,0,0,0,0,1
nominal,awayFromReversal,Nominal physics,Weighted linear hybrid,nominal_seed_230101,1,230101,20,0.02,87,9.10308229219415e-05,0.00011113588757014,-2.01050646481985e-05,0,0,0,0,1
nominal,awayFromReversal,Nominal physics,Persistent innovation,nominal_seed_230102,2,230102,20,0.02,92,7.70841418832521e-05,0.000199120075600276,-0.000122035933717024,0,0,0,0,1
nominal,awayFromReversal,Nominal physics,Linear hybrid,nominal_seed_230102,2,230102,20,0.02,92,7.70841418832521e-05,0.00114258550417348,-0.00106550136229023,0,0,0,0,1
nominal,awayFromReversal,Nominal physics,Weighted linear hybrid,nominal_seed_230102,2,230102,20,0.02,92,7.70841418832521e-05,7.70841418832521e-05,0,0,0,0,0,0
nominal,awayFromReversal,Nominal physics,Persistent innovation,nominal_seed_230103,3,230103,20,0.02,74,0.000103366908966969,0.000234214929562378,-0.000130848020595409,0,0,0,0,1
nominal,awayFromReversal,Nominal physics,Linear hybrid,nominal_seed_230103,3,230103,20,0.02,74,0.000103366908966969,0.000890389929853894,-0.000787023020886925,0,0,0,0,1
nominal,awayFromReversal,Nominal physics,Weighted linear hybrid,nominal_seed_230103,3,230103,20,0.02,74,0.000103366908966969,0.000103366908966969,0,0,0,0,0,0
nominal,awayFromReversal,Nominal physics,Persistent innovation,nominal_seed_230104,4,230104,20,0.02,94,9.6375768946722e-05,0.000240537675962395,-0.000144161907015673,0,0,0,0,1
