Fixture,Partition,Policy,ExpectClean,WindowStart_s,WindowStop_s,WindowSamples,WindowTrackingRMSE_deg,WindowDisturbanceRMSE_deg,WindowPeakError_deg,WindowPeakCurrent_A,WindowCurrentSquared_A2s,WindowVoltageSquared_V2s,WindowCommandVariation_V,FullTrackingRMSE_deg,FullPeakCurrent_A,FinalTrackingError_deg,AlarmSamples,FirstAlarm_s,SafeStopDuration_s,ModeTransitions,FinalMode,RecoveryConfirmed,FirstConfirmedNormal_s,ReanchorCommits,ModeCapClipped_samples,BusCapClipped_samples,CoincidentCapClipped_samples,SlewClipped_samples,AmplitudeClipped_samples,HardStop_samples,Rebased_samples,AmplitudeCorrectionMagnitude_Vs,AntiWindupCorrectionMagnitude_V,FiniteStateAndCommand,CommandBoundsPass,StoppedCommandZero,CleanFalseAlarmPass,CommitsRemainStopped,ReleaseEvidencePass,InvariantsPass
eval_independent_reference_no_reset,evaluation,G100_F020,0,2,2.4,400,1.68008971157008,1.68042473498545,1.68008971157009,3.89839171157017e-22,2.00550404592231e-45,0,0,3.54603119815672,0.959055829432812,1.68008971157009,851,0.65,2.1,3,4,0,NaN,1,0,0,0,0,0,2101,2103,0,0,1,1,1,1,1,1,1
eval_negative_freeze,evaluation,NO_EXTRA_LIMITS,0,0.14,0.7,560,2.9932653756186,0.778822256745916,15.9077857841405,0.261586413411823,0.0029885236942798,0.00257339140404624,0.611777993796159,3.44524688311833,0.959055829432812,0.0199031975296749,279,0.141,1.609,5,0,1,2.05,0,0,0,0,0,0,1609,1613,0,0,1,1,1,1,1,1,1
eval_short_freeze,evaluation,NO_EXTRA_LIMITS,0,0.16,0.65,490,1.93886544079176,4.64077940345609,11.3416294530072,0.381592142261422,0.00550975317008631,0.0012653352346788,0.579860663768511,4.66870561984959,1.43858374414922,1.01269507982621e-06,70,0.16,0,4,0,1,0.29,0,0,0,0,0,0,0,4,0,0,1,1,1,1,1,1,1
eval_reversed_burst,evaluation,NO_EXTRA_LIMITS,0,0.54,1,460,29.8696410346787,9.57610645354536,92.4247236275365,1.27313550877233,0.0552790779844256,0.238956292735949,5.03764729497105,12.6588358545923,1.43858374414922,2.93288989079436e-05,90,0.56,0,4,0,1,0.71,0,0,0,0,0,0,0,4,0,0,1,1,1,1,1,1,1
eval_known_positive_load,evaluation,NO_EXTRA_LIMITS,0,0.27,0.8,530,0.32927592204433,0.477377528966201,0.808558934460939,0.125351211767606,0.00810446940644582,0.0120658803747141,0.0372024094797217,3.81655637196073,1.1036118762266,4.07809334535411e-07,70,0.29,0,4,0,1,0.42,0,0,0,0,0,0,0,4,0,0,1,1,1,1,1,1,1
eval_known_negative_load,evaluation,NO_EXTRA_LIMITS,0,0.27,0.8,530,0.32927592204433,0.477377528966201,0.808558934460939,0.125351211767606,0.00810446940644582,0.0120658803747141,0.0372024094797217,3.81655637196073,1.1036118762266,4.07809334535411e-07,70,0.29,0,4,0,1,0.42,0,0,0,0,0,0,0,4,0,0,1,1,1,1,1,1,1
eval_unknown_load_freeze,evaluation,NO_EXTRA_LIMITS,0,0.16,0.75,590,4.30592919029924,5.68597468895621,8.22886185876521,0.241015035310258,0.00230235803150726,0.00055499757361563,0.390520875601273,17.6634351171446,0.974801893046165,30.5948168563758,2841,0.16,2.59,3,4,0,NaN,0,0,0,0,0,0,2591,2593,0,0,1,1,1,1,1,1,1
eval_model_mismatch_burst,evaluation,NO_EXTRA_LIMITS,0,0.3,0.85,550,5.28286393523156,0.569306436639023,9.66850110958039,0.0331349619462209,2.34395671677783e-05,0.0003400891021091,0.0710999288168588,4.16687463729916,0.929377772726065,1.04874878793446e-05,185,0.12,0,6,0,1,0.449,0,0,0,0,0,0,0,6,0,0,1,1,1,1,1,1,1
eval_permitted_delay_jitter,evaluation,NO_EXTRA_LIMITS,1,0.7,1.3,600,14.4750620405894,0,60.3756441578534,1.91784824534799,0.0563864144216275,0.170610588794306,5.76407075452723,7.30076664483665,1.91784824534799,0.000540841623632586,0,NaN,0,0,0,0,NaN,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
eval_benign_noise_reversal,evaluation,NO_EXTRA_LIMITS,1,1.4,1.9,500,22.9265730566966,0,90.0373577853373,2.87721347009691,0.130595566509034,0.407805246654236,8.99389649346196,10.5558346704871,2.87721347009691,0.00532082257197138,27,1.427,0,4,0,1,1.514,0,0,0,0,0,0,0,4,0,0,1,1,1,0,1,1,0
eval_opposite_capped_reversal,evaluation,NO_EXTRA_LIMITS,0,0.27,0.9,630,38.3613820869864,11.5499499858209,119.021427557261,1.37522183548617,0.0520440585758773,0.238458008483801,4.36265901234322,18.8398587761329,1.43490257325931,4.13128901550134e-05,90,0.29,0,4,0,1,0.44,0,0,0,51,0,51,0,4,0.0229174437432932,1.11769692033292,1,1,1,1,1,1,1
eval_independent_reference_recovery,evaluation,NO_EXTRA_LIMITS,0,2,2.4,400,1.15194969044823,1.15233478605538,1.68008971157009,0.00208504837996234,2.31278781043642e-07,9.33103910595893e-06,0.00973184269491689,3.43742899747065,0.959055829432812,0.0178837070796573,851,0.65,1.1,5,0,1,2.05,1,0,0,0,0,0,1100,1104,0,0,1,1,1,1,1,1,1
eval_independent_reference_no_reset,evaluation,NO_EXTRA_LIMITS,0,2,2.4,400,1.68008971157008,1.68042473498545,1.68008971157009,3.89839171157017e-22,2.00550404592231e-45,0,0,3.54603119815672,0.959055829432812,1.68008971157009,851,0.65,2.1,3,4,0,NaN,1,0,0,0,0,0,2101,2103,0,0,1,1,1,1,1,1,1
