regime,eventGroup,modelName,baseline,runName,runIndex,seed,horizonSamples,horizonSeconds,forecastCount,modelTruthRMSE,baselineTruthRMSE,truthRMSEDelta,modelNonfiniteForecastCount,baselineNonfiniteForecastCount,pairFailed,bothFailed,modelWins
nominal,awayFromReversal,Nominal physics,Persistent innovation,nominal_seed_130108,8,130108,1,0.001,92,0.000132866452054108,0.000198681195503955,-6.58147434498463e-05,0,0,0,0,1
nominal,awayFromReversal,Nominal physics,Linear hybrid,nominal_seed_130108,8,130108,1,0.001,92,0.000132866452054108,0.00025050824327229,-0.000117641791218181,0,0,0,0,1
nominal,awayFromReversal,Nominal physics,Persistent innovation,nominal_seed_130109,9,130109,1,0.001,102,0.00012326661630268,0.000149862128176748,-2.65955118740677e-05,0,0,0,0,1
nominal,awayFromReversal,Nominal physics,Linear hybrid,nominal_seed_130109,9,130109,1,0.001,102,0.00012326661630268,0.000248079459491241,-0.000124812843188561,0,0,0,0,1
nominal,awayFromReversal,Nominal physics,Persistent innovation,nominal_seed_130110,10,130110,1,0.001,87,0.00010348931018629,0.000156137381524724,-5.26480713384348e-05,0,0,0,0,1
nominal,awayFromReversal,Nominal physics,Linear hybrid,nominal_seed_130110,10,130110,1,0.001,87,0.00010348931018629,0.000236872244560281,-0.000133382934373991,0,0,0,0,1
nominal,all,Nominal physics,Persistent innovation,nominal_seed_130101,1,130101,20,0.02,128,9.78314106957545e-05,0.000263804388639331,-0.000165972977943576,0,0,0,0,1
nominal,all,Nominal physics,Linear hybrid,nominal_seed_130101,1,130101,20,0.02,128,9.78314106957545e-05,0.000751238458673779,-0.000653407047978024,0,0,0,0,1
nominal,all,Nominal physics,Persistent innovation,nominal_seed_130102,2,130102,20,0.02,128,0.000117652436964497,0.000289183192601449,-0.000171530755636952,0,0,0,0,1
nominal,all,Nominal physics,Linear hybrid,nominal_seed_130102,2,130102,20,0.02,128,0.000117652436964497,0.000925262852152747,-0.00080761041518825,0,0,0,0,1
nominal,all,Nominal physics,Persistent innovation,nominal_seed_130103,3,130103,20,0.02,128,9.06659729888426e-05,0.000208631643135325,-0.000117965670146482,0,0,0,0,1
nominal,all,Nominal physics,Linear hybrid,nominal_seed_130103,3,130103,20,0.02,128,9.06659729888426e-05,0.000833738516734123,-0.00074307254374528,0,0,0,0,1
nominal,all,Nominal physics,Persistent innovation,nominal_seed_130104,4,130104,20,0.02,128,8.97393896872273e-05,0.000237244892530852,-0.000147505502843624,0,0,0,0,1
nominal,all,Nominal physics,Linear hybrid,nominal_seed_130104,4,130104,20,0.02,128,8.97393896872273e-05,0.00119726834980088,-0.00110752896011366,0,0,0,0,1
nominal,all,Nominal physics,Persistent innovation,nominal_seed_130105,5,130105,20,0.02,128,0.000110475358289454,0.000297598250548816,-0.000187122892259362,0,0,0,0,1
nominal,all,Nominal physics,Linear hybrid,nominal_seed_130105,5,130105,20,0.02,128,0.000110475358289454,0.00105797000642936,-0.000947494648139907,0,0,0,0,1
nominal,all,Nominal physics,Persistent innovation,nominal_seed_130106,6,130106,20,0.02,128,0.00011597139413755,0.000295121340888264,-0.000179149946750713,0,0,0,0,1
nominal,all,Nominal physics,Linear hybrid,nominal_seed_130106,6,130106,20,0.02,128,0.00011597139413755,0.00105839452377788,-0.000942423129640334,0,0,0,0,1
nominal,all,Nominal physics,Persistent innovation,nominal_seed_130107,7,130107,20,0.02,128,0.000101639753818913,0.00024930522133927,-0.000147665467520357,0,0,0,0,1
nominal,all,Nominal physics,Linear hybrid,nominal_seed_130107,7,130107,20,0.02,128,0.000101639753818913,0.000925489403521971,-0.000823849649703058,0,0,0,0,1
nominal,all,Nominal physics,Persistent innovation,nominal_seed_130108,8,130108,20,0.02,128,9.35063992213567e-05,0.000258614218509393,-0.000165107819288037,0,0,0,0,1
nominal,all,Nominal physics,Linear hybrid,nominal_seed_130108,8,130108,20,0.02,128,9.35063992213567e-05,0.000836572046872072,-0.000743065647650716,0,0,0,0,1
nominal,all,Nominal physics,Persistent innovation,nominal_seed_130109,9,130109,20,0.02,128,9.49329969292116e-05,0.000222861282485585,-0.000127928285556374,0,0,0,0,1
nominal,all,Nominal physics,Linear hybrid,nominal_seed_130109,9,130109,20,0.02,128,9.49329969292116e-05,0.000805423597015267,-0.000710490600086056,0,0,0,0,1
nominal,all,Nominal physics,Persistent innovation,nominal_seed_130110,10,130110,20,0.02,128,9.14544705172003e-05,0.000221719356560588,-0.000130264886043387,0,0,0,0,1
nominal,all,Nominal physics,Linear hybrid,nominal_seed_130110,10,130110,20,0.02,128,9.14544705172003e-05,0.000788286172508281,-0.00069683170199108,0,0,0,0,1
nominal,nearReversal,Nominal physics,Persistent innovation,nominal_seed_130101,1,130101,20,0.02,40,0.000109031318672374,0.000316126375468014,-0.00020709505679564,0,0,0,0,1
nominal,nearReversal,Nominal physics,Linear hybrid,nominal_seed_130101,1,130101,20,0.02,40,0.000109031318672374,0.00059024003283569,-0.000481208714163316,0,0,0,0,1
nominal,nearReversal,Nominal physics,Persistent innovation,nominal_seed_130102,2,130102,20,0.02,45,0.000158600735391432,0.000378665951987055,-0.000220065216595622,0,0,0,0,1
nominal,nearReversal,Nominal physics,Linear hybrid,nominal_seed_130102,2,130102,20,0.02,45,0.000158600735391432,0.000628204522443729,-0.000469603787052296,0,0,0,0,1
nominal,nearReversal,Nominal physics,Persistent innovation,nominal_seed_130103,3,130103,20,0.02,36,9.23423575941808e-05,0.000210817624465259,-0.000118475266871079,0,0,0,0,1
nominal,nearReversal,Nominal physics,Linear hybrid,nominal_seed_130103,3,130103,20,0.02,36,9.23423575941808e-05,0.000554655581663797,-0.000462313224069617,0,0,0,0,1
nominal,nearReversal,Nominal physics,Persistent innovation,nominal_seed_130104,4,130104,20,0.02,40,9.86805996501332e-05,0.000260177623705032,-0.000161497024054899,0,0,0,0,1
nominal,nearReversal,Nominal physics,Linear hybrid,nominal_seed_130104,4,130104,20,0.02,40,9.86805996501332e-05,0.0008623316872672,-0.000763651087617067,0,0,0,0,1
nominal,nearReversal,Nominal physics,Persistent innovation,nominal_seed_130105,5,130105,20,0.02,37,0.000117163622525994,0.000292597150749769,-0.000175433528223775,0,0,0,0,1
nominal,nearReversal,Nominal physics,Linear hybrid,nominal_seed_130105,5,130105,20,0.02,37,0.000117163622525994,0.000764380670154491,-0.000647217047628497,0,0,0,0,1
nominal,nearReversal,Nominal physics,Persistent innovation,nominal_seed_130106,6,130106,20,0.02,40,0.000163934611217228,0.000418663278109818,-0.00025472866689259,0,0,0,0,1
nominal,nearReversal,Nominal physics,Linear hybrid,nominal_seed_130106,6,130106,20,0.02,40,0.000163934611217228,0.000644899220878979,-0.000480964609661751,0,0,0,0,1
nominal,nearReversal,Nominal physics,Persistent innovation,nominal_seed_130107,7,130107,20,0.02,40,0.000105669173609063,0.000244228203614806,-0.000138559030005742,0,0,0,0,1
nominal,nearReversal,Nominal physics,Linear hybrid,nominal_seed_130107,7,130107,20,0.02,40,0.000105669173609063,0.000577437516317863,-0.000471768342708799,0,0,0,0,1
nominal,nearReversal,Nominal physics,Persistent innovation,nominal_seed_130108,8,130108,20,0.02,36,0.000116851147813353,0.000291234276279717,-0.000174383128466365,0,0,0,0,1
nominal,nearReversal,Nominal physics,Linear hybrid,nominal_seed_130108,8,130108,20,0.02,36,0.000116851147813353,0.000771387457679712,-0.000654536309866359,0,0,0,0,1
