modelName,regime,eventGroup,horizonSamples,horizonSeconds,forecastCount,nonfiniteForecastCount,learnedCandidateNonfiniteCount,unknownReversalForecastCount,startupTargetCount,truthBias,truthStd,truthRMSE,truthP95AbsoluteError,truthMaxAbsoluteError,measurementBias,measurementStd,measurementRMSE,measurementP95AbsoluteError,measurementMaxAbsoluteError,posteriorTruthRMSE,runCount
Persistent innovation,nominal,awayFromReversal,1,0.001,901,0,0,0,0,2.69111011323527e-06,0.000173670500353035,0.000174174368283677,0.000384929229862532,0.000988846596700343,-4.96455173498634e-06,0.000490192206102118,0.000493910618585278,0.000892219062960259,0.00149315449592828,0.00012184128323019,10
Persistent innovation,nominal,all,20,0.02,1280,0,0,0,0,-2.88365651666513e-06,0.000254328056249991,0.000254408378723887,0.000541447888264392,0.0012815905083291,-3.92134768827028e-06,0.000509102323129734,0.000510177061398912,0.000922714021762393,0.00180200208721445,0.000127695549110231,10
Persistent innovation,nominal,nearReversal,20,0.02,379,0,0,0,0,-5.77061297388892e-06,0.000285141951290135,0.000287272803728339,0.000590159150098732,0.00121883143457964,-2.42959577446094e-05,0.000518761224721367,0.000530792495688372,0.000925755917855437,0.0015851258913883,0.000146881512766498,10
Persistent innovation,nominal,awayFromReversal,20,0.02,901,0,0,0,0,3.36310739699412e-07,0.000234820133213131,0.000235230728190032,0.000479465756455491,0.0012815905083291,4.56710417168067e-07,0.000499095963407404,0.000500059566730613,0.000885501973524368,0.00180200208721445,0.000116871722670511,10
Persistent innovation,nominal,all,50,0.05,1280,0,0,0,0,-3.89964897691251e-06,0.00045409798167012,0.000454156722045386,0.00098753272850523,0.00218621591716955,-1.11716564999356e-05,0.000645593617167452,0.000647023330044243,0.00127246295921071,0.00248490617108085,0.000316053989542035,10
Persistent innovation,nominal,nearReversal,50,0.05,382,0,0,0,0,-7.69398702286363e-06,0.000400881360616022,0.000402090997592666,0.000798887632466469,0.00199933938121077,1.14317192983379e-05,0.00059472658694724,0.000600191977903476,0.0011255044031078,0.00185618399727486,0.000280529830674423,10
Persistent innovation,nominal,awayFromReversal,50,0.05,898,0,0,0,0,-5.33220631433959e-07,0.000472600181280794,0.000472815243341558,0.000993228170792208,0.00218621591716955,-1.87985932002052e-05,0.000664243770890278,0.000665794382520686,0.00130683852777941,0.00248490617108085,0.000328767023422976,10
Persistent innovation,nominal,all,100,0.1,1280,0,0,0,0,-5.57566781904764e-06,0.000802310682655481,0.000802363518124578,0.00174860108738924,0.0037297939052905,-6.92162980147449e-06,0.00090870442006762,0.000909639703114976,0.0017687398888142,0.00378018256236506,0.000661877310956867,10
Persistent innovation,nominal,nearReversal,100,0.1,379,0,0,0,0,-9.36401964005067e-06,0.000748454606172048,0.000749897186359721,0.00147425024699703,0.00360532394937296,-3.40239787263161e-05,0.000863213170641359,0.000873871452274184,0.00170869735445749,0.00364568630287332,0.000618080022568094,10
Persistent innovation,nominal,awayFromReversal,100,0.1,901,0,0,0,0,-3.07535365744872e-06,0.000815631856466905,0.000815886623917954,0.00177789996143292,0.0037297939052905,-1.47031319775461e-06,0.000918999413278944,0.000919614954287523,0.00185768634091017,0.00378018256236506,0.000673250647159112,10
Persistent innovation,nominal,all,250,0.25,1280,0,0,0,0,-1.05893265581354e-05,0.0018619329295654,0.00186200347215328,0.00399319576593425,0.00846189431492206,-1.32882000487897e-05,0.00191946882422364,0.0019200078049382,0.00404787687076645,0.00913850803290139,0.00172076931241452,10
Persistent innovation,nominal,nearReversal,250,0.25,371,0,0,0,0,-1.07111739867534e-05,0.00180495208195027,0.00181069807089951,0.00380610799054282,0.00677398170432046,1.83392046546325e-05,0.00184821297905233,0.00185565363743408,0.00383463546511271,0.00754662194562736,0.00167343324086199,10
Persistent innovation,nominal,awayFromReversal,250,0.25,909,0,0,0,0,-1.65597804424145e-05,0.00187817433139124,0.00187960682210402,0.00400667421846183,0.00846189431492206,-2.97292217546919e-05,0.00194114490335701,0.00194393465998813,0.00404432740307203,0.00913850803290139,0.00173698844557891,10
Linear hybrid,nominal,all,1,0.001,1280,0,0,0,0,-6.25360260645819e-06,0.000254446000631411,0.000255082277825929,0.000518124562490851,0.000871753090718186,-1.69181247992316e-05,0.000519352141857606,0.000521686103458051,0.000962012462033633,0.00159500494212589,0.000180056196901075,10
Linear hybrid,nominal,nearReversal,1,0.001,379,0,0,0,0,1.23004849519137e-05,0.000262020575633128,0.000264943788454304,0.000494593261730792,0.000787319948764489,-9.70980929258855e-06,0.000509289906057027,0.000510508110719172,0.000995273702979223,0.00147480675051892,0.000189167340346858,10
Linear hybrid,nominal,awayFromReversal,1,0.001,901,0,0,0,0,-1.2601849976409e-05,0.000248720114567892,0.000250061960390629,0.00049259057304938,0.000871753090718186,-2.02575118246306e-05,0.000520031605482585,0.000524956171817232,0.000941603045233541,0.00159500494212589,0.000175111105700083,10
Linear hybrid,nominal,all,20,0.02,1280,0,0,0,0,-5.965458631823e-05,0.000911330198285218,0.000917964392748637,0.00175798805080954,0.00307477104864595,-6.06922774898351e-05,0.00102298316509883,0.00102775476937807,0.0019325341560057,0.00375662223895824,0.000171895224540947,10
Linear hybrid,nominal,nearReversal,20,0.02,379,0,0,0,0,-1.07400780455041e-05,0.000644734823998308,0.000651829921287644,0.00120374726164511,0.00202198323468439,-2.92654228162246e-05,0.000779432118979166,0.000784511849939759,0.00148991101061469,0.00245431671455776,0.000185321504034717,10
Linear hybrid,nominal,awayFromReversal,20,0.02,901,0,0,0,0,-7.86199459531794e-05,0.00099850398614133,0.00101000533828083,0.00184016337121755,0.00307477104864595,-7.84995462757107e-05,0.00110597295670582,0.00111470950409531,0.00203414528362645,0.00375662223895824,0.000164320706734596,10
