Fixture,Partition,Kind,Policy,ReferenceGoverned,WindowStart_s,WindowStop_s,WindowSamples,RequestedWindowRMSE_deg,CommandWindowRMSE_deg,ShapingWindowRMSE_deg,WindowDisturbanceRMSE_deg,FullRequestedRMSE_deg,FinalRequestedError_deg,FinalRequestedTailRMSE_deg,MaxTrueVelocity_rad_s,MaxCandidateMeasurementRate_rad_s,CandidateMeasurementRateSamples,MaxReferenceVelocity_rad_s,MaxReferenceAcceleration_rad_s2,WindowPeakCurrent_A,FullPeakCurrent_A,AlarmSamples,FirstAlarm_s,SafeStopDuration_s,FinalMode,StopOccurred,ResetReleaseOccurred,ReferenceTracePass,ReferenceBoundsPass,FinitePass,CommandBoundsPass,StopZeroPass,CommitsRemainStopped,ReleaseEvidencePass,CommandInvariantsPass,FirstReceiverExposure_s,FirstResponse_s,FirstStop_s,PreexistingAlarm,PreexistingResponse,FirstPostExposureAlarm_s,FirstPostExposureResponse_s,FirstPostExposureStop_s,BehaviorApplicable,AlarmDeadlinePass,CleanAlarmPass,ActualVelocityPass,CandidateMeasurementRatePass,FinalRequestedTrackingPass,DeclaredBehaviorPass
clean_rapid_retargets,evaluation,clean,RAW,0,0.143,2.101,1958,217.930224268878,217.930224268878,0,0,194.295347318638,150.175311710189,150.175311710189,53.8809395980676,48.1280373828949,3000,3316.12557878923,3316125.57878923,5.27233405794476,5.27233405794476,2750,0.251,2.499,4,1,0,1,0,1,1,1,1,1,1,NaN,0.251,0.501,0,0,NaN,NaN,NaN,1,1,0,0,0,0,0
clean_rapid_retargets,evaluation,clean,GOVERNED,1,0.143,2.101,1958,63.1243984681946,9.28153210210874,59.8982888838762,0,51.005186041519,0.0830945369059844,0.112146903727165,9.2004064998467,9.20026499866755,3000,8.88039805968277,161.121608192594,0.177882016043322,0.177882016043322,0,NaN,0,0,0,0,1,1,1,1,1,1,1,1,NaN,NaN,NaN,0,0,NaN,NaN,NaN,1,1,1,1,1,1,1
clean_known_positive_load,evaluation,clean,RAW,0,1.213,2.013,800,164.3998474716,164.3998474716,0,0,165.916097036541,288.533439201401,284.32598332399,40.2354909661663,37.0360327780637,3000,2094.3951023932,2094395.1023932,3.73602614941094,3.73602614941094,1772,1.229,1.521,4,1,0,1,0,1,1,1,1,1,1,NaN,1.229,1.479,0,0,NaN,NaN,NaN,1,1,0,0,0,0,0
clean_known_positive_load,evaluation,clean,GOVERNED,1,1.213,2.013,800,57.1997400328616,10.185312726014,50.3353860652276,0,33.6555391286785,0.0274410962971074,0.0372161420280906,8.97975818244564,8.97972851158002,3000,8.77596823591136,100.0085238827,0.191600583394536,0.223644708345313,0,NaN,0,0,0,0,1,1,1,1,1,1,1,1,NaN,NaN,NaN,0,0,NaN,NaN,NaN,1,1,1,1,1,1,1
clean_known_negative_load,evaluation,clean,RAW,0,1.157,1.957,800,209.290763878682,209.290763878682,0,0,198.485272656326,314.170438028311,311.012337920352,51.2777082649944,45.8999147999887,3000,2530.72741539178,2530727.41539178,4.56014396101324,4.56014396101324,1831,1.17,1.58,4,1,0,1,0,1,1,1,1,1,1,NaN,1.17,1.42,0,0,NaN,NaN,NaN,1,1,0,0,0,0,0
clean_known_negative_load,evaluation,clean,GOVERNED,1,1.157,1.957,800,72.2753509669142,11.5354250938967,64.4188934293348,0,42.3351129189437,0.0280914775410691,0.0381144537540351,9.69392721005923,9.69379432129841,3000,9.21335551557423,100.017102477423,0.174344176256137,0.198819649668991,0,NaN,0,0,0,0,1,1,1,1,1,1,1,1,NaN,NaN,NaN,0,0,NaN,NaN,NaN,1,1,1,1,1,1,1
clean_new_noise_reversal,evaluation,clean,RAW,0,1.239,2.039,800,204.725836844597,204.725836844597,0,0,165.11293021549,223.442544695964,223.442544695964,53.0368052825181,47.4728148616527,3000,2617.99387799149,2617993.87799149,4.79514782079688,4.79514782079688,1749,1.252,1.498,4,1,0,1,0,1,1,1,1,1,1,NaN,1.252,1.502,0,0,NaN,NaN,NaN,1,1,0,0,0,0,0
clean_new_noise_reversal,evaluation,clean,GOVERNED,1,1.239,2.039,800,75.2285061693949,11.6826631669219,67.3507765225991,0,43.4288106665516,0.047472712445369,0.0644600191153343,9.79505783029602,9.99294619537754,3000,9.27419980009514,100.00720585901,0.122841341395113,0.123310615538018,0,NaN,0,0,0,0,1,1,1,1,1,1,1,1,NaN,NaN,NaN,0,0,NaN,NaN,NaN,1,1,1,1,1,1,1
clean_permitted_delay_jitter,evaluation,clean,RAW,0,1.087,1.887,800,144.258345857667,144.258345857667,0,99.0259877547239,121.785155873593,154.771652074855,154.771652074855,52.6457433015555,47.1781143639867,2506,3141.59265358979,3141592.65358979,5.75230333007062,5.75230333007062,1927,0.206,1.653,4,1,0,1,0,1,1,1,1,1,1,0.613,0.206,1.347,1,1,1.111,1.111,1.347,1,1,0,0,0,0,0
clean_permitted_delay_jitter,evaluation,clean,GOVERNED,1,1.087,1.887,800,94.7645371877437,13.0328638165071,85.6753553852356,0,53.1743308224205,0.0291931044698482,0.0396238837242919,10.2993405291072,10.2993743757673,2506,9.57378083489702,100.041885976676,0.122609895019577,0.123291966749982,0,NaN,0,0,0,0,1,1,1,1,1,1,1,1,0.613,NaN,NaN,0,0,NaN,NaN,NaN,1,1,1,1,1,1,1
fault_count_jump_reversal,evaluation,fault,RAW,0,0.997,1.527,530,141.767805872763,141.767805872763,0,0,128.646187198271,162.468021209368,162.468021209368,40.2511663415208,37.052471956072,3000,2094.3951023932,2094395.1023932,3.83586287582471,3.83586287582471,1988,1.013,1.737,4,1,0,1,0,1,1,1,1,1,1,1.027,1.013,1.263,1,1,1.027,1.027,1.263,1,0,0,0,0,0,0
fault_count_jump_reversal,evaluation,fault,GOVERNED,1,0.997,1.527,530,73.3186402209426,15.4006458068066,61.8356194856357,4.90936864847272,32.9747388844139,0.00751455524976485,0.0102200654226331,9.36045642137853,195.949510165778,3000,8.77574259942854,100.026959328758,0.175896835704518,0.175896835704518,1,1.027,0,0,0,0,1,1,1,1,1,1,1,1,1.027,1.027,NaN,0,0,1.027,1.027,NaN,1,1,0,1,0,1,1
fault_out_of_range,evaluation,fault,RAW,0,0.823,1.223,400,0.996094092288001,0.996094092288001,0,0.179824875851026,7.58770253968985,1.99642148186925e-05,2.72572216618345e-05,20.0592036452734,3999.84745931123,3000,1221.73047639603,1221730.47639603,0.00214184207823205,2.23779693534323,1,0.823,0,0,0,0,1,0,1,1,1,1,1,1,0.823,0.823,NaN,0,0,0.823,0.823,NaN,1,1,0,0,0,1,0
fault_out_of_range,evaluation,fault,GOVERNED,1,0.823,1.223,400,2.12409842954757,2.17992293685573,0.0632170046549091,0.27612978809974,15.4090095383942,4.77391169731557e-05,6.51736625808234e-05,6.53447399815813,3999.82159942906,3000,7.06577278474785,100,0.00166691263331754,0.123291966749982,1,0.823,0,0,0,0,1,1,1,1,1,1,1,1,0.823,0.823,NaN,0,0,0.823,0.823,NaN,1,1,0,1,0,1,1
fault_moving_freeze,evaluation,fault,RAW,0,0.231,0.831,600,90.7107835631429,90.7107835631429,0,44.2934840034299,91.7481284543855,96.105736998749,96.105736998749,28.1831777774763,27.5638816731707,3000,1658.06278939461,1658062.78939461,0.384088259971108,3.03701012653724,2826,0.175,2.575,4,1,0,1,0,1,1,1,1,1,1,0.231,0.175,0.425,1,1,0.231,0.231,0.425,1,0,0,0,0,0,0
