PeakDM_V,PeakCM_V,PeakGround_V,AbsAreaDM_Vs,AbsAreaCM_Vs,NoiseExposure_s,ReceiverBand_s,NoiseCrossings,ReceiverCrossings,Grazing,MinimumTotalDifferential_V,MaximumTotalDifferential_V,MaximumTotalCommonMode_V,CommonModeLimitExceeded,Case,Level,MaxStep_s,RelativeTolerance,AbsoluteTolerance,Runtime_s,NativeSamples,ReferenceSamples,ReferenceDMError_V,ReferenceCMError_V,ReferenceGroundError_V,ReferenceCurrentError_A,ReferencePassed,AllFinite,WarningCount,StopEvent
0.0517347496855582,0.72533850724126,0.653845297871738,5.59118156098348e-09,4.17684209944425e-07,0,0,0,0,0,-1.11357016588461,-1.03974185926722,3.18954645097938,0,logic_low,2,5e-10,1e-05,1e-09,0.8381972,11051,11051,6.26939769787782e-06,4.64545876779354e-05,3.48023358208716e-05,2.19814123425532e-06,1,1,0,ReachedStopTime
0.0517371499565566,0.725338507208384,0.653845134038958,5.59118445486722e-09,4.17684212346363e-07,0,0,0,0,0,-1.11357174974132,-1.03973945899622,3.18954645094651,0,logic_low,3,2.5e-10,1e-05,1e-09,0.9584577,22577,22577,6.10311400484065e-06,4.47604537638924e-05,3.19814955839215e-05,2.07582894914959e-06,1,1,0,ReachedStopTime
0.0517380661780931,0.725338507046949,0.653845189441692,5.59153231000087e-09,4.17684208966246e-07,0,1.83805862636578e-08,0,2,0,-1.09147660895278,1.10998199103618,3.24266862733068,0,transition_leads,1,1e-09,1e-05,1e-09,0.729736,5959,5959,8.12925713367108e-06,5.17596000992881e-05,3.6719026167642e-05,2.38791073225997e-06,1,1,0,ReachedStopTime
0.051732869029939,0.72533850715358,0.653847357144608,5.59139902061832e-09,4.17684214312034e-07,0,1.8380603989247e-08,0,2,0,-1.09147660895278,1.10998197184257,3.24266862743731,0,transition_leads,2,5e-10,1e-05,1e-09,0.710239,11236,11236,8.61791346062901e-06,5.16071620233483e-05,3.28721924325315e-05,2.39408823410336e-06,1,1,0,ReachedStopTime
0.0517389348257145,0.725338507186051,0.65384590942872,5.59128249831454e-09,4.17684212608516e-07,0,1.83806131143761e-08,0,2,0,-1.09147660895278,1.10998196641931,3.24266862746978,0,transition_leads,3,2.5e-10,1e-05,1e-09,0.7725589,21160,21160,7.71495940821154e-06,4.63058266477745e-05,3.05464251062482e-05,2.19326219004501e-06,1,1,0,ReachedStopTime
0.0517305251276499,0.72533848089685,0.653845150283789,5.59135606911887e-09,4.17684204806769e-07,0,1.83891954535086e-08,0,2,0,-1.09147660895278,1.10997496559571,3.25083184461048,0,transition_coincident,1,1e-09,1e-05,1e-09,0.656731,5803,5803,1.45438390815045e-05,5.38787653767692e-05,3.66267458509206e-05,2.49778136973688e-06,1,1,0,ReachedStopTime
0.0517340037037417,0.725338485370915,0.653845350685845,5.59127016106306e-09,4.17684207835471e-07,0,1.8389255187463e-08,0,2,0,-1.09147660895278,1.10997494004041,3.25083184908455,0,transition_coincident,2,5e-10,1e-05,1e-09,0.743254,11067,11067,8.1671187430743e-06,5.0372697786738e-05,3.45845889859753e-05,2.32866157912071e-06,1,1,0,ReachedStopTime
0.0517360674263201,0.725338491768331,0.653845132929053,5.59121508021439e-09,4.17684209789872e-07,0,1.83892706727237e-08,0,2,0,-1.09147660895278,1.10997493316561,3.25083185548196,0,transition_coincident,3,2.5e-10,1e-05,1e-09,0.7730668,21959,21959,5.94133331244251e-06,4.49132081783432e-05,3.07651402784437e-05,2.07350654733707e-06,1,1,0,ReachedStopTime
0.051731025633603,0.725338535869324,0.65384513934616,5.59060373909963e-09,4.17684219880651e-07,0,1.83811959553407e-08,0,2,0,-1.09147660895278,1.08583410037425,3.18954647960745,0,transition_lags,1,1e-09,1e-05,1e-09,0.6640928,5573,5573,1.46201161213e-05,5.12969830328558e-05,3.64224500490895e-05,2.41549159429866e-06,1,1,0,ReachedStopTime
0.0517347496855582,0.725338582027868,0.653845139545043,5.59089913324685e-09,4.17684212426856e-07,0,1.83812216019754e-08,0,2,0,-1.09147660895278,1.08583410037425,3.18954652576599,0,transition_lags,2,5e-10,1e-05,1e-09,0.7086028,10389,10389,7.51377186158919e-06,5.06374722042402e-05,3.42171386027434e-05,2.22409425498782e-06,1,1,0,ReachedStopTime
