time_s,positive_V,negative_V,differential_V,commonMode_V,ground_V,returnCurrent_A,deltaDifferential_V,deltaCommonMode_V
2.69150000000016e-06,3.06028884127285,1.97437135407231,1.08591748720053,2.51733009767258,-1.01186862959679e-05,-0.000404747451830873,6.66133814775094e-16,8.88178419700125e-16
2.69175000000016e-06,3.06028884127285,1.97437135407231,1.08591748720053,2.51733009767258,-1.01186862959679e-05,-0.000404747451830874,6.66133814775094e-16,8.88178419700125e-16
2.69200000000016e-06,3.06028884127285,1.97437135407231,1.08591748720053,2.51733009767258,-1.01186862959679e-05,-0.000404747451830875,6.66133814775094e-16,8.88178419700125e-16
2.69225000000016e-06,3.06028884127285,1.97437135407231,1.08591748720053,2.51733009767258,-1.01186862959679e-05,-0.000404747451830875,6.66133814775094e-16,8.88178419700125e-16
2.69250000000016e-06,3.06028884127285,1.97437135407231,1.08591748720053,2.51733009767258,-1.01186862959679e-05,-0.000404747451830875,6.66133814775094e-16,8.88178419700125e-16
2.69275000000016e-06,3.06028884127285,1.97437135407231,1.08591748720053,2.51733009767258,-1.01186862955238e-05,-0.000404747451830879,6.66133814775094e-16,8.88178419700125e-16
2.69300000000016e-06,3.06028884127285,1.97437135407231,1.08591748720053,2.51733009767258,-1.01186862955238e-05,-0.000404747451830878,6.66133814775094e-16,8.88178419700125e-16
2.69325000000016e-06,3.06028884127285,1.97437135407231,1.08591748720053,2.51733009767258,-1.01186862955238e-05,-0.000404747451830878,6.66133814775094e-16,8.88178419700125e-16
2.69350000000016e-06,3.06028884127285,1.97437135407231,1.08591748720053,2.51733009767258,-1.01186862955238e-05,-0.000404747451830878,6.66133814775094e-16,8.88178419700125e-16
2.69375000000016e-06,3.06028884127285,1.97437135407231,1.08591748720053,2.51733009767258,-1.01186862959679e-05,-0.000404747451830875,6.66133814775094e-16,8.88178419700125e-16
2.69400000000016e-06,3.06028884127285,1.97437135407231,1.08591748720053,2.51733009767258,-1.01186862959679e-05,-0.000404747451830875,6.66133814775094e-16,8.88178419700125e-16
2.69425000000016e-06,3.06028884127285,1.97437135407231,1.08591748720053,2.51733009767258,-1.01186862959679e-05,-0.000404747451830876,6.66133814775094e-16,8.88178419700125e-16
2.69450000000016e-06,3.06028884127285,1.97437135407231,1.08591748720053,2.51733009767258,-1.01186862959679e-05,-0.000404747451830873,6.66133814775094e-16,8.88178419700125e-16
2.69475000000016e-06,3.06028884127285,1.97437135407231,1.08591748720053,2.51733009767258,-1.01186862959679e-05,-0.000404747451830874,6.66133814775094e-16,8.88178419700125e-16
2.69500000000016e-06,3.06028884127285,1.97437135407231,1.08591748720053,2.51733009767258,-1.01186862959679e-05,-0.000404747451830874,6.66133814775094e-16,8.88178419700125e-16
2.69525000000016e-06,3.06028884127285,1.97437135407231,1.08591748720053,2.51733009767258,-1.01186862959679e-05,-0.000404747451830875,6.66133814775094e-16,8.88178419700125e-16
2.69550000000016e-06,3.06028884127285,1.97437135407231,1.08591748720053,2.51733009767258,-1.01186862959679e-05,-0.000404747451830875,6.66133814775094e-16,8.88178419700125e-16
2.69575000000016e-06,3.06028884127285,1.97437135407231,1.08591748720053,2.51733009767258,-1.01186862959679e-05,-0.000404747451830875,6.66133814775094e-16,8.88178419700125e-16
2.69600000000016e-06,3.06028884127285,1.97437135407231,1.08591748720053,2.51733009767258,-1.01186862955238e-05,-0.000404747451830879,6.66133814775094e-16,8.88178419700125e-16
2.69625000000016e-06,3.06028884127285,1.97437135407231,1.08591748720053,2.51733009767258,-1.01186862955238e-05,-0.000404747451830878,6.66133814775094e-16,8.88178419700125e-16
2.69650000000016e-06,3.06028884127285,1.97437135407231,1.08591748720053,2.51733009767258,-1.01186862955238e-05,-0.000404747451830878,6.66133814775094e-16,8.88178419700125e-16
2.69675000000016e-06,3.06028884127285,1.97437135407231,1.08591748720053,2.51733009767258,-1.01186862955238e-05,-0.000404747451830878,6.66133814775094e-16,8.88178419700125e-16
2.69700000000016e-06,3.06028884127285,1.97437135407231,1.08591748720053,2.51733009767258,-1.01186862959679e-05,-0.000404747451830874,6.66133814775094e-16,8.88178419700125e-16
2.69725000000016e-06,3.06028884127285,1.97437135407231,1.08591748720053,2.51733009767258,-1.01186862959679e-05,-0.000404747451830875,6.66133814775094e-16,8.88178419700125e-16
2.69750000000016e-06,3.06028884127285,1.97437135407231,1.08591748720053,2.51733009767258,-1.01186862959679e-05,-0.000404747451830875,6.66133814775094e-16,8.88178419700125e-16
2.69775000000016e-06,3.06028884127285,1.97437135407231,1.08591748720053,2.51733009767258,-1.01186862959679e-05,-0.000404747451830873,6.66133814775094e-16,8.88178419700125e-16
2.69800000000016e-06,3.06028884127285,1.97437135407231,1.08591748720053,2.51733009767258,-1.01186862959679e-05,-0.000404747451830873,6.66133814775094e-16,8.88178419700125e-16
2.69825000000016e-06,3.06028884127285,1.97437135407231,1.08591748720053,2.51733009767258,-1.01186862959679e-05,-0.000404747451830874,6.66133814775094e-16,8.88178419700125e-16
2.69850000000016e-06,3.06028884127285,1.97437135407231,1.08591748720053,2.51733009767258,-1.01186862959679e-05,-0.000404747451830875,6.66133814775094e-16,8.88178419700125e-16
2.69875000000016e-06,3.06028884127285,1.97437135407231,1.08591748720053,2.51733009767258,-1.01186862955238e-05,-0.000404747451830878,6.66133814775094e-16,8.88178419700125e-16
2.69900000000016e-06,3.06028884127285,1.97437135407231,1.08591748720053,2.51733009767258,-1.01186862955238e-05,-0.000404747451830878,6.66133814775094e-16,8.88178419700125e-16
2.69925000000016e-06,3.06028884127285,1.97437135407231,1.08591748720053,2.51733009767258,-1.01186862955238e-05,-0.000404747451830878,6.66133814775094e-16,8.88178419700125e-16
2.69950000000016e-06,3.06028884127285,1.97437135407231,1.08591748720053,2.51733009767258,-1.01186862955238e-05,-0.000404747451830877,6.66133814775094e-16,8.88178419700125e-16
2.69975000000016e-06,3.06028884127285,1.97437135407231,1.08591748720053,2.51733009767258,-1.01186862959679e-05,-0.000404747451830874,6.66133814775094e-16,8.88178419700125e-16
2.70000000000016e-06,3.06028884127285,1.97437135407231,1.08591748720053,2.51733009767258,-1.01186862959679e-05,-0.000404747451830875,6.66133814775094e-16,8.88178419700125e-16
