Time_s,DifferentialDisturbance_V,NativeDifferential_V,ReferenceDifferential_V,ReferenceError_V
1.30055824839887e-06,-8.34843433263899e-05,1.08583400285721,1.08583400276413,9.3078433849314e-11
1.30078021184231e-06,-8.34814716275112e-05,1.08583400572891,1.08583400563836,9.05457930855391e-11
1.30100217528575e-06,-8.34786844947644e-05,1.08583400851604,1.08583400842796,8.80815420600811e-11
1.30122413872919e-06,-8.34759794376971e-05,1.0858340112211,1.08583401113541,8.56834603268908e-11
1.30144610217264e-06,-8.34733540400201e-05,1.08583401384649,1.08583401376314,8.33511037967583e-11
1.30166806561608e-06,-8.34708059551659e-05,1.08583401639458,1.0858340163135,8.10813638452146e-11
1.30189002905952e-06,-8.34683329071773e-05,1.08583401886763,1.08583401878875,7.88720200262105e-11
1.30211199250297e-06,-8.34659326858223e-05,1.08583402126785,1.08583402119112,7.67235164289559e-11
1.30233395594641e-06,-8.34636031465941e-05,1.08583402359739,1.08583402352275,7.4632300339772e-11
1.30255591938985e-06,-8.34613422080466e-05,1.08583402585833,1.08583402578573,7.25983717586587e-11
1.30277788283329e-06,-8.3459147850018e-05,1.08583402805268,1.08583402798206,7.06186220611471e-11
1.30299984627674e-06,-8.34570181114103e-05,1.08583403018242,1.08583403011373,6.86930512472372e-11
1.30322180972018e-06,-8.34549510897453e-05,1.08583403224944,1.08583403218262,6.68198829600897e-11
1.30344377316362e-06,-8.34529449385002e-05,1.08583403425559,1.0858340341906,6.4997340842865e-11
1.30366573660707e-06,-8.34509978648867e-05,1.08583403620267,1.08583403613944,6.32236485387239e-11
1.30388770005051e-06,-8.34491081289634e-05,1.0858340380924,1.08583403803091,6.14974737800367e-11
1.30410966349395e-06,-8.34472740423031e-05,1.08583403992649,1.08583403986667,5.98188165668034e-11
1.30433162693739e-06,-8.34454939662166e-05,1.08583404170657,1.08583404164838,5.81850123637651e-11
1.30455359038084e-06,-8.34437663099763e-05,1.08583404343422,1.08583404337763,5.65960611709215e-11
1.30477555382428e-06,-8.34420895299282e-05,1.085834045111,1.08583404505595,5.50501866314335e-11
1.30499751726772e-06,-8.34404621281593e-05,1.0858340467384,1.08583404668486,5.35460564776713e-11
1.30521948071117e-06,-8.34388826502774e-05,1.08583404831788,1.0858340482658,5.20827825312153e-11
1.30544144415461e-06,-8.34373496849672e-05,1.08583404985085,1.08583404980019,5.06594766136459e-11
1.30566340759805e-06,-8.34358618626574e-05,1.08583405133867,1.0858340512894,4.92743623681235e-11
1.30588537104149e-06,-8.3434417854189e-05,1.08583405278268,1.08583405273475,4.79269957054385e-11
1.30610733448494e-06,-8.34330163690389e-05,1.08583405418416,1.08583405413755,4.66164884471709e-11
1.30632929792838e-06,-8.34316561553194e-05,1.08583405554438,1.08583405549904,4.53410642364815e-11
1.30655126137182e-06,-8.34303359975586e-05,1.08583405686454,1.08583405682044,4.40998348949506e-11
1.30677322481527e-06,-8.34290547158112e-05,1.08583405814582,1.08583405810292,4.28928004225781e-11
1.30699518825871e-06,-8.34278111652154e-05,1.08583405938937,1.08583405934765,4.17186285517346e-11
1.30721715170215e-06,-8.3426604235104e-05,1.0858340605963,1.08583406055572,4.05764311040002e-11
1.30743911514559e-06,-8.34254328472284e-05,1.08583406176769,1.08583406172822,3.94644317225357e-11
1.30766107858904e-06,-8.34242959539822e-05,1.08583406290458,1.0858340628662,3.83839626749705e-11
1.30788304203248e-06,-8.34231925401774e-05,1.08583406400799,1.08583406397066,3.73323594260455e-11
1.30810500547592e-06,-8.34221216203801e-05,1.08583406507891,1.0858340650426,3.6309177886551e-11
1.30832696891937e-06,-8.3421082237134e-05,1.0858340661183,1.08583406608298,3.53135298780671e-11
1.30854893236281e-06,-8.34200734614043e-05,1.08583406712707,1.08583406709273,3.43458594898038e-11
1.30877089580625e-06,-8.34190943925783e-05,1.08583406810614,1.08583406807274,3.3403502186502e-11
1.30899285924969e-06,-8.34181441553561e-05,1.08583406905638,1.08583406902389,3.24877902357912e-11
1.30921482269314e-06,-8.34172219010831e-05,1.08583406997863,1.08583406994704,3.15960591024123e-11
1.30943678613658e-06,-8.34163268055299e-05,1.08583407087373,1.085834070843,3.07291969647849e-11
1.30965874958002e-06,-8.34154580688917e-05,1.08583407174246,1.08583407171258,2.98854274660698e-11
1.30988071302347e-06,-8.34146149153447e-05,1.08583407258562,1.08583407255655,2.9064306517057e-11
1.31010267646691e-06,-8.34137965908255e-05,1.08583407340394,1.08583407337568,2.82662782069565e-11
1.31032463991035e-06,-8.34130023643631e-05,1.08583407419817,1.08583407417068,2.74900102681386e-11
1.3105466033538e-06,-8.34122315267471e-05,1.08583407496901,1.08583407494227,2.67341704329738e-11
1.31076856679724e-06,-8.34114833887512e-05,1.08583407571714,1.08583407569115,2.59992027906719e-11
1.31099053024068e-06,-8.34107572820209e-05,1.08583407644325,1.08583407641797,2.52842191628133e-11
1.31121249368412e-06,-8.34100525577419e-05,1.08583407714798,1.08583407712339,2.4589219549398e-11
1.31143445712757e-06,-8.34093685866399e-05,1.08583407783195,1.08583407780803,2.39124275935865e-11
1.31165642057101e-06,-8.340870475676e-05,1.08583407849578,1.08583407847252,2.32547314737985e-11
1.31187838401445e-06,-8.34080604756871e-05,1.08583407914006,1.08583407911744,2.26147989224046e-11
1.3121003474579e-06,-8.34074351674374e-05,1.08583407976537,1.08583407974337,2.19921858501948e-11
1.31232231090134e-06,-8.34068282733469e-05,1.08583408037226,1.08583408035087,2.13864481679593e-11
1.31254427434478e-06,-8.34062392511825e-05,1.08583408096128,1.08583408094048,2.0798029964908e-11
1.31276623778822e-06,-8.34056675746986e-05,1.08583408153296,1.08583408151273,2.02247107949916e-11
1.31298820123167e-06,-8.34051127327484e-05,1.0858340820878,1.08583408206813,1.96678229258396e-11
1.31321016467511e-06,-8.34045742301726e-05,1.0858340826263,1.08583408260718,1.91255900006126e-11
1.31343212811855e-06,-8.34040515851342e-05,1.08583408314895,1.08583408313035,1.85989001977305e-11
1.313654091562e-06,-8.34035443313397e-05,1.0858340836562,1.08583408363812,1.80855330711438e-11
