time_s,theta_ref_rad,theta_rad,theta_measured_rad,omega_rad_s,current_A,true_tracking_error_rad,measurement_error_rad,voltage_cmd_unsaturated_V,voltage_cmd_V,gaussian_fault_rad,sinusoidal_fault_rad,count_jump_fault_rad,dropout_active,measurement_stale
1.146,0.523598775598299,0.525356710026455,0.525356710026455,-0.00961676544650508,8.43872184533889e-05,-0.00175793442815653,0,-0.00066721960857229,-0.00066721960857229,0,0,0,0,0
1.147,0.523598775598299,0.525347118957966,0.525347118957966,-0.00956541674290275,8.39543745415524e-05,-0.001748343359667,0,-0.000663635865133134,-0.000663635865133134,0,0,0,0,0
1.148,0.523598775598299,0.52533757910569,0.52533757910569,-0.0095143327955938,8.35236601115354e-05,-0.00173880350739097,0,-0.000660070727565043,-0.000660070727565043,0,0,0,0,0
1.149,0.523598775598299,0.525328090205526,0.525328090205526,-0.00946351229435001,8.30950632879507e-05,-0.00172931460722758,0,-0.000656524105259312,-0.000656524105259312,0,0,0,0,0
1.15,0.523598775598299,0.525318651994682,0.525318651994682,-0.00941295393612581,8.26685723070922e-05,-0.00171987639638327,0,-0.000652995908045018,-0.000652995908045018,0,0,0,0,0
1.151,0.523598775598299,0.525309264211662,0.525309264211662,-0.00936265642499384,8.22441755169444e-05,-0.00171048861336343,0,-0.00064948604618043,-0.00064948604618043,0,0,0,0,0
1.152,0.523598775598299,0.525299926596265,0.525299926596265,-0.00931261847208028,8.1821861378277e-05,-0.00170115099796608,0,-0.000645994430349853,-0.000645994430349853,0,0,0,0,0
1.153,0.523598775598299,0.525290638889573,0.525290638889573,-0.0092628387954999,8.14016184646775e-05,-0.00169186329127435,0,-0.000642520971657136,-0.000642520971657136,0,0,0,0,0
1.154,0.523598775598299,0.525281400833949,0.525281400833949,-0.00921331612029105,8.09834354629802e-05,-0.00168262523565021,0,-0.000639065581622808,-0.000639065581622808,0,0,0,0,0
1.155,0.523598775598299,0.525272212173026,0.525272212173026,-0.00916404917835068,8.05673011727921e-05,-0.00167343657472674,0,-0.00063562817217697,-0.00063562817217697,0,0,0,0,0
1.156,0.523598775598299,0.525263072651701,0.525263072651701,-0.00911503670836951,8.01532045068055e-05,-0.00166429705340199,0,-0.000632208655656708,-0.000632208655656708,0,0,0,0,0
1.157,0.523598775598299,0.525253982016131,0.525253982016131,-0.00906627745576725,7.97411344901683e-05,-0.0016552064178319,0,-0.000628806944800771,-0.000628806944800771,0,0,0,0,0
1.158,0.523598775598299,0.525244940013722,0.525244940013722,-0.00901777017262821,7.93310802601427e-05,-0.00164616441542353,0,-0.000625422952745138,-0.000625422952745138,0,0,0,0,0
1.159,0.523598775598299,0.525235946393127,0.525235946393127,-0.00896951361763708,7.89230310656684e-05,-0.00163717079482861,0,-0.000622056593019467,-0.000622056593019467,0,0,0,0,0
1.16,0.523598775598299,0.525227000904236,0.525227000904236,-0.00892150655601515,7.85169762665943e-05,-0.00162822530593687,0,-0.000618707779542917,-0.000618707779542917,0,0,0,0,0
1.161,0.523598775598299,0.525218103298169,0.525218103298169,-0.00887374775945695,7.81129053329146e-05,-0.00161932769986983,0,-0.000615376426621142,-0.000615376426621142,0,0,0,0,0
1.162,0.523598775598299,0.525209253327273,0.525209253327273,-0.00882623600606742,7.77108078436484e-05,-0.00161047772897382,0,-0.000612062448941163,-0.000612062448941163,0,0,0,0,0
1.163,0.523598775598299,0.525200450745113,0.525200450745113,-0.00877897008029963,7.73106734861865e-05,-0.00160167514681397,0,-0.000608765761568903,-0.000608765761568903,0,0,0,0,0
1.164,0.523598775598299,0.525191695306467,0.525191695306467,-0.00873194877289303,7.69124920550936e-05,-0.00159291970816799,0,-0.000605486279946094,-0.000605486279946094,0,0,0,0,0
1.165,0.523598775598299,0.525182986767318,0.525182986767318,-0.0086851708808124,7.65162534507906e-05,-0.0015842111690193,0,-0.000602223919885348,-0.000602223919885348,0,0,0,0,0
1.166,0.523598775598299,0.52517432488485,0.52517432488485,-0.00863863520718743,7.61219476787622e-05,-0.00157554928655168,0,-0.000598978597569393,-0.000598978597569393,0,0,0,0,0
1.167,0.523598775598299,0.525165709417441,0.525165709417441,-0.00859234056125298,7.5729564847782e-05,-0.00156693381914252,0,-0.000595750229546363,-0.000595750229546363,0,0,0,0,0
1.168,0.523598775598299,0.525157140124656,0.525157140124656,-0.00854628575829022,7.53390951688062e-05,-0.00155836452635705,0,-0.000592538732727751,-0.000592538732727751,0,0,0,0,0
1.169,0.523598775598299,0.525148616767241,0.525148616767241,-0.00850046961956846,7.49505289534502e-05,-0.00154984116894219,0,-0.000589344024385423,-0.000589344024385423,0,0,0,0,0
1.17,0.523598775598299,0.525140139107119,0.525140139107119,-0.00845489097228781,7.45638566125305e-05,-0.0015413635088205,0,-0.000586166022148581,-0.000586166022148581,0,0,0,0,0
1.171,0.523598775598299,0.525131706907383,0.525131706907383,-0.00840954864952272,7.41790686546789e-05,-0.00153293130908461,0,-0.000583004644002188,-0.000583004644002188,0,0,0,0,0
1.172,0.523598775598299,0.52512331993229,0.52512331993229,-0.00836444149016626,7.37961556845628e-05,-0.00152454433399107,0,-0.000579859808283839,-0.000579859808283839,0,0,0,0,0
1.173,0.523598775598299,0.525114977947253,0.525114977947253,-0.00831956833887547,7.34151084013763e-05,-0.00151620234895455,0,-0.00057673143368118,-0.00057673143368118,0,0,0,0,0
1.174,0.523598775598299,0.525106680718841,0.525106680718841,-0.00827492804601743,7.30359175973459e-05,-0.00150790512054222,0,-0.0005736194392302,-0.0005736194392302,0,0,0,0,0
