time_s,theta_ref_rad,theta_rad,theta_measured_rad,omega_rad_s,current_A,true_tracking_error_rad,measurement_error_rad,voltage_cmd_unsaturated_V,voltage_cmd_V,gaussian_fault_rad,sinusoidal_fault_rad,count_jump_fault_rad,dropout_active,measurement_stale
0.303,0.523598775598299,0.575484128690602,0.575484128690602,0.157808868156524,-0.00393798394697488,-0.0518853530923035,0,0.0074458124220679,0.0074458124220679,0,0,0,0,0
0.304,0.523598775598299,0.575640822158285,0.575640822158285,0.155568323495175,-0.00405137582940695,-0.0520420465599867,0,0.00713596052512058,0.00713596052512058,0,0,0,0,0
0.305,0.523598775598299,0.575795245807856,0.575795245807856,0.153269464549378,-0.00416222954412826,-0.0521964702095569,0,0.00682512545784822,0.00682512545784822,0,0,0,0,0
0.306,0.523598775598299,0.575947342040381,0.575947342040381,0.150913737991534,-0.00427036263925669,-0.0523485664420822,0,0.00651359603593549,0.00651359603593549,0,0,0,0,0
0.307,0.523598775598299,0.57609705475025,0.57609705475025,0.148502682373427,-0.00437560851031421,-0.0524982791519513,0,0.00620165090519206,0.00620165090519206,0,0,0,0,0
0.308,0.523598775598299,0.576244329412848,0.576244329412848,0.146037919774071,-0.00447781580950021,-0.0526455538145489,0,0.00588955857593906,0.00588955857593906,0,0,0,0,0
0.309,0.523598775598299,0.57638911316404,0.57638911316404,0.143521147766696,-0.00457684786135687,-0.0527903375657413,0,0.00557757747307852,0.00557757747307852,0,0,0,0,0
0.31,0.523598775598299,0.576531354871783,0.576531354871783,0.14095413170104,-0.00467258208546626,-0.0529325792734846,0,0.00526595600091315,0.00526595600091315,0,0,0,0,0
0.311,0.523598775598299,0.576671005200172,0.576671005200172,0.138338697296832,-0.00476490942677043,-0.0530722296018729,0,0.00495493262180263,0.00495493262180263,0,0,0,0,0
0.312,0.523598775598299,0.576808016666231,0.576808016666231,0.135676723544012,-0.00485373379406098,-0.0532092410679327,0,0.00464473594776538,0.00464473594776538,0,0,0,0,0
0.313,0.523598775598299,0.576942343689768,0.576942343689768,0.132970135904997,-0.00493897150714309,-0.0533435680914695,0,0.00433558484417224,0.00433558484417224,0,0,0,0,0
0.314,0.523598775598299,0.577073942636564,0.577073942636564,0.130220899814011,-0.0050205507531341,-0.0534751670382653,0,0.0040276885446916,0.0040276885446916,0,0,0,0,0
0.315,0.523598775598299,0.577202771855221,0.577202771855221,0.127431014468282,-0.00509841105231914,-0.0536039962569222,0,0.00372124677668226,0.00372124677668226,0,0,0,0,0
0.316,0.523598775598299,0.577328791707939,0.577328791707939,0.124602506905713,-0.0051725027339454,-0.0537300161096403,0,0.00341644989625195,0.00341644989625195,0,0,0,0,0
0.317,0.523598775598299,0.577451964595514,0.577451964595514,0.121737426363418,-0.00524278642229958,-0.0538531889972147,0,0.00311347903222256,0.00311347903222256,0,0,0,0,0
0.318,0.523598775598299,0.577572254976827,0.577572254976827,0.118837838911353,-0.00530923253337831,-0.0539734793785284,0,0.00281250623827789,0.00281250623827789,0,0,0,0,0
0.319,0.523598775598299,0.577689629383114,0.577689629383114,0.115905822355136,-0.00537182078242445,-0.0540908537848152,0,0.00251369465258372,0.00251369465258372,0,0,0,0,0
0.32,0.523598775598299,0.577804056427255,0.577804056427255,0.112943461402002,-0.00543053970257158,-0.0542052808289563,0,0.00221719866420794,0.00221719866420794,0,0,0,0,0
0.321,0.523598775598299,0.577915506808371,0.577915506808371,0.10995284308371,-0.00548538617480485,-0.0543167312100722,0,0.00192316408568485,0.00192316408568485,0,0,0,0,0
0.322,0.523598775598299,0.578023953311962,0.578023953311962,0.106936052430166,-0.00553636496941705,-0.0544251777136635,0,0.00163172833109532,0.00163172833109532,0,0,0,0,0
0.323,0.523598775598299,0.578129370805847,0.578129370805847,0.10389516838739,-0.00558348829911014,-0.0545305952075478,0,0.00134302059906127,0.00134302059906127,0,0,0,0,0
0.324,0.523598775598299,0.578231736232133,0.578231736232133,0.100832259973421,-0.0056267753838635,-0.0546329606338346,0,0.00105716206007331,0.00105716206007331,0,0,0,0,0
0.325,0.523598775598299,0.578331028595471,0.578331028595471,0.0977493826656874,-0.00566625202766534,-0.0547322529971718,0,0.000774266047601335,0.000774266047601335,0,0,0,0,0
0.326,0.523598775598299,0.578427228947791,0.578427228947791,0.0946485750133452,-0.00570195020717625,-0.0548284533494926,0,0.000494438252452378,0.000494438252452378,0,0,0,0,0
0.327,0.523598775598299,0.578520320369784,0.578520320369784,0.0915318554680311,-0.00573390767237226,-0.0549215447714853,0,0.000217776919870571,0.000217776919870571,0,0,0,0,0
0.328,0.523598775598299,0.578610287949298,0.578610287949298,0.0884012194264982,-0.00576216755919084,-0.055011512350999,0,-5.56269511051422e-05,-5.56269511051422e-05,0,0,0,0,0
0.329,0.523598775598299,0.578697118756895,0.578697118756895,0.085258636478576,-0.00578677801418162,-0.0550983431585966,0,-0.000325689406488749,-0.000325689406488749,0,0,0,0,0
0.33,0.523598775598299,0.578780801818753,0.578780801818753,0.0821060478539151,-0.00580779183114399,-0.0551820262204543,0,-0.000592333334839351,-0.000592333334839351,0,0,0,0,0
0.331,0.523598775598299,0.578861328087105,0.578861328087105,0.0789453640609949,-0.00582526609971357,-0.0552625524888058,0,-0.000855488263819121,-0.000855488263819121,0,0,0,0,0
0.332,0.523598775598299,0.578938690408417,0.578938690408417,0.0757784627119024,-0.00583926186584301,-0.0553399148101182,0,-0.00111509015620986,-0.00111509015620986,0,0,0,0,0
0.333,0.523598775598299,0.579012883489482,0.579012883489482,0.0726071865264281,-0.00584984380410327,-0.0554141078911827,0,-0.00137108120576795,-0.00137108120576795,0,0,0,0,0
0.334,0.523598775598299,0.579083903861596,0.579083903861596,0.0694333415090745,-0.00585707990171718,-0.055485128263297,0,-0.0016234096332744,-0.0016234096332744,0,0,0,0,0
0.335,0.523598775598299,0.579151749843007,0.579151749843007,0.0662586952926272,-0.00586104115422203,-0.055552974244708,0,-0.00187202948311496,-0.00187202948311496,0,0,0,0,0
0.336,0.523598775598299,0.579216421499778,0.579216421499778,0.0630849756420023,-0.00586180127264302,-0.0556176459014791,0,-0.0021169004207103,-0.0021169004207103,0,0,0,0,0
0.337,0.523598775598299,0.579277920605238,0.579277920605238,0.0599138691121555,-0.00585943640204734,-0.0556791450069387,0,-0.0023579875310922,-0.0023579875310922,0,0,0,0,0
0.338,0.523598775598299,0.57933625059816,0.57933625059816,0.0567470198539144,-0.00585402485133568,-0.055737474999861,0,-0.0025952611189102,-0.0025952611189102,0,0,0,0,0
0.339,0.523598775598299,0.579391416539823,0.579391416539823,0.0535860285616811,-0.00584564683411759,-0.0557926409415245,0,-0.0028286965101294,-0.0028286965101294,0,0,0,0,0
0.34,0.523598775598299,0.579443425070085,0.579443425070085,0.0504324515570378,-0.00583438422050629,-0.0558446494717857,0,-0.00305827385566509,-0.00305827385566509,0,0,0,0,0
0.341,0.523598775598299,0.579492284362602,0.579492284362602,0.047287800002387,-0.0058203202996586,-0.0558935087643033,0,-0.00328397793718635,-0.00328397793718635,0,0,0,0,0
0.342,0.523598775598299,0.579538004079336,0.579538004079336,0.044153539238854,-0.00580353955287822,-0.0559392284810372,0,-0.00350579797529771,-0.00350579797529771,0,0,0,0,0
0.343,0.523598775598299,0.579580595324445,0.579580595324445,0.0410310882427844,-0.00578412743709096,-0.0559818197261462,0,-0.00372372744030236,-0.00372372744030236,0,0,0,0,0
0.344,0.523598775598299,0.579620070597698,0.579620070597698,0.0379218191952754,-0.00576217017849552,-0.0560212949993991,0,-0.00393776386572259,-0.00393776386572259,0,0,0,0,0
0.345,0.523598775598299,0.579656443747507,0.579656443747507,0.0348270571592939,-0.00573775457618448,-0.0560576681492084,0,-0.00414790866475048,-0.00414790866475048,0,0,0,0,0
0.346,0.523598775598299,0.579689729923693,0.579689729923693,0.0317480798590439,-0.00571096781552621,-0.0560909543253946,0,-0.00435416694978194,-0.00435416694978194,0,0,0,0,0
