time_s,reference_rad,position_rad,velocity_rad_s,current_A,sensor_side_measurement_rad,received_measurement_rad,tracking_error_rad,command_V,unsaturated_command_V,capacitive_current_A,capacitive_voltage_V,inductive_voltage_V,shared_impedance_voltage_V,ground_common_mode_voltage_V,ground_differential_voltage_V,receiver_differential_voltage_V,equivalent_encoder_error_rad,physical_source_window_active,ground_window_active,communication_channel_enabled,transmit_delay_samples,packet_dropped,sample_received,accepted_source_index,accepted_delay_samples,held_last,measurement_age_samples,measurement_age_s,collision_discard_count,out_of_order_discard_count,delta_position_rad,delta_command_V,delta_received_measurement_rad,pre_window_active,analysis_window_active,post_window_active,configured_fault_window_active
0.953,0.523598775598299,0.526777042055134,-0.0308013886165015,0.000581487132973605,0.528522371307128,0.528522371307128,-0.00492359570882928,-0.00179669571035402,-0.00179669571035402,0,0,0,0,0.1,0.01,0.01,0.00174532925199433,0,1,0,0,0,1,954,0,0,0,0,0,0,-0.00179044884219914,3.86304249356366e-05,-4.51195902048118e-05,0,1,0,1
0.954,0.523598775598299,0.526746404785296,-0.0304744481087242,0.000567337388548219,0.52849173403729,0.52849173403729,-0.00489295843899129,-0.00178712661325156,-0.00178712661325156,0,0,0,0,0.1,0.01,0.01,0.00174532925199433,0,1,0,0,0,1,955,0,0,0,0,0,0,-0.00179497647036952,3.88777663652227e-05,-4.96472183751928e-05,0,1,0,1
0.955,0.523598775598299,0.52671609059206,-0.0301552139173964,0.000553418670528184,0.528461419844055,0.528461419844055,-0.00486264424575589,-0.0017778649492761,-0.0017778649492761,0,0,0,0,0.1,0.01,0.01,0.00174532925199433,0,1,0,0,0,1,956,0,0,0,0,0,0,-0.0017993118377394,3.88614824291551e-05,-5.39825857450715e-05,0,1,0,1
0.956,0.523598775598299,0.526686091834197,-0.0298435551508046,0.000539739307240312,0.528431421086191,0.528431421086191,-0.00483264548789231,-0.00176889271109503,-0.00176889271109503,0,0,0,0,0.1,0.01,0.01,0.00174532925199433,0,1,0,0,0,1,957,0,0,0,0,0,0,-0.00180346198746306,3.85994074567821e-05,-5.813273546873e-05,0,1,0,1
0.957,0.523598775598299,0.526656401003462,-0.0295393367996548,0.00052630678871647,0.528401730255457,0.528401730255457,-0.00480295465715774,-0.00176019248418981,-0.00176019248418981,0,0,0,0,0.1,0.01,0.01,0.00174532925199433,0,1,0,0,0,1,958,0,0,0,0,0,0,-0.00180743383190118,3.8108783316811e-05,-6.2104579906852e-05,0,1,0,1
0.958,0.523598775598299,0.526627010728497,-0.0292424201779739,0.000513127799380557,0.528372339980492,0.528372339980492,-0.0047735643821929,-0.0017517474434364,-0.0017517474434364,0,0,0,0,0.1,0.01,0.01,0.00174532925199433,0,1,0,0,0,1,959,0,0,0,0,0,0,-0.00181123414872275,3.74062628399237e-05,-6.59048967284193e-05,0,1,0,1
0.959,0.523598775598299,0.52659791377829,-0.0289526633463825,0.000500208250323918,0.528343243030285,0.528343243030285,-0.00474446743198587,-0.0017435413488821,-0.0017435413488821,0,0,0,0,0.1,0.01,0.01,0.00174532925199433,0,1,0,0,0,1,960,0,0,0,0,0,0,-0.0018148695774387,3.65079140454035e-05,-6.95403254443727e-05,0,1,0,1
0.96,0.523598775598299,0.526569103065225,-0.0286699215179824,0.000487553311136633,0.528314432317219,0.528314432317219,-0.0047156567189206,-0.00173555854076594,-0.00173555854076594,0,0,0,0,0.1,0.01,0.01,0.00174532925199433,0,1,0,0,0,1,961,0,0,0,0,0,0,-0.0018183466163505,3.5429225122726e-05,-7.30173643561649e-05,0,1,0,1
0.961,0.523598775598299,0.526540571647734,-0.0283940474471129,0.000475167441265901,0.528285900899728,0.528285900899728,-0.00468712530142923,-0.00172778393383761,-0.00172778393383761,0,0,0,0,0.1,0.01,0.01,0.00174532925199433,0,1,0,0,0,1,962,0,0,0,0,0,0,-0.00182167161989555,3.41851101169754e-05,-7.63423679012165e-05,0,1,0,1
0.962,0.523598775598299,0.526512312732568,-0.028124891801251,0.000463054420873038,0.528257641984562,0.528257641984562,-0.00465886638626312,-0.00172020301101675,-0.00172020301101675,0,0,0,0,0.1,0.01,0.01,0.00174532925199433,0,1,0,0,0,1,963,0,0,0,0,0,0,-0.00182485079637318,3.27899152718081e-05,-7.95215443788466e-05,0,1,0,1
0.963,0.523598775598299,0.526484319676705,-0.0278623035163388,0.000451217381165221,0.528229648928699,0.528229648928699,-0.00463087333040058,-0.00171280181644215,-0.00171280181644215,0,0,0,0,0.1,0.01,0.01,0.00174532925199433,0,1,0,0,0,1,964,0,0,0,0,0,0,-0.00182789020603424,3.12574259835972e-05,-8.25609540399119e-05,0,1,0,1
0.964,0.523598775598299,0.526456585988912,-0.0276061301358379,0.000439658834178949,0.528201915240907,0.528201915240907,-0.00460313964260783,-0.00170556694795624,-0.00170556694795624,0,0,0,0,0.1,0.01,0.01,0.00174532925199433,0,1,0,0,0,1,965,0,0,0,0,0,0,-0.00183079575951728,2.96008743197289e-05,-8.54665075229466e-05,0,1,0,1
0.965,0.523598775598299,0.526429105330973,-0.0273562181338195,0.000428380701994257,0.528174434582968,0.528174434582968,-0.00457565898466883,-0.0016984855490666,-0.0016984855490666,0,0,0,0,0.1,0.01,0.01,0.00174532925199433,0,1,0,0,0,1,966,0,0,0,0,0,0,-0.0018335732166157,2.78329470597555e-05,-8.82439646213706e-05,0,1,0,1
0.966,0.523598775598299,0.526401871518603,-0.0271124132224112,0.000417384345361508,0.528147200770598,0.528147200770598,-0.00454842517229881,-0.00169154530042422,-0.00169154530042422,0,0,0,0,0.1,0.01,0.01,0.00174532925199433,0,1,0,0,0,1,967,0,0,0,0,0,0,-0.00183622818536078,2.59657942186728e-05,-9.08989333664456e-05,0,1,0,1
0.967,0.523598775598299,0.526374878522064,-0.0268745606439269,0.000406670591725099,0.528120207774059,0.528120207774059,-0.00452143217575995,-0.00168473441086621,-0.00168473441086621,0,0,0,0,0.1,0.01,0.01,0.00174532925199433,0,1,0,0,0,1,968,0,0,0,0,0,0,-0.00183876612140399,2.40110380097889e-05,-9.34368694096577e-05,0,1,0,1
0.968,0.523598775598299,0.526348120466495,-0.0266425054480194,0.000396239762627743,0.528093449718489,0.528093449718489,-0.00449467412019044,-0.00167804160805191,-0.00167804160805191,0,0,0,0,0.1,0.01,0.01,0.00174532925199433,0,1,0,0,0,1,969,0,0,0,0,0,0,-0.00184119232768398,2.19797822088204e-05,-9.58630756896506e-05,0,1,0,1
0.969,0.523598775598299,0.52632159163197,-0.0264160927541978,0.000386091700484639,0.528066920883964,0.528066920883964,-0.00446814528566541,-0.00167145612873973,-0.00167145612873973,0,0,0,0,0.1,0.01,0.01,0.00174532925199433,0,1,0,0,0,1,970,0,0,0,0,0,0,-0.00184351195436239,1.98826218795554e-05,-9.81827023680548e-05,0,1,0,1
0.97,0.523598775598299,0.526295286453306,-0.0261951680000594,0.000376225794714751,0.5280406157053,0.5280406157053,-0.00444184010700122,-0.00166496770873262,-0.00166496770873262,0,0,0,0,0.1,0.01,0.01,0.00174532925199433,0,1,0,0,0,1,971,0,0,0,0,0,0,-0.00184572999901722,1.77296534333449e-05,-0.000100400747022888,0,1,0,1
0.971,0.523598775598299,0.526269199519624,-0.0259795771755925,0.000366641007221344,0.528014528771618,0.528014528771618,-0.00441575317331955,-0.00165856657253348,-0.00165856657253348,0,0,0,0,0.1,0.01,0.01,0.00174532925199433,0,1,0,0,0,1,972,0,0,0,0,0,0,-0.00184785130707421,1.55304849727648e-05,-0.000102522055079879,0,1,0,1
0.972,0.523598775598299,0.526243325573688,-0.0257691670439084,0.00035733589721292,0.527988654825682,0.527988654825682,-0.00438987922738332,-0.00165224342273868,-0.00165224342273868,0,0,0,0,0.1,0.01,0.01,0.00174532925199433,0,1,0,0,0,1,973,0,0,0,0,0,0,-0.00184988057246882,1.32942469038104e-05,-0.000104551320474489,0,1,0,1
0.973,0.523598775598299,0.526217659511023,-0.0255637853487652,0.000348308645359254,0.527962988763017,0.527962988763017,-0.00436421316471847,-0.00164598942920399,-0.00164598942920399,0,0,0,0,0.1,0.01,0.01,0.00174532925199433,0,1,0,0,0,1,974,0,0,0,0,0,0,-0.00185182233851999,1.10296027695852e-05,-0.000106493086525661,0,1,0,1
0.974,0.523598775598299,0.52619219637884,-0.0253632810092494,0.000339557077277669,0.527937525630834,0.527937525630834,-0.00433875003253548,-0.00163979621801541,-0.00163979621801541,0,0,0,0,0.1,0.01,0.01,0.00174532925199433,0,1,0,0,0,1,975,0,0,0,0,0,0,-0.00185368099900607,8.74476028418607e-06,-0.000108351747011737,0,1,0,1
0.975,0.523598775598299,0.526166931374766,-0.025167504301982,0.000331078686345483,0.52791226062676,0.52791226062676,-0.00431348502846141,-0.00163365586028912,-0.00163365586028912,0,0,0,0,0.1,0.01,0.01,0.00174532925199433,0,1,0,0,0,1,976,0,0,0,0,0,0,-0.00185546079942833,6.44748253251018e-06,-0.000110131547434,0,1,0,1
0.976,0.523598775598299,0.526141859845401,-0.0249763070312179,0.000322870655837794,0.527887189097395,0.527887189097395,-0.00428841349909648,-0.00162756086083335,-0.00162756086083335,0,0,0,0,0.1,0.01,0.01,0.00174532925199433,0,1,0,0,0,1,977,0,0,0,0,0,0,-0.00185716583845164,4.1450993127079e-06,-0.000111836586457303,0,1,0,1
0.977,0.523598775598299,0.526116977284711,-0.0247895426872064,0.000314929880389026,0.527862306536705,0.527862306536705,-0.00426353093840648,-0.00162150414669705,-0.00162150414669705,0,0,0,0,0.1,0.01,0.01,0.00174532925199433,0,1,0,0,0,1,978,0,0,0,0,0,0,-0.00185880006950812,1.84451858894347e-06,-0.000113470817513783,0,1,0,1
0.978,0.523598775598299,0.526092279332266,-0.0246070665931833,0.000307252986778734,0.527837608584261,0.527837608584261,-0.00423883298596195,-0.00161547905562916,-0.00161547905562916,0,0,0,0,0.1,0.01,0.01,0.00174532925199433,0,1,0,0,0,1,979,0,0,0,0,0,0,-0.00186036730255423,-4.47761966056864e-07,-0.000115038050559901,0,1,0,1
0.979,0.523598775598299,0.526067761771341,-0.0244287360413604,0.000299836354043771,0.527813091023336,0.527813091023336,-0.00421431542503692,-0.00160947932447701,-0.00160947932447701,0,0,0,0,0.1,0.01,0.01,0.00174532925199433,0,1,0,0,0,1,980,0,0,0,0,0,0,-0.00186187120596826,-2.72564336752969e-06,-0.000116541953973925,0,1,0,1
0.98,0.523598775598299,0.52604342052688,-0.0242544104182802,0.000292676132918383,0.527788749778874,0.527788749778874,-0.00418997418057565,-0.00160349907754042,-0.00160349907754042,0,0,0,0,0.1,0.01,0.01,0.00174532925199433,0,1,0,0,0,1,981,0,0,0,0,0,0,-0.0018633153085803,-4.98341366930027e-06,-0.000117986056585972,0,1,0,1
0.981,0.523598775598299,0.526019251663345,-0.0240839513199,0.000285768264607231,0.527764580915339,0.527764580915339,-0.00416580531704047,-0.00159753281491048,-0.00159753281491048,0,0,0,0,0.1,0.01,0.01,0.00174532925199433,0,1,0,0,0,1,982,0,0,0,0,0,0,-0.00186470300181973,-7.2157363031778e-06,-0.000119373749825402,0,1,0,1
0.982,0.523598775598299,0.525995251382453,-0.0239172226567674,0.000279108498894465,0.527740580634448,0.527740580634448,-0.0041418050361488,-0.0015915754008083,-0.0015915754008083,0,0,0,0,0.1,0.01,0.01,0.00174532925199433,0,1,0,0,0,1,983,0,0,0,0,0,0,-0.00186603754197545,-9.41763841258263e-06,-0.00012070828998112,0,1,0,1
0.983,0.523598775598299,0.525971416020814,-0.0237540907496464,0.000272692411595076,0.527716745272809,0.527716745272809,-0.00411796967450972,-0.00158562205194489,-0.00158562205194489,0,0,0,0,0.1,0.01,0.01,0.00174532925199433,0,1,0,0,0,1,984,0,0,0,0,0,0,-0.00186732205255435,-1.15844992135128e-05,-0.000121992800560022,0,1,0,1
0.984,0.523598775598299,0.525947742047475,-0.0235944244159501,0.000266515421354744,0.527693071299469,0.527693071299469,-0.00409429570117026,-0.00157966832592289,-0.00157966832592289,0,0,0,0,0.1,0.01,0.01,0.00174532925199433,0,1,0,0,0,1,985,0,0,0,0,0,0,-0.00186855952673171,-1.37120383927984e-05,-0.000123230274737374,0,1,0,1
0.985,0.523598775598299,0.525924226061383,-0.0234380950473323,0.000260572805804446,0.527669555313378,0.527669555313378,-0.00407077971507896,-0.00157371010969365,-0.00157371010969365,0,0,0,0,0.1,0.01,0.01,0.00174532925199433,0,1,0,0,0,1,986,0,0,0,0,0,0,-0.00186975282988366,-1.57963045630694e-05,-0.000124423577889332,0,1,0,1
0.986,0.523598775598299,0.525900864788781,-0.0232849766787856,0.000254859717078321,0.527646194040775,0.527646194040775,-0.00404741844247636,-0.00156774360808823,-0.00156774360808823,0,0,0,0,0.1,0.01,0.01,0.00174532925199433,0,1,0,0,0,1,987,0,0,0,0,0,0,-0.00187090470219231,-1.78336637934699e-05,-0.000125575450197979,0,1,0,1
0.987,0.523598775598299,0.525877655080525,-0.0231349460495889,0.000249371196702876,0.527622984332519,0.527622984332519,-0.0040242087342206,-0.00156176533243816,-0.00156176533243816,0,0,0,0,0.1,0.01,0.01,0.00174532925199433,0,1,0,0,0,1,988,0,0,0,0,0,0,-0.00187201776131618,-1.982078822786e-05,-0.000126688509321848,0,1,0,1
0.988,0.523598775598299,0.52585459390936,-0.0229878826564445,0.000244102189866242,0.527599923161355,0.527599923161355,-0.00400114756305592,-0.00155577208929866,-0.00155577208929866,0,0,0,0,0.1,0.01,0.01,0.00174532925199433,0,1,0,0,0,1,989,0,0,0,0,0,0,-0.00187309450511775,-2.17546448063877e-05,-0.000127765253123413,0,1,0,1
0.989,0.523598775598299,0.525831678367136,-0.022843668799136,0.000239047559077285,0.527577007619131,0.527577007619131,-0.00397823202083181,-0.00154976096928912,-0.00154976096928912,0,0,0,0,0.1,0.01,0.01,0.00174532925199433,0,1,0,0,0,1,990,0,0,0,0,0,0,-0.00187413731444019,-2.36324841039123e-05,-0.000128808062445862,0,1,0,1
0.99,0.523598775598299,0.525808905661984,-0.0227021896190368,0.000234202097224407,0.527554234913979,0.527554234913979,-0.00395545931567987,-0.0015437293360618,-0.0015437293360618,0,0,0,0,0.1,0.01,0.01,0.00174532925199433,0,1,0,0,0,1,991,0,0,0,0,0,0,-0.00187514845592596,-2.54518292983879e-05,-0.000129819203931625,0,1,0,1
0.991,0.523598775598299,0.525786273115461,-0.0225633331307904,0.000229560540044854,0.527531602367455,0.527531602367455,-0.00393282676915629,-0.00153767481541331,-0.00153767481541331,0,0,0,0,0.1,0.01,0.01,0.00174532925199433,0,1,0,0,0,1,992,0,0,0,0,0,0,-0.00187613008487031,-2.72104652798422e-05,-0.000130800832875977,0,1,0,1
0.992,0.523598775598299,0.52576377815966,-0.0224269902474784,0.000225117578014732,0.527509107411654,0.527509107411654,-0.00391033181335521,-0.00153159528454542,-0.00153159528454542,0,0,0,0,0.1,0.01,0.01,0.00174532925199433,0,1,0,0,0,1,993,0,0,0,0,0,0,-0.00187708424810351,-2.89064279104852e-05,-0.000131754996109179,0,1,0,1
0.993,0.523598775598299,0.525741418334305,-0.0222930547995881,0.000220867867671877,0.527486747586299,0.527486747586299,-0.00388797198800006,-0.00152548886148771,-0.00152548886148771,0,0,0,0,0.1,0.01,0.01,0.00174532925199433,0,1,0,0,0,1,994,0,0,0,0,0,0,-0.0018780128868956,-3.0537993444409e-05,-0.000132683634901265,0,1,0,1
