time_s,reference_rad,position_rad,velocity_rad_s,current_A,sensor_side_measurement_rad,received_measurement_rad,tracking_error_rad,command_V,unsaturated_command_V,capacitive_current_A,capacitive_voltage_V,inductive_voltage_V,shared_impedance_voltage_V,ground_common_mode_voltage_V,ground_differential_voltage_V,receiver_differential_voltage_V,equivalent_encoder_error_rad,physical_source_window_active,ground_window_active,communication_channel_enabled,transmit_delay_samples,packet_dropped,sample_received,accepted_source_index,accepted_delay_samples,held_last,measurement_age_samples,measurement_age_s,collision_discard_count,out_of_order_discard_count,delta_position_rad,delta_command_V,delta_received_measurement_rad,pre_window_active,analysis_window_active,post_window_active,configured_fault_window_active
1.2,0.523598775598299,0.524912840812631,-0.00705893038509687,5.38259390110211e-05,0.524912840812631,0.524912840812631,-0.00131406521433208,-0.000498707466788285,-0.000498707466788285,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1201,0,0,0,0,0,0,2.40217878888505e-06,2.0973417894565e-07,2.40217878888505e-06,0,0,1,0
1.201,0.523598775598299,0.524905798608254,-0.00702548365750705,5.38167601490492e-05,0.524905798608254,0.524905798608254,-0.00130702300995522,-0.000496054605725643,-0.000496054605725643,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1202,0,0,0,0,0,0,2.53799210425676e-06,1.70374371776059e-07,2.53799210425676e-06,0,0,1,0
1.202,0.523598775598299,0.524898789836654,-0.00699206512853059,5.38041959560528e-05,0.524898789836654,0.524898789836654,-0.00130001423835469,-0.000493408863178469,-0.000493408863178469,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1203,0,0,0,0,0,0,2.66871074006136e-06,1.38017943724852e-07,2.66871074006136e-06,0,0,1,0
1.203,0.523598775598299,0.524891814468713,-0.00695867665283799,5.37880174086134e-05,0.524891814468713,0.524891814468713,-0.00129303887041465,-0.000490770602932886,-0.000490770602932886,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1204,0,0,0,0,0,0,2.79450587203911e-06,1.12230581180046e-07,2.79450587203911e-06,0,0,1,0
1.204,0.523598775598299,0.524884872473405,-0.00692532020023708,5.37680159612718e-05,0.524884872473405,0.524884872473405,-0.00128609687510595,-0.000488140175351549,-0.000488140175351549,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1205,0,0,0,0,0,0,2.91554577880326e-06,9.25917134427141e-08,2.91554577880326e-06,0,0,1,0
1.205,0.523598775598299,0.524877963817675,-0.00689199784488325,5.37440027816036e-05,0.524877963817675,0.524877963817675,-0.00127918821937656,-0.000485517917421305,-0.000485517917421305,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1206,0,0,0,0,0,0,3.03199573603585e-06,7.8694465683888e-08,3.03199573603585e-06,0,0,1,0
1.206,0.523598775598299,0.524871088466351,-0.00685871175490302,5.37158079932224e-05,0.524871088466351,0.524871088466351,-0.00127231286805252,-0.000482904152820513,-0.000482904152820513,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1207,0,0,0,0,0,0,3.14401792222974e-06,7.01455888912211e-08,3.14401792222974e-06,0,0,1,0
1.207,0.523598775598299,0.524864246382048,-0.00682546418242606,5.36832799278783e-05,0.524864246382048,0.524864246382048,-0.00126547078374906,-0.000480299192005947,-0.000480299192005947,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1208,0,0,0,0,0,0,3.25177133375654e-06,6.65653729068662e-08,3.25177133375654e-06,0,0,1,0
1.208,0.523598775598299,0.52485743752509,-0.00679225745402036,5.36462843872752e-05,0.52485743752509,0.52485743752509,-0.00125866192679125,-0.000477703332316784,-0.000477703332316784,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1209,0,0,0,0,0,0,3.35541170992659e-06,6.75875408352906e-08,3.35541170992659e-06,0,0,1,0
1.209,0.523598775598299,0.524850661853443,-0.00675909396152487,5.36047039156418e-05,0.524850661853443,0.524850661853443,-0.00125188625514394,-0.000475116858095306,-0.000475116858095306,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1210,0,0,0,0,0,0,3.45509146715273e-06,7.28591273055877e-08,3.45509146715273e-06,0,0,1,0
1.21,0.523598775598299,0.52484391932265,-0.00672597615327331,5.35584370836612e-05,0.52484391932265,0.52484391932265,-0.00124514372435147,-0.000472540040825476,-0.000472540040825476,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1211,0,0,0,0,0,0,3.55095964299501e-06,8.20403385222261e-08,3.55095964299501e-06,0,0,1,0
