Record,Fixture,Variant,Arm,Kind,Elapsed_s,Status,Error
V2DEV01_V08_COMBINED_exposed,V2DEV01,V08,COMBINED,exposed,10.232425,passed,
V2DEV02_V08_BASELINE_clean,V2DEV02,V08,BASELINE,clean,5.9396942,passed,
V2DEV02_V08_BASELINE_exposed,V2DEV02,V08,BASELINE,exposed,8.8321582,passed,
V2DEV02_V08_EM_ONLY_clean,V2DEV02,V08,EM_ONLY,clean,5.7844565,passed,
V2DEV02_V08_EM_ONLY_exposed,V2DEV02,V08,EM_ONLY,exposed,8.4435568,passed,
V2DEV02_V08_SW_ONLY_clean,V2DEV02,V08,SW_ONLY,clean,7.8484028,passed,
V2DEV02_V08_SW_ONLY_exposed,V2DEV02,V08,SW_ONLY,exposed,10.1480289,passed,
V2DEV02_V08_COMBINED_clean,V2DEV02,V08,COMBINED,clean,7.8164063,passed,
V2DEV02_V08_COMBINED_exposed,V2DEV02,V08,COMBINED,exposed,10.5353926,passed,
V2DEV01_V09_BASELINE_clean,V2DEV01,V09,BASELINE,clean,7.0757936,passed,
V2DEV01_V09_BASELINE_exposed,V2DEV01,V09,BASELINE,exposed,8.8306283,passed,
V2DEV01_V09_EM_ONLY_clean,V2DEV01,V09,EM_ONLY,clean,6.069424,passed,
V2DEV01_V09_EM_ONLY_exposed,V2DEV01,V09,EM_ONLY,exposed,6.9612706,passed,
V2DEV01_V09_SW_ONLY_clean,V2DEV01,V09,SW_ONLY,clean,4.8276251,passed,
V2DEV01_V09_SW_ONLY_exposed,V2DEV01,V09,SW_ONLY,exposed,6.7240688,passed,
V2DEV01_V09_COMBINED_clean,V2DEV01,V09,COMBINED,clean,4.6429708,passed,
V2DEV01_V09_COMBINED_exposed,V2DEV01,V09,COMBINED,exposed,7.3544423,passed,
V2DEV02_V09_BASELINE_clean,V2DEV02,V09,BASELINE,clean,4.1984323,passed,
V2DEV02_V09_BASELINE_exposed,V2DEV02,V09,BASELINE,exposed,6.1502005,passed,
V2DEV02_V09_EM_ONLY_clean,V2DEV02,V09,EM_ONLY,clean,4.2012242,passed,
V2DEV02_V09_EM_ONLY_exposed,V2DEV02,V09,EM_ONLY,exposed,6.297917,passed,
V2DEV02_V09_SW_ONLY_clean,V2DEV02,V09,SW_ONLY,clean,4.9301879,passed,
V2DEV02_V09_SW_ONLY_exposed,V2DEV02,V09,SW_ONLY,exposed,9.0912785,passed,
V2DEV02_V09_COMBINED_clean,V2DEV02,V09,COMBINED,clean,6.7806197,passed,
V2DEV02_V09_COMBINED_exposed,V2DEV02,V09,COMBINED,exposed,9.2020142,passed,
V2DEV01_V10_BASELINE_clean,V2DEV01,V10,BASELINE,clean,6.7748972,passed,
V2DEV01_V10_BASELINE_exposed,V2DEV01,V10,BASELINE,exposed,8.9769462,passed,
V2DEV01_V10_EM_ONLY_clean,V2DEV01,V10,EM_ONLY,clean,6.1745722,passed,
V2DEV01_V10_EM_ONLY_exposed,V2DEV01,V10,EM_ONLY,exposed,6.8155259,passed,
