Record,Fixture,Variant,Arm,Kind,Elapsed_s,Status,Error
V2EVAL10_V01_SW_ONLY_clean,V2EVAL10,V01,SW_ONLY,clean,9.4125395,passed,
V2EVAL10_V01_SW_ONLY_exposed,V2EVAL10,V01,SW_ONLY,exposed,12.9764476,passed,
V2EVAL10_V01_COMBINED_clean,V2EVAL10,V01,COMBINED,clean,9.6855569,passed,
V2EVAL10_V01_COMBINED_exposed,V2EVAL10,V01,COMBINED,exposed,12.8383064,passed,
V2EVAL11_V01_BASELINE_clean,V2EVAL11,V01,BASELINE,clean,7.7812217,passed,
V2EVAL11_V01_BASELINE_exposed,V2EVAL11,V01,BASELINE,exposed,11.5023532,passed,
V2EVAL11_V01_EM_ONLY_clean,V2EVAL11,V01,EM_ONLY,clean,7.2565405,passed,
V2EVAL11_V01_EM_ONLY_exposed,V2EVAL11,V01,EM_ONLY,exposed,11.7326283,passed,
V2EVAL11_V01_SW_ONLY_clean,V2EVAL11,V01,SW_ONLY,clean,9.0243241,passed,
V2EVAL11_V01_SW_ONLY_exposed,V2EVAL11,V01,SW_ONLY,exposed,11.867188,passed,
V2EVAL11_V01_COMBINED_clean,V2EVAL11,V01,COMBINED,clean,7.7104849,passed,
V2EVAL11_V01_COMBINED_exposed,V2EVAL11,V01,COMBINED,exposed,11.7102576,passed,
V2EVAL12_V01_BASELINE_clean,V2EVAL12,V01,BASELINE,clean,7.5055585,passed,
V2EVAL12_V01_BASELINE_exposed,V2EVAL12,V01,BASELINE,exposed,11.2688423,passed,
V2EVAL12_V01_EM_ONLY_clean,V2EVAL12,V01,EM_ONLY,clean,7.5012695,passed,
V2EVAL12_V01_EM_ONLY_exposed,V2EVAL12,V01,EM_ONLY,exposed,11.2787663,passed,
V2EVAL12_V01_SW_ONLY_clean,V2EVAL12,V01,SW_ONLY,clean,9.1892484,passed,
V2EVAL12_V01_SW_ONLY_exposed,V2EVAL12,V01,SW_ONLY,exposed,12.1248629,passed,
V2EVAL12_V01_COMBINED_clean,V2EVAL12,V01,COMBINED,clean,9.0961312,passed,
V2EVAL12_V01_COMBINED_exposed,V2EVAL12,V01,COMBINED,exposed,10.88183,passed,
V2EVAL01_V02_BASELINE_clean,V2EVAL01,V02,BASELINE,clean,15.1745933,passed,
V2EVAL01_V02_BASELINE_exposed,V2EVAL01,V02,BASELINE,exposed,18.0466764,passed,
V2EVAL01_V02_EM_ONLY_clean,V2EVAL01,V02,EM_ONLY,clean,11.7300026,passed,
V2EVAL01_V02_EM_ONLY_exposed,V2EVAL01,V02,EM_ONLY,exposed,15.3287129,passed,
V2EVAL01_V02_SW_ONLY_clean,V2EVAL01,V02,SW_ONLY,clean,13.7824712,passed,
V2EVAL01_V02_SW_ONLY_exposed,V2EVAL01,V02,SW_ONLY,exposed,15.8165795,passed,
V2EVAL01_V02_COMBINED_clean,V2EVAL01,V02,COMBINED,clean,11.7349936,passed,
V2EVAL01_V02_COMBINED_exposed,V2EVAL01,V02,COMBINED,exposed,15.2618433,passed,
V2EVAL02_V02_BASELINE_clean,V2EVAL02,V02,BASELINE,clean,8.6839794,passed,
V2EVAL02_V02_BASELINE_exposed,V2EVAL02,V02,BASELINE,exposed,13.8591751,passed,
V2EVAL02_V02_EM_ONLY_clean,V2EVAL02,V02,EM_ONLY,clean,9.5849395,passed,
V2EVAL02_V02_EM_ONLY_exposed,V2EVAL02,V02,EM_ONLY,exposed,13.1830952,passed,
V2EVAL02_V02_SW_ONLY_clean,V2EVAL02,V02,SW_ONLY,clean,10.6741727,passed,
V2EVAL02_V02_SW_ONLY_exposed,V2EVAL02,V02,SW_ONLY,exposed,13.2517002,passed,
V2EVAL02_V02_COMBINED_clean,V2EVAL02,V02,COMBINED,clean,10.3725643,passed,
V2EVAL02_V02_COMBINED_exposed,V2EVAL02,V02,COMBINED,exposed,14.8659016,passed,
V2EVAL03_V02_BASELINE_clean,V2EVAL03,V02,BASELINE,clean,7.9361143,passed,
V2EVAL03_V02_BASELINE_exposed,V2EVAL03,V02,BASELINE,exposed,11.3269301,passed,
V2EVAL03_V02_EM_ONLY_clean,V2EVAL03,V02,EM_ONLY,clean,7.8505863,passed,
V2EVAL03_V02_EM_ONLY_exposed,V2EVAL03,V02,EM_ONLY,exposed,12.681346,passed,
V2EVAL03_V02_SW_ONLY_clean,V2EVAL03,V02,SW_ONLY,clean,10.1755937,passed,
V2EVAL03_V02_SW_ONLY_exposed,V2EVAL03,V02,SW_ONLY,exposed,13.6963459,passed,
V2EVAL03_V02_COMBINED_clean,V2EVAL03,V02,COMBINED,clean,9.4485474,passed,
V2EVAL03_V02_COMBINED_exposed,V2EVAL03,V02,COMBINED,exposed,12.4994057,passed,
V2EVAL04_V02_BASELINE_clean,V2EVAL04,V02,BASELINE,clean,7.8843468,passed,
V2EVAL04_V02_BASELINE_exposed,V2EVAL04,V02,BASELINE,exposed,11.3609283,passed,
V2EVAL04_V02_EM_ONLY_clean,V2EVAL04,V02,EM_ONLY,clean,7.6652334,passed,
V2EVAL04_V02_EM_ONLY_exposed,V2EVAL04,V02,EM_ONLY,exposed,12.0459962,passed,
V2EVAL04_V02_SW_ONLY_clean,V2EVAL04,V02,SW_ONLY,clean,10.4872501,passed,
V2EVAL04_V02_SW_ONLY_exposed,V2EVAL04,V02,SW_ONLY,exposed,11.4454471,passed,
V2EVAL04_V02_COMBINED_clean,V2EVAL04,V02,COMBINED,clean,10.2123253,passed,
V2EVAL04_V02_COMBINED_exposed,V2EVAL04,V02,COMBINED,exposed,13.0386912,passed,
V2EVAL05_V02_BASELINE_clean,V2EVAL05,V02,BASELINE,clean,7.7270143,passed,
V2EVAL05_V02_BASELINE_exposed,V2EVAL05,V02,BASELINE,exposed,10.8427391,passed,
V2EVAL05_V02_EM_ONLY_clean,V2EVAL05,V02,EM_ONLY,clean,7.3421594,passed,
V2EVAL05_V02_EM_ONLY_exposed,V2EVAL05,V02,EM_ONLY,exposed,10.76091,passed,
V2EVAL05_V02_SW_ONLY_clean,V2EVAL05,V02,SW_ONLY,clean,11.0329399,passed,
V2EVAL05_V02_SW_ONLY_exposed,V2EVAL05,V02,SW_ONLY,exposed,12.9066038,passed,
V2EVAL05_V02_COMBINED_clean,V2EVAL05,V02,COMBINED,clean,10.2111618,passed,
V2EVAL05_V02_COMBINED_exposed,V2EVAL05,V02,COMBINED,exposed,12.5614968,passed,
V2EVAL06_V02_BASELINE_clean,V2EVAL06,V02,BASELINE,clean,8.4697557,passed,
V2EVAL06_V02_BASELINE_exposed,V2EVAL06,V02,BASELINE,exposed,11.4728618,passed,
V2EVAL06_V02_EM_ONLY_clean,V2EVAL06,V02,EM_ONLY,clean,8.02958,passed,
V2EVAL06_V02_EM_ONLY_exposed,V2EVAL06,V02,EM_ONLY,exposed,11.5985798,passed,
V2EVAL06_V02_SW_ONLY_clean,V2EVAL06,V02,SW_ONLY,clean,10.0424194,passed,
V2EVAL06_V02_SW_ONLY_exposed,V2EVAL06,V02,SW_ONLY,exposed,13.2613216,passed,
V2EVAL06_V02_COMBINED_clean,V2EVAL06,V02,COMBINED,clean,10.2729119,passed,
V2EVAL06_V02_COMBINED_exposed,V2EVAL06,V02,COMBINED,exposed,13.6552981,passed,
V2EVAL07_V02_BASELINE_clean,V2EVAL07,V02,BASELINE,clean,7.4452999,passed,
V2EVAL07_V02_BASELINE_exposed,V2EVAL07,V02,BASELINE,exposed,10.4862647,passed,
V2EVAL07_V02_EM_ONLY_clean,V2EVAL07,V02,EM_ONLY,clean,6.9852762,passed,
V2EVAL07_V02_EM_ONLY_exposed,V2EVAL07,V02,EM_ONLY,exposed,10.4745636,passed,
V2EVAL07_V02_SW_ONLY_clean,V2EVAL07,V02,SW_ONLY,clean,9.1869608,passed,
V2EVAL07_V02_SW_ONLY_exposed,V2EVAL07,V02,SW_ONLY,exposed,12.2333676,passed,
V2EVAL07_V02_COMBINED_clean,V2EVAL07,V02,COMBINED,clean,9.3335795,passed,
V2EVAL07_V02_COMBINED_exposed,V2EVAL07,V02,COMBINED,exposed,11.8158394,passed,
V2EVAL08_V02_BASELINE_clean,V2EVAL08,V02,BASELINE,clean,6.9815743,passed,
V2EVAL08_V02_BASELINE_exposed,V2EVAL08,V02,BASELINE,exposed,10.5414211,passed,
V2EVAL08_V02_EM_ONLY_clean,V2EVAL08,V02,EM_ONLY,clean,7.3955537,passed,
