Case,Variant,CoarseStep_ns,FineStep_ns,VoltageError_V,DifferentialError_V,ThresholdSequenceExact,ThresholdTimeError_ns,ComparatorSequenceExact,ComparatorTimeError_ns,OutputSequenceExact,OutputTimeError_ns,DecoderSequenceExact,DecoderTimeError_ns,VirtualCountsExact,Pass
Cd100_Ccp40_Ccn7_A0,narrow_hysteresis_assumption_40ns_inertial,0.25,0.125,6.55070468091878e-07,1.26357354801598e-07,1,2.54140800878865e-07,1,2.71355474982388e-08,1,2.71355474982388e-08,1,2.71355474982388e-08,1,1
Cd100_Ccp40_Ccn7_A1,typical_illustration_25ns_transport,0.5,0.25,1.05735092770232e-06,2.00683942352953e-07,1,4.43379396240264e-09,1,2.7875854294139e-09,1,2.7875854294139e-09,1,2.7875854294139e-09,1,1
Cd100_Ccp40_Ccn7_A1,typical_illustration_25ns_inertial,0.5,0.25,1.05735092770232e-06,2.00683942352953e-07,1,4.43379396240264e-09,1,2.7875854294139e-09,1,2.7875854294139e-09,1,2.7875854294139e-09,1,1
Cd100_Ccp40_Ccn7_A1,typical_illustration_40ns_transport,0.5,0.25,1.05735092770232e-06,2.00683942352953e-07,1,4.43379396240264e-09,1,2.7875854294139e-09,1,2.7875854294139e-09,1,2.7875854294139e-09,1,1
Cd100_Ccp40_Ccn7_A1,typical_illustration_40ns_inertial,0.5,0.25,1.05735092770232e-06,2.00683942352953e-07,1,4.43379396240264e-09,1,2.7875854294139e-09,1,2.7875854294139e-09,1,2.7875854294139e-09,1,1
Cd100_Ccp40_Ccn7_A1,lower_illustration_25ns_transport,0.5,0.25,1.05735092770232e-06,2.00683942352953e-07,1,2.63766059774989e-09,1,2.61013202696413e-09,1,2.61013202696413e-09,1,2.61013202696413e-09,1,1
Cd100_Ccp40_Ccn7_A1,lower_illustration_25ns_inertial,0.5,0.25,1.05735092770232e-06,2.00683942352953e-07,1,2.63766059774989e-09,1,2.61013202696413e-09,1,2.61013202696413e-09,1,2.61013202696413e-09,1,1
Cd100_Ccp40_Ccn7_A1,lower_illustration_40ns_transport,0.5,0.25,1.05735092770232e-06,2.00683942352953e-07,1,2.63766059774989e-09,1,2.61013202696413e-09,1,2.61013202696413e-09,1,2.61013202696413e-09,1,1
Cd100_Ccp40_Ccn7_A1,lower_illustration_40ns_inertial,0.5,0.25,1.05735092770232e-06,2.00683942352953e-07,1,2.63766059774989e-09,1,2.61013202696413e-09,1,2.61013202696413e-09,1,2.61013202696413e-09,1,1
Cd100_Ccp40_Ccn7_A1,upper_illustration_25ns_transport,0.5,0.25,1.05735092770232e-06,2.00683942352953e-07,1,2.29376522116465e-09,1,6.47133171702285e-10,1,6.47133171702285e-10,1,6.47133171702285e-10,1,1
Cd100_Ccp40_Ccn7_A1,upper_illustration_25ns_inertial,0.5,0.25,1.05735092770232e-06,2.00683942352953e-07,1,2.29376522116465e-09,1,6.47133171702285e-10,1,6.47133171702285e-10,1,6.47133171702285e-10,1,1
Cd100_Ccp40_Ccn7_A1,upper_illustration_40ns_transport,0.5,0.25,1.05735092770232e-06,2.00683942352953e-07,1,2.29376522116465e-09,1,6.47133171702285e-10,1,6.47133171702285e-10,1,6.47133171702285e-10,1,1
Cd100_Ccp40_Ccn7_A1,upper_illustration_40ns_inertial,0.5,0.25,1.05735092770232e-06,2.00683942352953e-07,1,2.29376522116465e-09,1,6.47133171702285e-10,1,6.47133171702285e-10,1,6.47133171702285e-10,1,1
Cd100_Ccp40_Ccn7_A1,narrow_hysteresis_assumption_25ns_transport,0.5,0.25,1.05735092770232e-06,2.00683942352953e-07,1,4.43379396240264e-09,1,1.37219337455197e-09,1,1.37219337455197e-09,1,1.37219337455197e-09,1,1
Cd100_Ccp40_Ccn7_A1,narrow_hysteresis_assumption_25ns_inertial,0.5,0.25,1.05735092770232e-06,2.00683942352953e-07,1,4.43379396240264e-09,1,1.37219337455197e-09,1,1.37219337455197e-09,1,1.37219337455197e-09,1,1
Cd100_Ccp40_Ccn7_A1,narrow_hysteresis_assumption_40ns_transport,0.5,0.25,1.05735092770232e-06,2.00683942352953e-07,1,4.43379396240264e-09,1,1.37219337455197e-09,1,1.37219337455197e-09,1,1.37219337455197e-09,1,1
Cd100_Ccp40_Ccn7_A1,narrow_hysteresis_assumption_40ns_inertial,0.5,0.25,1.05735092770232e-06,2.00683942352953e-07,1,4.43379396240264e-09,1,1.37219337455197e-09,1,1.37219337455197e-09,1,1.37219337455197e-09,1,1
Cd100_Ccp40_Ccn7_A1,typical_illustration_25ns_transport,0.25,0.125,5.18838740415362e-07,1.46796022226781e-07,1,2.20228566286118e-09,1,1.25233821251548e-09,1,1.25233821251548e-09,1,1.25233821251548e-09,1,1
Cd100_Ccp40_Ccn7_A1,typical_illustration_25ns_inertial,0.25,0.125,5.18838740415362e-07,1.46796022226781e-07,1,2.20228566286118e-09,1,1.25233821251548e-09,1,1.25233821251548e-09,1,1.25233821251548e-09,1,1
Cd100_Ccp40_Ccn7_A1,typical_illustration_40ns_transport,0.25,0.125,5.18838740415362e-07,1.46796022226781e-07,1,2.20228566286118e-09,1,1.25233821251548e-09,1,1.25233821251548e-09,1,1.25233821251548e-09,1,1
Cd100_Ccp40_Ccn7_A1,typical_illustration_40ns_inertial,0.25,0.125,5.18838740415362e-07,1.46796022226781e-07,1,2.20228566286118e-09,1,1.25233821251548e-09,1,1.25233821251548e-09,1,1.25233821251548e-09,1,1
Cd100_Ccp40_Ccn7_A1,lower_illustration_25ns_transport,0.25,0.125,5.18838740415362e-07,1.46796022226781e-07,1,1.17695228020985e-09,1,1.17695228020985e-09,1,1.17695228020985e-09,1,1.17695228020985e-09,1,1
Cd100_Ccp40_Ccn7_A1,lower_illustration_25ns_inertial,0.25,0.125,5.18838740415362e-07,1.46796022226781e-07,1,1.17695228020985e-09,1,1.17695228020985e-09,1,1.17695228020985e-09,1,1.17695228020985e-09,1,1
Cd100_Ccp40_Ccn7_A1,lower_illustration_40ns_transport,0.25,0.125,5.18838740415362e-07,1.46796022226781e-07,1,1.17695228020985e-09,1,1.17695228020985e-09,1,1.17695228020985e-09,1,1.17695228020985e-09,1,1
Cd100_Ccp40_Ccn7_A1,lower_illustration_40ns_inertial,0.25,0.125,5.18838740415362e-07,1.46796022226781e-07,1,1.17695228020985e-09,1,1.17695228020985e-09,1,1.17695228020985e-09,1,1.17695228020985e-09,1,1
Cd100_Ccp40_Ccn7_A1,upper_illustration_25ns_transport,0.25,0.125,5.18838740415362e-07,1.46796022226781e-07,1,1.14984722589771e-09,1,1.14984722589771e-09,1,1.14984722589771e-09,1,1.14984722589771e-09,1,1
Cd100_Ccp40_Ccn7_A1,upper_illustration_25ns_inertial,0.25,0.125,5.18838740415362e-07,1.46796022226781e-07,1,1.14984722589771e-09,1,1.14984722589771e-09,1,1.14984722589771e-09,1,1.14984722589771e-09,1,1
Cd100_Ccp40_Ccn7_A1,upper_illustration_40ns_transport,0.25,0.125,5.18838740415362e-07,1.46796022226781e-07,1,1.14984722589771e-09,1,1.14984722589771e-09,1,1.14984722589771e-09,1,1.14984722589771e-09,1,1
Cd100_Ccp40_Ccn7_A1,upper_illustration_40ns_inertial,0.25,0.125,5.18838740415362e-07,1.46796022226781e-07,1,1.14984722589771e-09,1,1.14984722589771e-09,1,1.14984722589771e-09,1,1.14984722589771e-09,1,1
Cd100_Ccp40_Ccn7_A1,narrow_hysteresis_assumption_25ns_transport,0.25,0.125,5.18838740415362e-07,1.46796022226781e-07,1,2.20228566286118e-09,1,1.44546172448946e-09,1,1.44546172448946e-09,1,1.44546172448946e-09,1,1
Cd100_Ccp40_Ccn7_A1,narrow_hysteresis_assumption_25ns_inertial,0.25,0.125,5.18838740415362e-07,1.46796022226781e-07,1,2.20228566286118e-09,1,1.44546172448946e-09,1,1.44546172448946e-09,1,1.44546172448946e-09,1,1
Cd100_Ccp40_Ccn7_A1,narrow_hysteresis_assumption_40ns_transport,0.25,0.125,5.18838740415362e-07,1.46796022226781e-07,1,2.20228566286118e-09,1,1.44546172448946e-09,1,1.44546172448946e-09,1,1.44546172448946e-09,1,1
Cd100_Ccp40_Ccn7_A1,narrow_hysteresis_assumption_40ns_inertial,0.25,0.125,5.18838740415362e-07,1.46796022226781e-07,1,2.20228566286118e-09,1,1.44546172448946e-09,1,1.44546172448946e-09,1,1.44546172448946e-09,1,1
Cd100_Ccp240_Ccn7_A0,typical_illustration_25ns_transport,0.5,0.25,1.30698762923487e-06,9.76878524738822e-08,1,8.69394617061814e-09,1,8.69394617061814e-09,1,8.69394617061814e-09,1,8.69394617061814e-09,1,1
Cd100_Ccp240_Ccn7_A0,typical_illustration_25ns_inertial,0.5,0.25,1.30698762923487e-06,9.76878524738822e-08,1,8.69394617061814e-09,1,8.69394617061814e-09,1,8.69394617061814e-09,1,8.69394617061814e-09,1,1
Cd100_Ccp240_Ccn7_A0,typical_illustration_40ns_transport,0.5,0.25,1.30698762923487e-06,9.76878524738822e-08,1,8.69394617061814e-09,1,8.69394617061814e-09,1,8.69394617061814e-09,1,8.69394617061814e-09,1,1
Cd100_Ccp240_Ccn7_A0,typical_illustration_40ns_inertial,0.5,0.25,1.30698762923487e-06,9.76878524738822e-08,1,8.69394617061814e-09,1,8.69394617061814e-09,1,8.69394617061814e-09,1,8.69394617061814e-09,1,1
Cd100_Ccp240_Ccn7_A0,lower_illustration_25ns_transport,0.5,0.25,1.30698762923487e-06,9.76878524738822e-08,1,1.20723370807419e-08,1,4.10853331065698e-09,1,4.10853331065698e-09,1,4.10853331065698e-09,1,1
Cd100_Ccp240_Ccn7_A0,lower_illustration_25ns_inertial,0.5,0.25,1.30698762923487e-06,9.76878524738822e-08,1,1.20723370807419e-08,1,4.10853331065698e-09,1,4.10853331065698e-09,1,4.10853331065698e-09,1,1
Cd100_Ccp240_Ccn7_A0,lower_illustration_40ns_transport,0.5,0.25,1.30698762923487e-06,9.76878524738822e-08,1,1.20723370807419e-08,1,4.10853331065698e-09,1,4.10853331065698e-09,1,4.10853331065698e-09,1,1
Cd100_Ccp240_Ccn7_A0,lower_illustration_40ns_inertial,0.5,0.25,1.30698762923487e-06,9.76878524738822e-08,1,1.20723370807419e-08,1,4.10853331065698e-09,1,4.10853331065698e-09,1,4.10853331065698e-09,1,1
Cd100_Ccp240_Ccn7_A0,upper_illustration_25ns_transport,0.5,0.25,1.30698762923487e-06,9.76878524738822e-08,1,8.36529738708347e-09,1,8.36529738708347e-09,1,8.36529738708347e-09,1,8.36529738708347e-09,1,1
Cd100_Ccp240_Ccn7_A0,upper_illustration_25ns_inertial,0.5,0.25,1.30698762923487e-06,9.76878524738822e-08,1,8.36529738708347e-09,1,8.36529738708347e-09,1,8.36529738708347e-09,1,8.36529738708347e-09,1,1
Cd100_Ccp240_Ccn7_A0,upper_illustration_40ns_transport,0.5,0.25,1.30698762923487e-06,9.76878524738822e-08,1,8.36529738708347e-09,1,8.36529738708347e-09,1,8.36529738708347e-09,1,8.36529738708347e-09,1,1
Cd100_Ccp240_Ccn7_A0,upper_illustration_40ns_inertial,0.5,0.25,1.30698762923487e-06,9.76878524738822e-08,1,8.36529738708347e-09,1,8.36529738708347e-09,1,8.36529738708347e-09,1,8.36529738708347e-09,1,1
Cd100_Ccp240_Ccn7_A0,narrow_hysteresis_assumption_25ns_transport,0.5,0.25,1.30698762923487e-06,9.76878524738822e-08,1,8.69394617061814e-09,1,8.69394617061814e-09,1,8.69394617061814e-09,1,8.69394617061814e-09,1,1
Cd100_Ccp240_Ccn7_A0,narrow_hysteresis_assumption_25ns_inertial,0.5,0.25,1.30698762923487e-06,9.76878524738822e-08,1,8.69394617061814e-09,1,8.69394617061814e-09,1,8.69394617061814e-09,1,8.69394617061814e-09,1,1
Cd100_Ccp240_Ccn7_A0,narrow_hysteresis_assumption_40ns_transport,0.5,0.25,1.30698762923487e-06,9.76878524738822e-08,1,8.69394617061814e-09,1,8.69394617061814e-09,1,8.69394617061814e-09,1,8.69394617061814e-09,1,1
