Case,Variant,MaxStep_ns,ThresholdSequenceExact,ThresholdTimeError_ns,ComparatorSequenceExact,ComparatorTimeError_ns,OutputSequenceExact,OutputTimeError_ns,DecoderSequenceExact,DecoderTimeError_ns,VirtualCountsExact,NativeDomainPass,ReferenceContinuousDomainPass,DomainAgreement,NativeStressFlag,GrazingUnresolved,Pass
Cd100_Ccp40_Ccn7_A1,typical_illustration_25ns_inertial,0.5,1,1.67723111468192e-07,1,1.67723111468192e-07,1,1.67723111468192e-07,1,1.67723111468192e-07,1,1,1,1,0,0,1
Cd100_Ccp40_Ccn7_A1,typical_illustration_40ns_transport,0.5,1,1.67723111468192e-07,1,1.67723111468192e-07,1,1.67723111468192e-07,1,1.67723111468192e-07,1,1,1,1,0,0,1
Cd100_Ccp40_Ccn7_A1,typical_illustration_40ns_inertial,0.5,1,1.67723111468192e-07,1,1.67723111468192e-07,1,1.67723111468192e-07,1,1.67723111468192e-07,1,1,1,1,0,0,1
Cd100_Ccp40_Ccn7_A1,lower_illustration_25ns_transport,0.5,1,4.72464813583082e-07,1,4.72464813583082e-07,1,4.72464813583082e-07,1,4.72464813583082e-07,1,1,1,1,0,0,1
Cd100_Ccp40_Ccn7_A1,lower_illustration_25ns_inertial,0.5,1,4.72464813583082e-07,1,4.72464813583082e-07,1,4.72464813583082e-07,1,4.72464813583082e-07,1,1,1,1,0,0,1
Cd100_Ccp40_Ccn7_A1,lower_illustration_40ns_transport,0.5,1,4.72464813583082e-07,1,4.72464813583082e-07,1,4.72464813583082e-07,1,4.72464813583082e-07,1,1,1,1,0,0,1
Cd100_Ccp40_Ccn7_A1,lower_illustration_40ns_inertial,0.5,1,4.72464813583082e-07,1,4.72464813583082e-07,1,4.72464813583082e-07,1,4.72464813583082e-07,1,1,1,1,0,0,1
Cd100_Ccp40_Ccn7_A1,upper_illustration_25ns_transport,0.5,1,2.50014056359842e-07,1,7.42487905739438e-08,1,7.42487905739438e-08,1,7.42487905739438e-08,1,1,1,1,0,0,1
Cd100_Ccp40_Ccn7_A1,upper_illustration_25ns_inertial,0.5,1,2.50014056359842e-07,1,7.42487905739438e-08,1,7.42487905739438e-08,1,7.42487905739438e-08,1,1,1,1,0,0,1
Cd100_Ccp40_Ccn7_A1,upper_illustration_40ns_transport,0.5,1,2.50014056359842e-07,1,7.42487905739438e-08,1,7.42487905739438e-08,1,7.42487905739438e-08,1,1,1,1,0,0,1
Cd100_Ccp40_Ccn7_A1,upper_illustration_40ns_inertial,0.5,1,2.50014056359842e-07,1,7.42487905739438e-08,1,7.42487905739438e-08,1,7.42487905739438e-08,1,1,1,1,0,0,1
Cd100_Ccp40_Ccn7_A1,narrow_hysteresis_assumption_25ns_transport,0.5,1,9.68556764196875e-08,1,4.99376744383245e-08,1,4.99376744383245e-08,1,4.99376744383245e-08,1,1,1,1,0,0,1
Cd100_Ccp40_Ccn7_A1,narrow_hysteresis_assumption_25ns_inertial,0.5,1,9.68556764196875e-08,1,4.99376744383245e-08,1,4.99376744383245e-08,1,4.99376744383245e-08,1,1,1,1,0,0,1
Cd100_Ccp40_Ccn7_A1,narrow_hysteresis_assumption_40ns_transport,0.5,1,9.68556764196875e-08,1,4.99376744383245e-08,1,4.99376744383245e-08,1,4.99376744383245e-08,1,1,1,1,0,0,1
Cd100_Ccp40_Ccn7_A1,narrow_hysteresis_assumption_40ns_inertial,0.5,1,9.68556764196875e-08,1,4.99376744383245e-08,1,4.99376744383245e-08,1,4.99376744383245e-08,1,1,1,1,0,0,1
Cd100_Ccp40_Ccn7_A1,typical_illustration_25ns_transport,0.25,1,1.70510696897606e-07,1,1.70510696897606e-07,1,1.70510696897606e-07,1,1.70510696897606e-07,1,1,1,1,0,0,1
Cd100_Ccp40_Ccn7_A1,typical_illustration_25ns_inertial,0.25,1,1.70510696897606e-07,1,1.70510696897606e-07,1,1.70510696897606e-07,1,1.70510696897606e-07,1,1,1,1,0,0,1
Cd100_Ccp40_Ccn7_A1,typical_illustration_40ns_transport,0.25,1,1.70510696897606e-07,1,1.70510696897606e-07,1,1.70510696897606e-07,1,1.70510696897606e-07,1,1,1,1,0,0,1
Cd100_Ccp40_Ccn7_A1,typical_illustration_40ns_inertial,0.25,1,1.70510696897606e-07,1,1.70510696897606e-07,1,1.70510696897606e-07,1,1.70510696897606e-07,1,1,1,1,0,0,1
Cd100_Ccp40_Ccn7_A1,lower_illustration_25ns_transport,0.25,1,4.75074945610046e-07,1,4.75074945610046e-07,1,4.75074945610046e-07,1,4.75074945610046e-07,1,1,1,1,0,0,1
