Record,Fixture,Variant,Arm,Closure_s,Elapsed_s,Status,Error
V2CLOS40_V12_BASELINE_return100ns,V2CLOS40,V12,BASELINE,1e-07,11.94688,passed,
V2CLOS40_V12_BASELINE_return45000ns,V2CLOS40,V12,BASELINE,4.5e-05,12.8543741,passed,
V2CLOS40_V12_EM_ONLY_return100ns,V2CLOS40,V12,EM_ONLY,1e-07,12.3678655,passed,
V2CLOS40_V12_EM_ONLY_return45000ns,V2CLOS40,V12,EM_ONLY,4.5e-05,11.5009535,passed,
V2CLOS40_V12_SW_ONLY_return100ns,V2CLOS40,V12,SW_ONLY,1e-07,14.3429607,passed,
V2CLOS40_V12_SW_ONLY_return45000ns,V2CLOS40,V12,SW_ONLY,4.5e-05,13.5575251,passed,
V2CLOS40_V12_COMBINED_return100ns,V2CLOS40,V12,COMBINED,1e-07,13.7178925,passed,
V2CLOS40_V12_COMBINED_return45000ns,V2CLOS40,V12,COMBINED,4.5e-05,13.6313043,passed,
V2CLOS240_V12_BASELINE_return100ns,V2CLOS240,V12,BASELINE,1e-07,11.0535826,passed,
V2CLOS240_V12_BASELINE_return45000ns,V2CLOS240,V12,BASELINE,4.5e-05,12.2155403,passed,
V2CLOS240_V12_EM_ONLY_return100ns,V2CLOS240,V12,EM_ONLY,1e-07,13.3835489,passed,
V2CLOS240_V12_EM_ONLY_return45000ns,V2CLOS240,V12,EM_ONLY,4.5e-05,9.8393944,passed,
V2CLOS240_V12_SW_ONLY_return100ns,V2CLOS240,V12,SW_ONLY,1e-07,10.6711647,passed,
V2CLOS240_V12_SW_ONLY_return45000ns,V2CLOS240,V12,SW_ONLY,4.5e-05,10.2453175,passed,
V2CLOS240_V12_COMBINED_return100ns,V2CLOS240,V12,COMBINED,1e-07,10.3287599,passed,
V2CLOS240_V12_COMBINED_return45000ns,V2CLOS240,V12,COMBINED,4.5e-05,9.3536822,passed,
V2CLOS40_V13_BASELINE_return100ns,V2CLOS40,V13,BASELINE,1e-07,12.1979602,passed,
V2CLOS40_V13_BASELINE_return45000ns,V2CLOS40,V13,BASELINE,4.5e-05,12.6787981,passed,
V2CLOS40_V13_EM_ONLY_return100ns,V2CLOS40,V13,EM_ONLY,1e-07,12.1488891,passed,
